text,url
Lomé Convention,https://en.wikipedia.org/wiki/Lom%C3%A9_Convention
"African, Caribbean and Pacific Group of States","https://en.wikipedia.org/wiki/African,_Caribbean_and_Pacific_Group_of_States"
EU member states,https://en.wikipedia.org/wiki/List_of_European_Union_member_states
Cotonou Agreement,https://en.wikipedia.org/wiki/Cotonou_Agreement
sustainable,https://en.wikipedia.org/wiki/Sustainable_food_system
food security,https://en.wikipedia.org/wiki/Food_security
European Union,https://en.wikipedia.org/wiki/European_Union
Brussels,https://en.wikipedia.org/wiki/Brussels
Wageningen,https://en.wikipedia.org/wiki/Wageningen
ACP countries,"https://en.wikipedia.org/wiki/African,_Caribbean_and_Pacific_Group_of_States"
European Development Fund,https://en.wikipedia.org/wiki/European_Development_Fund
impact of climate change on agriculture,https://en.wikipedia.org/wiki/Effects_of_climate_change_on_agriculture
smallholders,https://en.wikipedia.org/wiki/Smallholding
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
web 2.0 for Development,https://en.wikipedia.org/wiki/Web2forDev
Spore,https://en.wikipedia.org/wiki/Spore_(agricultural_publication)
NEPAD,https://en.wikipedia.org/wiki/New_Partnership_for_Africa%27s_Development
SACAU,https://en.wikipedia.org/wiki/Southern_African_Confederation_of_Agricultural_Unions
EAGC,https://en.wikipedia.org/wiki/Eastern_Africa_Grain_Council_(EAGC)
IIRR,https://en.wikipedia.org/wiki/International_Institute_of_Rural_Reconstruction
PROTA,https://en.wikipedia.org/wiki/Plant_Resources_of_Tropical_Africa
CARDI,https://en.wikipedia.org/wiki/Caribbean_Agricultural_Research_and_Development_Institute_(CARDI)
CaFAN,https://en.wikipedia.org/wiki/Caribbean_Farmers_Network_(CaFAN)
CARICOM,https://en.wikipedia.org/wiki/Caribbean_Community
MSG,https://en.wikipedia.org/wiki/Melanesian_Spearhead_Group
Pacific Community,https://en.wikipedia.org/wiki/Pacific_Community
Pacific Island Farmers Organisation Network,https://en.wikipedia.org/wiki/Pacific_Island_Farmers_Organisation_Network
PIPSO,https://en.wikipedia.org/wiki/Pacific_Islands_Private_Sector_Organisation_(PIPSO)
European Commission,https://en.wikipedia.org/wiki/European_Commission
FAO,https://en.wikipedia.org/wiki/FAO
IFAD,https://en.wikipedia.org/wiki/IFAD
UNCTAD,https://en.wikipedia.org/wiki/UNCTAD
CIRAD,https://en.wikipedia.org/wiki/CIRAD
GIZ,https://en.wikipedia.org/wiki/Deutsche_Gesellschaft_f%C3%BCr_Internationale_Zusammenarbeit
KIT,https://en.wikipedia.org/wiki/Royal_Tropical_Institute
Wageningen University,https://en.wikipedia.org/wiki/Wageningen_University
Spore (agricultural publication),https://en.wikipedia.org/wiki/Spore_(agricultural_publication)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
