text,url
acronym,https://en.wikipedia.org/wiki/Acronym
transport,https://en.wikipedia.org/wiki/Transport
European Union,https://en.wikipedia.org/wiki/European_Union
Black Sea,https://en.wikipedia.org/wiki/Black_Sea
South Caucasus,https://en.wikipedia.org/wiki/South_Caucasus
European Commission,https://en.wikipedia.org/wiki/European_Commission
Odesa,https://en.wikipedia.org/wiki/Odesa
EU member states,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
Eastern European,https://en.wikipedia.org/wiki/Eastern_Europe
Caucasus,https://en.wikipedia.org/wiki/Caucasus
Central Asian,https://en.wikipedia.org/wiki/Central_Asia
former Soviet Union,https://en.wikipedia.org/wiki/Post-Soviet_states
Baku Initiative,https://en.wikipedia.org/wiki/Baku_Initiative
Sofia,https://en.wikipedia.org/wiki/Sofia
Armenia,https://en.wikipedia.org/wiki/Armenia
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Iran,https://en.wikipedia.org/wiki/Iran
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Moldova,https://en.wikipedia.org/wiki/Moldova
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Turkey,https://en.wikipedia.org/wiki/Turkey
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
two member states,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Romania,https://en.wikipedia.org/wiki/Romania
Mongolia,https://en.wikipedia.org/wiki/Mongolia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Greece,https://en.wikipedia.org/wiki/Greece
Yerevan,https://en.wikipedia.org/wiki/Yerevan
Central Asia Regional Economic Cooperation Program,https://en.wikipedia.org/wiki/Central_Asia_Regional_Economic_Cooperation_Program
Economic Cooperation Organization,https://en.wikipedia.org/wiki/Economic_Cooperation_Organization
European Civil Aviation Conference,https://en.wikipedia.org/wiki/European_Civil_Aviation_Conference
International Road Transport Union,https://en.wikipedia.org/wiki/International_Road_Transport_Union
International Union of Railways,https://en.wikipedia.org/wiki/International_Union_of_Railways
Organisation for Co‑operation between Railways,https://en.wikipedia.org/wiki/Organisation_for_Co%E2%80%91operation_between_Railways
Organization of the Black Sea Economic Cooperation,https://en.wikipedia.org/wiki/Organization_of_the_Black_Sea_Economic_Cooperation
United Nations Economic Commission for Europe,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Europe
United Nations Economic and Social Commission for Asia and the Pacific,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific
eTIR,https://en.wikipedia.org/wiki/TIR_Convention
Heydar Aliyev,https://en.wikipedia.org/wiki/Heydar_Aliyev
Javier Solana,https://en.wikipedia.org/wiki/Javier_Solana
Christopher Patten,https://en.wikipedia.org/wiki/Christopher_Patten
Anna Lind,https://en.wikipedia.org/wiki/Anna_Lind
Zviad Kvachantiradze,https://en.wikipedia.org/wiki/Zviad_Kvachantiradze
Zviad Kvachantiradze,https://en.wikipedia.org/wiki/Zviad_Kvachantiradze
Zhantoro Satybaldiyev,https://en.wikipedia.org/wiki/Zhantoro_Satybaldiyev
Red Bridge,https://en.wikipedia.org/wiki/Red_Bridge_(border)
Baku Initiative,https://en.wikipedia.org/wiki/Baku_Initiative
Eastern Partnership,https://en.wikipedia.org/wiki/Eastern_Partnership
Euronest Parliamentary Assembly,https://en.wikipedia.org/wiki/Euronest_Parliamentary_Assembly
European integration,https://en.wikipedia.org/wiki/European_integration
Trans-Caspian International Transport Route,https://en.wikipedia.org/wiki/Trans-Caspian_International_Transport_Route
Trans-European Transport Networks,https://en.wikipedia.org/wiki/Trans-European_Transport_Networks
Transport in the European Union,https://en.wikipedia.org/wiki/Transport_in_the_European_Union
Transport in Europe,https://en.wikipedia.org/wiki/Transport_in_Europe
Ashgate Publishing,https://en.wikipedia.org/wiki/Ashgate_Publishing
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Armenpress,https://en.wikipedia.org/wiki/Armenpress
