text,url
supranational union,https://en.wikipedia.org/wiki/Supranational_union
Belarus,https://en.wikipedia.org/wiki/Belarus
Russia,https://en.wikipedia.org/wiki/Russia
confederation,https://en.wikipedia.org/wiki/Confederation
Alexander Lukashenko,https://en.wikipedia.org/wiki/Alexander_Lukashenko
Alexander Lukashenko,https://en.wikipedia.org/wiki/Alexander_Lukashenko
Boris Yeltsin,https://en.wikipedia.org/wiki/Boris_Yeltsin
Grand Kremlin Palace,https://en.wikipedia.org/wiki/Grand_Kremlin_Palace
Russian military presence in Belarus,https://en.wikipedia.org/wiki/Russian_military_presence_in_Belarus
Belarusian President,https://en.wikipedia.org/wiki/President_of_Belarus
Alexander Lukashenko,https://en.wikipedia.org/wiki/Alexander_Lukashenko
Russian President,https://en.wikipedia.org/wiki/President_of_Russia
Boris Yeltsin,https://en.wikipedia.org/wiki/Boris_Yeltsin
Vladimir Putin,https://en.wikipedia.org/wiki/Vladimir_Putin
was elected in 2000,https://en.wikipedia.org/wiki/2000_Russian_presidential_election
Freedom March,https://en.wikipedia.org/wiki/Freedom_March_(Belarus)
Minsk,https://en.wikipedia.org/wiki/Minsk
federation,https://en.wikipedia.org/wiki/Federation
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
State Duma,https://en.wikipedia.org/wiki/State_Duma
National Assembly of Belarus,https://en.wikipedia.org/wiki/National_Assembly_of_Belarus
Kazakh President,https://en.wikipedia.org/wiki/President_of_Kazakhstan
Nursultan Nazarbayev,https://en.wikipedia.org/wiki/Nursultan_Nazarbayev
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
Pavel Borodin,https://en.wikipedia.org/wiki/Pavel_Borodin
Grigory Rapota,https://en.wikipedia.org/wiki/Grigory_Rapota
Dmitry Mezentsev,https://en.wikipedia.org/wiki/Dmitry_Mezentsev
Sergey Glazyev,https://en.wikipedia.org/wiki/Sergey_Glazyev
Mikhail Mishustin,https://en.wikipedia.org/wiki/Mikhail_Mishustin
Quorum,https://en.wikipedia.org/wiki/Quorum
Vyacheslav Volodin,https://en.wikipedia.org/wiki/Vyacheslav_Volodin
customs,https://en.wikipedia.org/wiki/Customs
customs union,https://en.wikipedia.org/wiki/Customs_union
Alexander Lukashenko,https://en.wikipedia.org/wiki/Alexander_Lukashenko
Minsk,https://en.wikipedia.org/wiki/Minsk
Pyotr Prokopovich,https://en.wikipedia.org/wiki/Pyotr_Prakapovich
National Bank of Belarus,https://en.wikipedia.org/wiki/National_Bank_of_Belarus
National Bank of the Republic of Belarus,https://en.wikipedia.org/wiki/National_Bank_of_the_Republic_of_Belarus
Belarusian ruble,https://en.wikipedia.org/wiki/Belarusian_ruble
pegged,https://en.wikipedia.org/wiki/Fixed_exchange_rate_system
United States dollar,https://en.wikipedia.org/wiki/United_States_dollar
Russian ruble,https://en.wikipedia.org/wiki/Russian_ruble
flag of the Soviet Union,https://en.wikipedia.org/wiki/Flag_of_the_Soviet_Union
gold stars,https://en.wikipedia.org/wiki/Red_star
double-headed eagle,https://en.wikipedia.org/wiki/Double-headed_eagle
Sovereign Union of Nations,https://en.wikipedia.org/wiki/Sovereign_Union_of_Nations
Russian,https://en.wikipedia.org/wiki/Russian_language
Belarusian,https://en.wikipedia.org/wiki/Belarusian_language
National Anthem of the Soviet Union,https://en.wikipedia.org/wiki/National_Anthem_of_the_Soviet_Union
value-added tax,https://en.wikipedia.org/wiki/Value-added_tax
