text,url
international treaty,https://en.wikipedia.org/wiki/Treaty
sovereign states,https://en.wikipedia.org/wiki/Sovereign_states
European Union,https://en.wikipedia.org/wiki/European_Union
parties,https://en.wikipedia.org/wiki/List_of_parties_to_the_United_Nations_Convention_on_the_Law_of_the_Sea
except the United States,https://en.wikipedia.org/wiki/List_of_parties_to_the_United_Nations_Convention_on_the_Law_of_the_Sea#United_States_position
Convention on the High Seas,https://en.wikipedia.org/wiki/Convention_on_the_High_Seas
Guyana,https://en.wikipedia.org/wiki/Guyana
High Seas Treaty,https://en.wikipedia.org/wiki/High_Seas_Treaty
Marine Protected Areas,https://en.wikipedia.org/wiki/Marine_protected_area
environmental impact assessments,https://en.wikipedia.org/wiki/Environmental_impact_assessment
secretary-general of the United Nations,https://en.wikipedia.org/wiki/Secretary-general_of_the_United_Nations
ratification,https://en.wikipedia.org/wiki/Ratification
United Nations Secretariat,https://en.wikipedia.org/wiki/United_Nations_Secretariat
specialized agency,https://en.wikipedia.org/wiki/Specialized_agencies
International Maritime Organization,https://en.wikipedia.org/wiki/International_Maritime_Organization
International Whaling Commission,https://en.wikipedia.org/wiki/International_Whaling_Commission
International Seabed Authority,https://en.wikipedia.org/wiki/International_Seabed_Authority
freedom of the seas,https://en.wikipedia.org/wiki/Freedom_of_the_seas
coastlines,https://en.wikipedia.org/wiki/Coast
three-mile limit,https://en.wikipedia.org/wiki/Three-mile_limit
cannon,https://en.wikipedia.org/wiki/Cannon
Cornelius van Bynkershoek,https://en.wikipedia.org/wiki/Cornelius_van_Bynkershoek
international waters,https://en.wikipedia.org/wiki/International_waters
mare liberum,https://en.wikipedia.org/wiki/International_waters
Hugo Grotius,https://en.wikipedia.org/wiki/Hugo_Grotius
fish stocks,https://en.wikipedia.org/wiki/Fish_stocks
pollution controls,https://en.wikipedia.org/wiki/Pollution#Pollution_control
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
The Hague,https://en.wikipedia.org/wiki/The_Hague
Harry S. Truman,https://en.wikipedia.org/wiki/Harry_S._Truman
continental shelf,https://en.wikipedia.org/wiki/Continental_shelf
Humboldt Current,https://en.wikipedia.org/wiki/Humboldt_Current
Jordan,https://en.wikipedia.org/wiki/Jordan
straits,https://en.wikipedia.org/wiki/Strait
British Overseas Territories,https://en.wikipedia.org/wiki/British_Overseas_Territories
Gibraltar,https://en.wikipedia.org/wiki/Gibraltar
customary international law,https://en.wikipedia.org/wiki/Customary_international_law
Sustainable Development Goal 14,https://en.wikipedia.org/wiki/Sustainable_Development_Goal_14
UNCLOS I,https://en.wikipedia.org/wiki/UNCLOS_I
Geneva,https://en.wikipedia.org/wiki/Geneva
Convention on the Territorial Sea and Contiguous Zone,https://en.wikipedia.org/wiki/Convention_on_the_Territorial_Sea_and_Contiguous_Zone
Convention on the Continental Shelf,https://en.wikipedia.org/wiki/Convention_on_the_Continental_Shelf
Convention on the High Seas,https://en.wikipedia.org/wiki/Convention_on_the_High_Seas
Convention on Fishing and Conservation of Living Resources of the High Seas,https://en.wikipedia.org/wiki/Convention_on_Fishing_and_Conservation_of_Living_Resources_of_the_High_Seas
Arvid Pardo,https://en.wikipedia.org/wiki/Arvid_Pardo
consensus process,https://en.wikipedia.org/wiki/Consensus_decision-making
exclusive economic zones,https://en.wikipedia.org/wiki/Exclusive_economic_zones
baseline,https://en.wikipedia.org/wiki/Baseline_(sea)
straight baselines,https://en.wikipedia.org/wiki/Straight_baselines
Internal waters,https://en.wikipedia.org/wiki/Internal_waters
Archipelagic waters,https://en.wikipedia.org/wiki/Archipelagic_waters
Territorial sea,https://en.wikipedia.org/wiki/Territorial_sea
coastal state,https://en.wikipedia.org/wiki/Coastal_state
innocent passage,https://en.wikipedia.org/wiki/Innocent_passage
transit passage,https://en.wikipedia.org/wiki/Transit_passage
Contiguous zone,https://en.wikipedia.org/wiki/Contiguous_zone
baseline,https://en.wikipedia.org/wiki/Baseline_(sea)
hot pursuit,https://en.wikipedia.org/wiki/Hot_pursuit
Exclusive economic zones,https://en.wikipedia.org/wiki/Exclusive_economic_zone
baseline,https://en.wikipedia.org/wiki/Baseline_(sea)
oil,https://en.wikipedia.org/wiki/Petroleum
oil platform,https://en.wikipedia.org/wiki/Oil_platform
Gulf of Mexico,https://en.wikipedia.org/wiki/Gulf_of_Mexico
freedom of navigation,https://en.wikipedia.org/wiki/Freedom_of_navigation
overflight,https://en.wikipedia.org/wiki/Overflight_permit
submarine pipes,https://en.wikipedia.org/wiki/Submarine_pipeline
Continental shelf,https://en.wikipedia.org/wiki/Continental_shelf
natural prolongation,https://en.wikipedia.org/wiki/Natural_prolongation
continental margin,https://en.wikipedia.org/wiki/Continental_margin
isobath,https://en.wikipedia.org/wiki/Isobath
water column,https://en.wikipedia.org/wiki/Water_column
high seas,https://en.wikipedia.org/wiki/High_seas
International Seabed Authority,https://en.wikipedia.org/wiki/International_Seabed_Authority
common heritage of mankind,https://en.wikipedia.org/wiki/Common_heritage_of_mankind
International Tribunal for the Law of the Sea (ITLOS),https://en.wikipedia.org/wiki/International_Tribunal_for_the_Law_of_the_Sea
Hamburg,https://en.wikipedia.org/wiki/Hamburg
Germany,https://en.wikipedia.org/wiki/Germany
Landlocked,https://en.wikipedia.org/wiki/Landlocked_country
Admiralty and maritime law,https://en.wikipedia.org/wiki/Maritime_law
Code of Hammurabi,https://en.wikipedia.org/wiki/Code_of_Hammurabi
Corpus Juris Civilis,https://en.wikipedia.org/wiki/Corpus_Juris_Civilis
Digesta,https://en.wikipedia.org/wiki/Digest_(Roman_law)#Contents
Ordinamenta et consuetudo maris,https://en.wikipedia.org/wiki/Ordinamenta_et_consuetudo_maris
