text,url
French,https://en.wikipedia.org/wiki/French_language
Spanish,https://en.wikipedia.org/wiki/Spanish_language
United Nations Decade for Women,https://en.wikipedia.org/wiki/United_Nations_Decade_for_Women
International Women's Year,https://en.wikipedia.org/wiki/International_Women%27s_Year
Margaret C. Snyder,https://en.wikipedia.org/wiki/Margaret_C._Snyder
women's,https://en.wikipedia.org/wiki/Woman
human rights,https://en.wikipedia.org/wiki/Human_rights
empowerment,https://en.wikipedia.org/wiki/Empowerment
gender equality,https://en.wikipedia.org/wiki/Gender_equality
Southern Africa,https://en.wikipedia.org/wiki/Southern_Africa
East Africa,https://en.wikipedia.org/wiki/East_Africa
Southeast Asia,https://en.wikipedia.org/wiki/Southeast_Asia
South Asia,https://en.wikipedia.org/wiki/South_Asia
Central America,https://en.wikipedia.org/wiki/Central_America
Andean region,https://en.wikipedia.org/wiki/Andes
UN system,https://en.wikipedia.org/wiki/UN_system
UN Women,https://en.wikipedia.org/wiki/UN_Women
Ecuador,https://en.wikipedia.org/wiki/Ecuador
UN Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
United Nations,https://en.wikipedia.org/wiki/United_Nations
Convention on the Elimination of All Forms of Discrimination against Women,https://en.wikipedia.org/wiki/Convention_on_the_Elimination_of_All_Forms_of_Discrimination_Against_Women
gender equality,https://en.wikipedia.org/wiki/Gender_equality
New York City,https://en.wikipedia.org/wiki/New_York_City
Canadian,https://en.wikipedia.org/wiki/Canadians
Stephen Lewis,https://en.wikipedia.org/wiki/Stephen_Lewis
First World Conference on Women,"https://en.wikipedia.org/wiki/World_Conference_on_Women,_1975"
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Margaret Snyder,https://en.wikipedia.org/wiki/Margaret_C._Snyder
violence against women,https://en.wikipedia.org/wiki/Violence_against_women
Roxanna Carrillo,https://en.wikipedia.org/wiki/Roxanna_Carrillo
Africa,https://en.wikipedia.org/wiki/Africa
East Africa,https://en.wikipedia.org/wiki/East_Africa
Fourth World Conference on Women,"https://en.wikipedia.org/wiki/World_Conference_on_Women,_1995"
trust fund,https://en.wikipedia.org/wiki/Trust_law
war crimes,https://en.wikipedia.org/wiki/War_crime
UNDP,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
International Alert,https://en.wikipedia.org/wiki/International_Alert
Millennium Peace Prize for Women,https://en.wikipedia.org/wiki/Millennium_Peace_Prize_for_Women
Noeleen Heyzer,https://en.wikipedia.org/wiki/Noeleen_Heyzer
Nicole Kidman,https://en.wikipedia.org/wiki/Nicole_Kidman
Inés Alberdi,https://en.wikipedia.org/wiki/In%C3%A9s_Alberdi
UN Women,https://en.wikipedia.org/wiki/UN_Women
International Research and Training Institute for the Advancement of Women,https://en.wikipedia.org/wiki/International_Research_and_Training_Institute_for_the_Advancement_of_Women
Division for the Advancement of Women,https://en.wikipedia.org/wiki/Division_for_the_Advancement_of_Women
Inés Alberdi,https://en.wikipedia.org/wiki/In%C3%A9s_Alberdi
Spain,https://en.wikipedia.org/wiki/Spain
Noeleen Heyzer,https://en.wikipedia.org/wiki/Noeleen_Heyzer
Singapore,https://en.wikipedia.org/wiki/Singapore
Sharon Capeling-Alakija,https://en.wikipedia.org/wiki/Sharon_Capeling-Alakija
Canada,https://en.wikipedia.org/wiki/Canada
Margaret C. Snyder,https://en.wikipedia.org/wiki/Margaret_C._Snyder
United States,https://en.wikipedia.org/wiki/United_States
United Nations Decade for Women,https://en.wikipedia.org/wiki/United_Nations_Decade_for_Women
UN Women,https://en.wikipedia.org/wiki/UN_Women
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
hdl,https://en.wikipedia.org/wiki/Hdl_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
OCLC,https://en.wikipedia.org/wiki/OCLC_(identifier)
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
PMID,https://en.wikipedia.org/wiki/PMID_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
