text,url
United Nations Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
member states,https://en.wikipedia.org/wiki/Member_States
Asia,https://en.wikipedia.org/wiki/Asia
Pacific,https://en.wikipedia.org/wiki/Pacific_Ocean
regional commissions,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council#Regional_commissions
member states,https://en.wikipedia.org/wiki/Member_state
Asia,https://en.wikipedia.org/wiki/Asia
Oceania,https://en.wikipedia.org/wiki/Oceania
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Armenia,https://en.wikipedia.org/wiki/Armenia
Australia,https://en.wikipedia.org/wiki/Australia
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Bhutan,https://en.wikipedia.org/wiki/Bhutan
Brunei Darussalam,https://en.wikipedia.org/wiki/Brunei
Cambodia,https://en.wikipedia.org/wiki/Cambodia
China,https://en.wikipedia.org/wiki/China
Democratic People's Republic of Korea (the),https://en.wikipedia.org/wiki/North_Korea
Fiji,https://en.wikipedia.org/wiki/Fiji
France,https://en.wikipedia.org/wiki/France
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Iran (the Islamic Republic of),https://en.wikipedia.org/wiki/Iran
Japan,https://en.wikipedia.org/wiki/Japan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kiribati,https://en.wikipedia.org/wiki/Kiribati
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Lao People's Democratic Republic (the),https://en.wikipedia.org/wiki/Laos
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Maldives,https://en.wikipedia.org/wiki/Maldives
Marshall Islands (the),https://en.wikipedia.org/wiki/Marshall_Islands
Micronesia (the Federated States of),https://en.wikipedia.org/wiki/Federated_States_of_Micronesia
Mongolia,https://en.wikipedia.org/wiki/Mongolia
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Nauru,https://en.wikipedia.org/wiki/Nauru
Nepal,https://en.wikipedia.org/wiki/Nepal
Netherlands (the Kingdom of the),https://en.wikipedia.org/wiki/Kingdom_of_the_Netherlands
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Palau,https://en.wikipedia.org/wiki/Palau
Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea
Philippines (the),https://en.wikipedia.org/wiki/Philippines
Republic of Korea (the),https://en.wikipedia.org/wiki/South_Korea
Russian Federation (the),https://en.wikipedia.org/wiki/Russia
Samoa,https://en.wikipedia.org/wiki/Samoa
Singapore,https://en.wikipedia.org/wiki/Singapore
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
