text,url
UN,https://en.wikipedia.org/wiki/United_Nations
Kofi Annan,https://en.wikipedia.org/wiki/Kofi_Annan
private sector,https://en.wikipedia.org/wiki/Private_sector
civil society organizations,https://en.wikipedia.org/wiki/Civil_society_organization
academia,https://en.wikipedia.org/wiki/Academy
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
United Nations Democracy Fund,https://en.wikipedia.org/wiki/United_Nations_Democracy_Fund
Secretary-General,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
United Nations system,https://en.wikipedia.org/wiki/United_Nations_system
United Nations Foundation,https://en.wikipedia.org/wiki/United_Nations_Foundation
United Nations Democracy Fund,https://en.wikipedia.org/wiki/United_Nations_Democracy_Fund
Millennium Development Goals,https://en.wikipedia.org/wiki/Millennium_Development_Goals
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
