text,url
United Nations System,https://en.wikipedia.org/wiki/United_Nations_System
UN City,https://en.wikipedia.org/wiki/UN_City
Copenhagen,https://en.wikipedia.org/wiki/Copenhagen
Denmark,https://en.wikipedia.org/wiki/Denmark
United Nations Sustainable Development Group,https://en.wikipedia.org/wiki/United_Nations_Sustainable_Development_Group
World Bank,https://en.wikipedia.org/wiki/World_Bank
"Global Fund to Fight AIDS, Tuberculosis and Malaria","https://en.wikipedia.org/wiki/The_Global_Fund_to_Fight_AIDS,_Tuberculosis_and_Malaria"
United Nations Department of Peace Operations,https://en.wikipedia.org/wiki/United_Nations_Department_of_Peace_Operations
Government of Argentina,https://en.wikipedia.org/wiki/Government_of_Argentina
Office of the United Nations High Commissioner for Refugees (UNHCR),https://en.wikipedia.org/wiki/Office_of_the_United_Nations_High_Commissioner_for_Human_Rights
European Union,https://en.wikipedia.org/wiki/European_Union
government of the United States,https://en.wikipedia.org/wiki/Federal_government_of_the_United_States
UNDP,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
removing landmines,https://en.wikipedia.org/wiki/Demining
Copenhagen,https://en.wikipedia.org/wiki/Copenhagen
Stop TB Partnership,https://en.wikipedia.org/wiki/Stop_TB_Partnership
Cities Alliance,https://en.wikipedia.org/wiki/Cities_Alliance
United Nations Office for Disaster Risk Reduction,https://en.wikipedia.org/wiki/United_Nations_Office_for_Disaster_Risk_Reduction
Sigrid Kaag,https://en.wikipedia.org/wiki/Sigrid_Kaag
Gaza war,https://en.wikipedia.org/wiki/Gaza_war
United Nations Population Fund (UNFPA),https://en.wikipedia.org/wiki/United_Nations_Population_Fund
International Aid Transparency Initiative (IATI),https://en.wikipedia.org/wiki/International_Aid_Transparency_Initiative
ISO 9001,https://en.wikipedia.org/wiki/ISO_9001
the University of Oxford,https://en.wikipedia.org/wiki/University_of_Oxford
UN Environment Programme,https://en.wikipedia.org/wiki/United_Nations_Environment_Programme
biodiversity loss,https://en.wikipedia.org/wiki/Biodiversity_loss
Grete Faremo,https://en.wikipedia.org/wiki/Grete_Faremo
United Nations Office of Internal Oversight Services,https://en.wikipedia.org/wiki/United_Nations_Office_of_Internal_Oversight_Services
The New York Times,https://en.wikipedia.org/wiki/The_New_York_Times
Devex,https://en.wikipedia.org/wiki/Devex
Mukesh Kapila,https://en.wikipedia.org/wiki/Mukesh_Kapila
remanded,https://en.wikipedia.org/wiki/Pre-trial_detention
Germany,https://en.wikipedia.org/wiki/Germany
Austria,https://en.wikipedia.org/wiki/Austria
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Chile,https://en.wikipedia.org/wiki/Chile
Sweden,https://en.wikipedia.org/wiki/Sweden
Grete Faremo,https://en.wikipedia.org/wiki/Grete_Faremo
Norway,https://en.wikipedia.org/wiki/Norway
Denmark,https://en.wikipedia.org/wiki/Denmark
Jorge Moreira da Silva,https://en.wikipedia.org/wiki/Jorge_Moreira_da_Silva
Portugal,https://en.wikipedia.org/wiki/Portugal
"Fahrenthold, David A.",https://en.wikipedia.org/wiki/David_Fahrenthold
"Fassihi, Farnaz",https://en.wikipedia.org/wiki/Farnaz_Fassihi
The New York Times,https://en.wikipedia.org/wiki/The_New_York_Times
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
