text,url
United Nations Secretariat,https://en.wikipedia.org/wiki/United_Nations_Secretariat
internal audit,https://en.wikipedia.org/wiki/Internal_audit
United Nations Secretariat,https://en.wikipedia.org/wiki/United_Nations_Secretariat
Government Accountability Office,https://en.wikipedia.org/wiki/Government_Accountability_Office
United States,https://en.wikipedia.org/wiki/United_States
General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Under-Secretary-General,https://en.wikipedia.org/wiki/Under-Secretary-General_of_the_United_Nations
Senegal,https://en.wikipedia.org/wiki/Senegal
Heidi Mendoza,https://en.wikipedia.org/wiki/Heidi_Mendoza
the Philippines,https://en.wikipedia.org/wiki/Philippines
Under-Secretary-General,https://en.wikipedia.org/wiki/Under-Secretary-General_of_the_United_Nations
Karl Theodor Paschke,https://en.wikipedia.org/wiki/Karl_Theodor_Paschke
Karl Theodor Paschke,https://en.wikipedia.org/wiki/Karl_Theodor_Paschke
Germany,https://en.wikipedia.org/wiki/Germany
Dileep Nair,https://en.wikipedia.org/wiki/Dileep_Nair
Singapore,https://en.wikipedia.org/wiki/Singapore
Inga-Britt Ahlenius,https://en.wikipedia.org/wiki/Inga-Britt_Ahlenius
Sweden,https://en.wikipedia.org/wiki/Sweden
Carman Lapointe,https://en.wikipedia.org/wiki/Carman_Lapointe
Canada,https://en.wikipedia.org/wiki/Canada
Heidi Mendoza,https://en.wikipedia.org/wiki/Heidi_Mendoza
Philippines,https://en.wikipedia.org/wiki/Philippines
Senegal,https://en.wikipedia.org/wiki/Senegal
PassBlue,https://en.wikipedia.org/wiki/Passblue
UN Watch,https://en.wikipedia.org/wiki/UN_Watch
Philippine Daily Inquirer,https://en.wikipedia.org/wiki/Philippine_Daily_Inquirer
Graham Holdings Company,https://en.wikipedia.org/wiki/Graham_Holdings_Company
WikiLeaks,https://en.wikipedia.org/wiki/WikiLeaks
United Nations,https://en.wikipedia.org/wiki/United_Nations
