text,url
United Nations,https://en.wikipedia.org/wiki/United_Nations
Secretary-General,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
Boutros-Ghali,https://en.wikipedia.org/wiki/Boutros_Boutros-Ghali
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
Turin,https://en.wikipedia.org/wiki/Turin
Office for the Coordination of Humanitarian Affairs,https://en.wikipedia.org/wiki/Department_of_Humanitarian_Affairs
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Secretary-General,https://en.wikipedia.org/wiki/Secretary-General_of_the_United_Nations
Annan,https://en.wikipedia.org/wiki/Kofi_Annan
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
