text,url
six principal organs,https://en.wikipedia.org/wiki/Organs_of_the_United_Nations
United Nations,https://en.wikipedia.org/wiki/United_Nations
trust territories,https://en.wikipedia.org/wiki/United_Nations_Trust_Territories
mandates,https://en.wikipedia.org/wiki/League_of_Nations_mandate
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
World War II,https://en.wikipedia.org/wiki/World_War_II
independence,https://en.wikipedia.org/wiki/Independence
Palau,https://en.wikipedia.org/wiki/Palau
Trust Territory of the Pacific Islands,https://en.wikipedia.org/wiki/Trust_Territory_of_the_Pacific_Islands
member state of the United Nations,https://en.wikipedia.org/wiki/United_Nations_member_states
Majuro,https://en.wikipedia.org/wiki/Majuro
Trust Territory of the Pacific Islands,https://en.wikipedia.org/wiki/Trust_Territory_of_the_Pacific_Islands
decolonization,https://en.wikipedia.org/wiki/Decolonization
San Francisco Conference,https://en.wikipedia.org/wiki/United_Nations_Conference_on_International_Organization
Charter of the United Nations,https://en.wikipedia.org/wiki/Charter_of_the_United_Nations
colonies,https://en.wikipedia.org/wiki/Colonies
mandated territories,https://en.wikipedia.org/wiki/Mandated_territories
United Nations Charter,https://en.wikipedia.org/wiki/United_Nations_Charter
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Oceania,https://en.wikipedia.org/wiki/Oceania
Italian Somaliland,https://en.wikipedia.org/wiki/Italian_Somaliland
General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Mandatory Palestine,https://en.wikipedia.org/wiki/Mandatory_Palestine
American trusteeship proposal for Palestine,https://en.wikipedia.org/wiki/American_trusteeship_proposal_for_Palestine
Israel,https://en.wikipedia.org/wiki/Israel
Security Council,https://en.wikipedia.org/wiki/Security_Council
Palau,https://en.wikipedia.org/wiki/Palau
Trust Territory of the Pacific Islands,https://en.wikipedia.org/wiki/Trust_Territory_of_the_Pacific_Islands
Northern Mariana Islands,https://en.wikipedia.org/wiki/Northern_Mariana_Islands
commonwealth,https://en.wikipedia.org/wiki/Commonwealth_(U.S._insular_area)
United Nations Charter,https://en.wikipedia.org/wiki/United_Nations_Charter
Finn Juhl,https://en.wikipedia.org/wiki/Finn_Juhl
United Nations Charter,https://en.wikipedia.org/wiki/United_Nations_Charter
reform of the United Nations,https://en.wikipedia.org/wiki/Reform_of_the_United_Nations#Removal_of_spent_provisions_in_UN_Charter
Commission on Global Governance,https://en.wikipedia.org/wiki/Commission_on_Global_Governance
Our Global Neighbourhood,https://en.wikipedia.org/wiki/Our_Global_Neighborhood
environmental,https://en.wikipedia.org/wiki/Natural_environment
global commons,https://en.wikipedia.org/wiki/Global_commons
United Nations list of non-self-governing territories,https://en.wikipedia.org/wiki/United_Nations_list_of_non-self-governing_territories
American trusteeship proposal for Palestine,https://en.wikipedia.org/wiki/American_trusteeship_proposal_for_Palestine
Union of International Associations,https://en.wikipedia.org/wiki/Union_of_International_Associations
The Washington Diplomat,https://en.wikipedia.org/wiki/The_Washington_Diplomat
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
