text,url
UN agency,https://en.wikipedia.org/wiki/United_Nations_System
human development,https://en.wikipedia.org/wiki/Human_development_(economics)
Palestinian refugees,https://en.wikipedia.org/wiki/Palestinian_refugees
who fled or were expelled,https://en.wikipedia.org/wiki/1948_Palestinian_expulsion_and_flight
Nakba,https://en.wikipedia.org/wiki/Nakba
1948 Palestine war,https://en.wikipedia.org/wiki/1948_Palestine_war
UN General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
State of Israel,https://en.wikipedia.org/wiki/Israel
Jordan,https://en.wikipedia.org/wiki/Jordan
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Syria,https://en.wikipedia.org/wiki/Syria
Gaza Strip,https://en.wikipedia.org/wiki/Gaza_Strip
West Bank,https://en.wikipedia.org/wiki/West_Bank
East Jerusalem,https://en.wikipedia.org/wiki/East_Jerusalem
United Nations High Commissioner for Refugees,https://en.wikipedia.org/wiki/UNHCR
Hamas,https://en.wikipedia.org/wiki/Hamas
faced allegations by the Israeli government,https://en.wikipedia.org/wiki/Israeli_allegations_against_UNRWA
October 7 attacks,https://en.wikipedia.org/wiki/October_7_attacks
Palestinian right of return,https://en.wikipedia.org/wiki/Palestinian_right_of_return
Palestinians,https://en.wikipedia.org/wiki/Palestinians
Demographics,https://en.wikipedia.org/wiki/Demographic_history_of_Palestine_(region)
Definitions,https://en.wikipedia.org/wiki/Palestinian_identity
Palestine,https://en.wikipedia.org/wiki/Palestine_(region)
History,https://en.wikipedia.org/wiki/History_of_the_Palestinians
Name,https://en.wikipedia.org/wiki/Timeline_of_the_name_Palestine
People,https://en.wikipedia.org/wiki/Palestinians
Origin,https://en.wikipedia.org/wiki/Origin_of_the_Palestinians
Nakba,https://en.wikipedia.org/wiki/Nakba
Diaspora,https://en.wikipedia.org/wiki/Palestinian_diaspora
Arab Higher Committee,https://en.wikipedia.org/wiki/Arab_Higher_Committee
Depopulated villages,https://en.wikipedia.org/wiki/List_of_Arab_towns_and_villages_depopulated_during_the_1948_Palestinian_exodus
All-Palestine Protectorate,https://en.wikipedia.org/wiki/All-Palestine_Protectorate
Government,https://en.wikipedia.org/wiki/All-Palestine_Government
Fedayeen militias,https://en.wikipedia.org/wiki/Palestinian_fedayeen
PLO,https://en.wikipedia.org/wiki/Palestine_Liberation_Organization
National Authority (PNA),https://en.wikipedia.org/wiki/Palestinian_National_Authority
political parties,https://en.wikipedia.org/wiki/List_of_political_parties_in_Palestine
Fatah,https://en.wikipedia.org/wiki/Fatah
Hamas,https://en.wikipedia.org/wiki/Hamas
PFLP,https://en.wikipedia.org/wiki/Popular_Front_for_the_Liberation_of_Palestine
