text,url
multilateral export control regime,https://en.wikipedia.org/wiki/Multilateral_export_control_regime
dual-use goods and technologies,https://en.wikipedia.org/wiki/Dual-use_technology
Wassenaar,https://en.wikipedia.org/wiki/Wassenaar
Netherlands,"https://en.wikipedia.org/wiki/The_Hague,_Netherlands"
Cold War,https://en.wikipedia.org/wiki/Cold_War
Coordinating Committee for Multilateral Export Controls,https://en.wikipedia.org/wiki/Coordinating_Committee_for_Multilateral_Export_Controls
Eastern Bloc,https://en.wikipedia.org/wiki/Eastern_Bloc
Comecon,https://en.wikipedia.org/wiki/Comecon
Warsaw Pact,https://en.wikipedia.org/wiki/Warsaw_Pact
Vienna,https://en.wikipedia.org/wiki/Vienna
armoured fighting vehicles,https://en.wikipedia.org/wiki/Armoured_fighting_vehicle
large-calibre artillery,https://en.wikipedia.org/wiki/Large-calibre_artillery
small arms,https://en.wikipedia.org/wiki/Small_arms
Materials Processing,https://en.wikipedia.org/wiki/Materials_Processing
Electronics,https://en.wikipedia.org/wiki/Electronics
Computers,https://en.wikipedia.org/wiki/Computers
Telecommunications,https://en.wikipedia.org/wiki/Telecommunications
Information Security,https://en.wikipedia.org/wiki/Information_Security
Sensors,https://en.wikipedia.org/wiki/Sensor
Lasers,https://en.wikipedia.org/wiki/Laser
Navigation,https://en.wikipedia.org/wiki/Navigation
Avionics,https://en.wikipedia.org/wiki/Avionics
Marine,https://en.wikipedia.org/wiki/Marine_(ocean)
Aerospace,https://en.wikipedia.org/wiki/Aerospace
Propulsion,https://en.wikipedia.org/wiki/Air_propulsion
stealth technology,https://en.wikipedia.org/wiki/Stealth_technology
radar,https://en.wikipedia.org/wiki/Radar
jet engine,https://en.wikipedia.org/wiki/Jet_engine
ECCN,https://en.wikipedia.org/wiki/ECCN
regime,https://en.wikipedia.org/wiki/Multilateral_export_control_regime
Australia Group,https://en.wikipedia.org/wiki/Australia_Group
Nuclear Suppliers Group,https://en.wikipedia.org/wiki/Nuclear_Suppliers_Group
Missile Technology Control Regime,https://en.wikipedia.org/wiki/Missile_Technology_Control_Regime
Nuclear Suppliers Group,https://en.wikipedia.org/wiki/Nuclear_Suppliers_Group
Missile Technology Control Regime,https://en.wikipedia.org/wiki/Missile_Technology_Control_Regime
Australia Group,https://en.wikipedia.org/wiki/Australia_Group
Treaty on the Non-Proliferation of Nuclear Weapons,https://en.wikipedia.org/wiki/Treaty_on_the_Non-Proliferation_of_Nuclear_Weapons
Biological Weapons Convention,https://en.wikipedia.org/wiki/Biological_Weapons_Convention
Chemical Weapons Convention,https://en.wikipedia.org/wiki/Chemical_Weapons_Convention
START I,https://en.wikipedia.org/wiki/START_I
Lisbon Protocol,https://en.wikipedia.org/wiki/Lisbon_Protocol
export controls,https://en.wikipedia.org/wiki/Export_control
consensus of all members,https://en.wikipedia.org/wiki/Unanimity
India,https://en.wikipedia.org/wiki/India
IP,https://en.wikipedia.org/wiki/Internet_protocol_suite
network surveillance,https://en.wikipedia.org/wiki/Computer_and_network_surveillance
Google,https://en.wikipedia.org/wiki/Google
Facebook,https://en.wikipedia.org/wiki/Facebook
penetration testing,https://en.wikipedia.org/wiki/Penetration_test
bug bounty programs,https://en.wikipedia.org/wiki/Bug_bounty_program
security,https://en.wikipedia.org/wiki/Computer_security
qubits,https://en.wikipedia.org/wiki/Qubits
controlled NOT gate,https://en.wikipedia.org/wiki/Controlled_NOT_gate
error threshold,https://en.wikipedia.org/wiki/Threshold_theorem
international sanctions over its invasion of Ukraine,https://en.wikipedia.org/wiki/International_sanctions_during_the_Russian_invasion_of_Ukraine
Argentina,https://en.wikipedia.org/wiki/Argentina
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Belgium,https://en.wikipedia.org/wiki/Belgium
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Canada,https://en.wikipedia.org/wiki/Canada
Croatia,https://en.wikipedia.org/wiki/Croatia
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Hungary,https://en.wikipedia.org/wiki/Hungary
India,https://en.wikipedia.org/wiki/India
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Malta,https://en.wikipedia.org/wiki/Malta
Mexico,https://en.wikipedia.org/wiki/Mexico
Netherlands,https://en.wikipedia.org/wiki/Netherlands
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Romania,https://en.wikipedia.org/wiki/Romania
Russia,https://en.wikipedia.org/wiki/Russia
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
South Africa,https://en.wikipedia.org/wiki/South_Africa
South Korea,https://en.wikipedia.org/wiki/South_Korea
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Turkey,https://en.wikipedia.org/wiki/Turkey
Ukraine,https://en.wikipedia.org/wiki/Ukraine
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
European Union,https://en.wikipedia.org/wiki/European_Union
NATO,https://en.wikipedia.org/wiki/NATO
Chile,https://en.wikipedia.org/wiki/Chile
Nuclear Suppliers Group,https://en.wikipedia.org/wiki/Nuclear_Suppliers_Group
UNSC,https://en.wikipedia.org/wiki/UNSC
UN,https://en.wikipedia.org/wiki/UN
Nuclear Suppliers Group,https://en.wikipedia.org/wiki/Nuclear_Suppliers_Group
Arms Export Control Act,https://en.wikipedia.org/wiki/Arms_Export_Control_Act
Defense Security Cooperation Agency,https://en.wikipedia.org/wiki/Defense_Security_Cooperation_Agency
International Traffic in Arms Regulations,https://en.wikipedia.org/wiki/International_Traffic_in_Arms_Regulations
