text,url
Francophone,https://en.wikipedia.org/wiki/Francophone
Lusophone,https://en.wikipedia.org/wiki/Lusophone
West Africa,https://en.wikipedia.org/wiki/West_Africa
Central Bank of West African States,https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States
Benin,https://en.wikipedia.org/wiki/Benin
Burkina Faso,https://en.wikipedia.org/wiki/Burkina-Faso
Guinea Bissau,https://en.wikipedia.org/wiki/Guinea_Bissau
Côte d'Ivoire,https://en.wikipedia.org/wiki/Ivory_Coast
Mali,https://en.wikipedia.org/wiki/Mali
Niger,https://en.wikipedia.org/wiki/Niger
Senegal,https://en.wikipedia.org/wiki/Senegal
Togo,https://en.wikipedia.org/wiki/Togo
Lomé,https://en.wikipedia.org/wiki/Lom%C3%A9
Togo,https://en.wikipedia.org/wiki/Togo
West African Monetary Union,https://en.wikipedia.org/wiki/West_African_Monetary_Union
West African Economic and Monetary Union,https://en.wikipedia.org/wiki/West_African_Economic_and_Monetary_Union
African Development Bank,https://en.wikipedia.org/wiki/African_Development_Bank
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
People's Bank of China,https://en.wikipedia.org/wiki/People%27s_Bank_of_China
Abdoulaye Bio-Tchane,https://en.wikipedia.org/wiki/Abdoulaye_Bio-Tchane
Micro-credit,https://en.wikipedia.org/wiki/Micro-credit
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
