text,url
ECOWAS,https://en.wikipedia.org/wiki/ECOWAS
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde
French West Africa,https://en.wikipedia.org/wiki/French_West_Africa
monetary,https://en.wikipedia.org/wiki/Price_stability
financial stability,https://en.wikipedia.org/wiki/Financial_stability
economic integration,https://en.wikipedia.org/wiki/Economic_integration
West African CFA franc,https://en.wikipedia.org/wiki/West_African_CFA_franc
ISO 4217,https://en.wikipedia.org/wiki/ISO_4217
Economic Community of West African States,https://en.wikipedia.org/wiki/Economic_Community_of_West_African_States
French,https://en.wikipedia.org/wiki/French_language
Ouagadougou,https://en.wikipedia.org/wiki/Ouagadougou
Central Bank of West African States,https://en.wikipedia.org/wiki/Central_Bank_of_West_African_States
Dakar,https://en.wikipedia.org/wiki/Dakar
Banking Commission of the West African Monetary Union,https://en.wikipedia.org/wiki/Banking_Commission_of_the_West_African_Monetary_Union
Financial Markets Authority of the West African Monetary Union,https://en.wikipedia.org/wiki/Financial_Markets_Authority_of_the_West_African_Monetary_Union
Abidjan,https://en.wikipedia.org/wiki/Abidjan
West African Development Bank,https://en.wikipedia.org/wiki/West_African_Development_Bank
Lomé,https://en.wikipedia.org/wiki/Lom%C3%A9
Regional Insurance Control Commission,https://en.wikipedia.org/wiki/Regional_Insurance_Control_Commission
Libreville,https://en.wikipedia.org/wiki/Libreville
Franc Zone,https://en.wikipedia.org/wiki/Franc_Zone
French franc,https://en.wikipedia.org/wiki/French_franc
CFA franc,https://en.wikipedia.org/wiki/CFA_franc
CFP franc,https://en.wikipedia.org/wiki/CFP_franc
French Indochinese piastre,https://en.wikipedia.org/wiki/French_Indochinese_piastre
Banque de l'Afrique Occidentale,https://en.wikipedia.org/wiki/Banque_de_l%27Afrique_Occidentale
Institut d'Émission de l'Afrique Occidentale Française et du Togo,https://en.wikipedia.org/wiki/Institut_d%27%C3%89mission_de_l%27Afrique_Occidentale_Fran%C3%A7aise_et_du_Togo
French,https://en.wikipedia.org/wiki/French_language
Dakar,https://en.wikipedia.org/wiki/Dakar
Benin,https://en.wikipedia.org/wiki/Benin
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Mali,https://en.wikipedia.org/wiki/Mali
Niger,https://en.wikipedia.org/wiki/Niger
Senegal,https://en.wikipedia.org/wiki/Senegal
Togo,https://en.wikipedia.org/wiki/Togo
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Portuguese colony,https://en.wikipedia.org/wiki/Portuguese_Empire
francophone,https://en.wikipedia.org/wiki/Francophone
euros,https://en.wikipedia.org/wiki/Euro
Alliance of Sahel States,https://en.wikipedia.org/wiki/Alliance_of_Sahel_States
customs union,https://en.wikipedia.org/wiki/Customs_union
currency union,https://en.wikipedia.org/wiki/Currency_union
open markets,https://en.wikipedia.org/wiki/Open_market
macro-economic,https://en.wikipedia.org/wiki/Macroeconomics
common market,https://en.wikipedia.org/wiki/Single_market
common external tariff,https://en.wikipedia.org/wiki/Common_external_tariff
IMF,https://en.wikipedia.org/wiki/International_Monetary_Fund
ECOWAS,https://en.wikipedia.org/wiki/ECOWAS
trade liberalisation,https://en.wikipedia.org/wiki/Free_trade
customs declaration,https://en.wikipedia.org/wiki/Customs_declaration
Benin,https://en.wikipedia.org/wiki/Benin
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Mali,https://en.wikipedia.org/wiki/Mali
Niger,https://en.wikipedia.org/wiki/Niger
Senegal,https://en.wikipedia.org/wiki/Senegal
Togo,https://en.wikipedia.org/wiki/Togo
Economic and Monetary Community of Central Africa,https://en.wikipedia.org/wiki/Economic_and_Monetary_Community_of_Central_Africa
Eastern Caribbean Currency Union,https://en.wikipedia.org/wiki/Eastern_Caribbean_Currency_Union
Economic and Monetary Union of the European Union,https://en.wikipedia.org/wiki/Economic_and_Monetary_Union_of_the_European_Union
UEMOA Tournament,https://en.wikipedia.org/wiki/UEMOA_Tournament
Withdrew from ECOWAS,https://en.wikipedia.org/wiki/ECOWAS#States_that_have_withdrawn_or_been_suspended
European Council on Foreign Relations,https://en.wikipedia.org/wiki/European_Council_on_Foreign_Relations
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
hdl,https://en.wikipedia.org/wiki/Hdl_(identifier)
