text,url
History of theEuropean Union,https://en.wikipedia.org/wiki/History_of_the_European_Union
Timeline,https://en.wikipedia.org/wiki/Timeline_of_European_Union_history
Pre-1948 ideas,https://en.wikipedia.org/wiki/Ideas_of_European_unity_before_1948
1948–1957,https://en.wikipedia.org/wiki/History_of_the_European_integration_(1948%E2%80%931957)
1958–1972,https://en.wikipedia.org/wiki/History_of_the_European_Communities_(1958%E2%80%931972)
1973–1993,https://en.wikipedia.org/wiki/History_of_the_European_Communities_(1973%E2%80%931993)
1993–2004,https://en.wikipedia.org/wiki/History_of_the_European_Union_(1993%E2%80%932004)
2004–present,https://en.wikipedia.org/wiki/History_of_the_European_Union_since_2004
European Communities,https://en.wikipedia.org/wiki/European_Communities
European Coal and Steel Community,https://en.wikipedia.org/wiki/European_Coal_and_Steel_Community
European Economic Community,https://en.wikipedia.org/wiki/European_Economic_Community
European Atomic Energy Community,https://en.wikipedia.org/wiki/European_Atomic_Energy_Community
European Community,https://en.wikipedia.org/wiki/European_Economic_Community#European_Community
Justice and Home Affairs,https://en.wikipedia.org/wiki/Police_and_Judicial_Co-operation_in_Criminal_Matters
Police and Judicial Co-operation in Criminal Matters,https://en.wikipedia.org/wiki/Police_and_Judicial_Co-operation_in_Criminal_Matters
Common Foreign and Security Policy,https://en.wikipedia.org/wiki/Common_Foreign_and_Security_Policy
Western Union,https://en.wikipedia.org/wiki/Western_Union_(alliance)
Treaties,https://en.wikipedia.org/wiki/Treaties_of_the_European_Union
Treaty of Paris,https://en.wikipedia.org/wiki/Treaty_of_Paris_(1951)
Treaty of Rome,https://en.wikipedia.org/wiki/Treaty_of_Rome
Merger Treaty,https://en.wikipedia.org/wiki/Merger_Treaty
Single European Act,https://en.wikipedia.org/wiki/Single_European_Act
Maastricht Treaty,https://en.wikipedia.org/wiki/Maastricht_Treaty
Treaty of Amsterdam,https://en.wikipedia.org/wiki/Treaty_of_Amsterdam
Treaty of Nice,https://en.wikipedia.org/wiki/Treaty_of_Nice
Treaty of Lisbon,https://en.wikipedia.org/wiki/Treaty_of_Lisbon
Commissions,https://en.wikipedia.org/wiki/European_Commission
Hallstein Commission,https://en.wikipedia.org/wiki/Hallstein_Commission
Rey Commission,https://en.wikipedia.org/wiki/Rey_Commission
Malfatti Commission,https://en.wikipedia.org/wiki/Malfatti_Commission
Mansholt Commission,https://en.wikipedia.org/wiki/Mansholt_Commission
Ortoli Commission,https://en.wikipedia.org/wiki/Ortoli_Commission
Jenkins Commission,https://en.wikipedia.org/wiki/Jenkins_Commission_(EU)
Thorn Commission,https://en.wikipedia.org/wiki/Thorn_Commission
Delors Commissions I–III,https://en.wikipedia.org/wiki/Delors_Commission
Santer Commission,https://en.wikipedia.org/wiki/Santer_Commission
Prodi Commission,https://en.wikipedia.org/wiki/Prodi_Commission
Barroso Commission I & II,https://en.wikipedia.org/wiki/Barroso_Commission
Juncker Commission,https://en.wikipedia.org/wiki/Juncker_Commission
Von der Leyen Commission I,https://en.wikipedia.org/wiki/Von_der_Leyen_Commission_I
Von der Leyen Commission II,https://en.wikipedia.org/wiki/Von_der_Leyen_Commission_II
History of Europe,https://en.wikipedia.org/wiki/History_of_Europe
History of the euro,https://en.wikipedia.org/wiki/History_of_the_euro
History of defence integration,https://en.wikipedia.org/wiki/History_of_the_Common_Security_and_Defence_Policy
History of enlargement,https://en.wikipedia.org/wiki/Enlargement_of_the_European_Union
1995,https://en.wikipedia.org/wiki/1995_enlargement_of_the_European_Union
2004,https://en.wikipedia.org/wiki/2004_enlargement_of_the_European_Union
2007,https://en.wikipedia.org/wiki/2007_enlargement_of_the_European_Union
2013,https://en.wikipedia.org/wiki/2013_enlargement_of_the_European_Union
List of presidents,https://en.wikipedia.org/wiki/List_of_presidents_of_the_institutions_of_the_European_Union
List of founders,https://en.wikipedia.org/wiki/Founding_fathers_of_the_European_Union
French,https://en.wikipedia.org/wiki/French_language
German,https://en.wikipedia.org/wiki/German_language
Western Union,https://en.wikipedia.org/wiki/Western_Union_(alliance)
Treaty of Brussels,https://en.wikipedia.org/wiki/Treaty_of_Brussels
Modified Brussels Treaty,https://en.wikipedia.org/wiki/Treaty_of_Brussels#Modification
Cold War,https://en.wikipedia.org/wiki/Cold_War
Western Bloc,https://en.wikipedia.org/wiki/Western_Bloc
United States,https://en.wikipedia.org/wiki/United_States
North Atlantic Treaty Organization,https://en.wikipedia.org/wiki/North_Atlantic_Treaty_Organization
European Union,https://en.wikipedia.org/wiki/European_Union
Common Security and Defence Policy,https://en.wikipedia.org/wiki/Common_Security_and_Defence_Policy
member states of the European Union,https://en.wikipedia.org/wiki/Member_states_of_the_European_Union
Treaty of Lisbon,https://en.wikipedia.org/wiki/Treaty_of_Lisbon
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
France,https://en.wikipedia.org/wiki/France
Belgium,https://en.wikipedia.org/wiki/Belgium
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Western Union,https://en.wikipedia.org/wiki/Western_Union_(alliance)
North Atlantic Treaty,https://en.wikipedia.org/wiki/North_Atlantic_Treaty
North Atlantic Treaty Organisation,https://en.wikipedia.org/wiki/NATO
Western Union Defence Organisation,https://en.wikipedia.org/wiki/Western_Union_Defence_Organisation
Supreme Headquarters Allied Powers Europe,https://en.wikipedia.org/wiki/Supreme_Headquarters_Allied_Powers_Europe
Western Europe,https://en.wikipedia.org/wiki/Western_Europe
Organisation for European Economic Cooperation,https://en.wikipedia.org/wiki/OECD
North Atlantic Treaty Organisation,https://en.wikipedia.org/wiki/NATO
Council of Europe,https://en.wikipedia.org/wiki/Council_of_Europe
European Coal and Steel Community,https://en.wikipedia.org/wiki/European_Coal_and_Steel_Community
Treaty of Brussels,https://en.wikipedia.org/wiki/Treaty_of_Brussels
Paris Conference,https://en.wikipedia.org/wiki/London_and_Paris_Conferences#Paris
Treaty establishing the European Defence Community,https://en.wikipedia.org/wiki/Treaty_establishing_the_European_Defence_Community
General Treaty,https://en.wikipedia.org/wiki/General_Treaty
German,https://en.wikipedia.org/wiki/German_language
Italy,https://en.wikipedia.org/wiki/Italy
West Germany,https://en.wikipedia.org/wiki/West_Germany
European Communities,https://en.wikipedia.org/wiki/European_Communities
European Political Cooperation,https://en.wikipedia.org/wiki/European_Political_Cooperation
Rome Declaration,https://en.wikipedia.org/wiki/Rome_Declaration
Hotel Petersberg,https://en.wikipedia.org/wiki/Hotel_Petersberg
Petersberg Declaration,https://en.wikipedia.org/wiki/Petersberg_Declaration
humanitarian,https://en.wikipedia.org/wiki/Humanitarian
peacekeeping,https://en.wikipedia.org/wiki/Peacekeeping
crisis management,https://en.wikipedia.org/wiki/Crisis_management
peacemaking,https://en.wikipedia.org/wiki/Peacemaking
NATO,https://en.wikipedia.org/wiki/NATO
military bases,https://en.wikipedia.org/wiki/Military_base
Saint-Malo declaration,https://en.wikipedia.org/wiki/Saint-Malo_declaration
Kosovo War,https://en.wikipedia.org/wiki/Kosovo_War
Madeleine Albright,https://en.wikipedia.org/wiki/Madeleine_Albright
High Representative,https://en.wikipedia.org/wiki/High_Representative_of_the_Union_for_Foreign_Affairs_and_Security_Policy
Javier Solana,https://en.wikipedia.org/wiki/Javier_Solana
Treaty of Amsterdam,https://en.wikipedia.org/wiki/Treaty_of_Amsterdam
Cologne European Council,https://en.wikipedia.org/wiki/List_of_European_Councils#Cologne_1999
Javier Solana,https://en.wikipedia.org/wiki/Javier_Solana
High Representative for Common Foreign and Security Policy,https://en.wikipedia.org/wiki/High_Representative_for_Common_Foreign_and_Security_Policy
