text,url
institute,https://en.wikipedia.org/wiki/Institute
Nairobi,https://en.wikipedia.org/wiki/Nairobi
Kenya,https://en.wikipedia.org/wiki/Kenya
sustainable management,https://en.wikipedia.org/wiki/Sustainable_management
protection,https://en.wikipedia.org/wiki/Environmental_protection
regulation,https://en.wikipedia.org/wiki/Regulation
tropical rainforest,https://en.wikipedia.org/wiki/Tropical_rainforest
CGIAR,https://en.wikipedia.org/wiki/CGIAR
agroforestry,https://en.wikipedia.org/wiki/Agroforestry
South America,https://en.wikipedia.org/wiki/South_America
Southeast Asia,https://en.wikipedia.org/wiki/Southeast_Asia
Africa,https://en.wikipedia.org/wiki/Africa
Forest Day,https://en.wikipedia.org/wiki/Forest_Day
Aster Gebrekirstos,https://en.wikipedia.org/wiki/Aster_Gebrekirstos
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ecology,https://en.wikipedia.org/wiki/Ecology
