text,url
French,https://en.wikipedia.org/wiki/French_language
French,https://en.wikipedia.org/wiki/French_language
confederation,https://en.wikipedia.org/wiki/Confederation
Mali,https://en.wikipedia.org/wiki/Mali
Niger,https://en.wikipedia.org/wiki/Niger
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Sahel,https://en.wikipedia.org/wiki/Sahel
mutual defense pact,https://en.wikipedia.org/wiki/Mutual_defense_pact
2023 Nigerien crisis,https://en.wikipedia.org/wiki/2023_Nigerien_crisis
ECOWAS,https://en.wikipedia.org/wiki/ECOWAS
coup d'état in Niger,https://en.wikipedia.org/wiki/2023_Nigerien_coup_d%27%C3%A9tat
juntas,https://en.wikipedia.org/wiki/Military_junta
2021 Malian coup d'état,https://en.wikipedia.org/wiki/2021_Malian_coup_d%27%C3%A9tat
September 2022 Burkina Faso coup d'état,https://en.wikipedia.org/wiki/September_2022_Burkina_Faso_coup_d%27%C3%A9tat
2023 Niger coup d'état,https://en.wikipedia.org/wiki/2023_Niger_coup_d%27%C3%A9tat
common market,https://en.wikipedia.org/wiki/Single_market
monetary union,https://en.wikipedia.org/wiki/Monetary_union
free movement of persons,https://en.wikipedia.org/wiki/Free_movement_of_persons
industrialization,https://en.wikipedia.org/wiki/Industrialisation
federalizing,https://en.wikipedia.org/wiki/Federation
sovereign state,https://en.wikipedia.org/wiki/Sovereign_state
neo-colonialism,https://en.wikipedia.org/wiki/Neocolonialism
anti-French,https://en.wikipedia.org/wiki/Anti-French_sentiment
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
Amnesty International,https://en.wikipedia.org/wiki/Amnesty_International
terrorist,https://en.wikipedia.org/wiki/Terrorism
insurgent,https://en.wikipedia.org/wiki/Insurgency
ISSP,https://en.wikipedia.org/wiki/Islamic_State_%E2%80%93_Sahel_Province
Jama'at Nasr al-Islam wal Muslimin,https://en.wikipedia.org/wiki/Jama%27at_Nasr_al-Islam_wal_Muslimin
separatist,https://en.wikipedia.org/wiki/Separatism
fighting in Northern Mali,https://en.wikipedia.org/wiki/Mali_War
Azawad Movement,https://en.wikipedia.org/wiki/Coordination_of_Azawad_Movements
Russian,https://en.wikipedia.org/wiki/Russia
mercenaries,https://en.wikipedia.org/wiki/Mercenary
Wagner Group,https://en.wikipedia.org/wiki/Wagner_Group
Sweden,https://en.wikipedia.org/wiki/Sweden
Islamic State – Sahel Province,https://en.wikipedia.org/wiki/Islamic_State_%E2%80%93_Sahel_Province
Sahel,https://en.wikipedia.org/wiki/Sahel
jihadist insurgency,https://en.wikipedia.org/wiki/Islamist_insurgency_in_the_Sahel
Mali War,https://en.wikipedia.org/wiki/Mali_War
Boko Haram insurgency,https://en.wikipedia.org/wiki/Boko_Haram_insurgency
civilian governments,https://en.wikipedia.org/wiki/Civil_authority
Coup Belt,https://en.wikipedia.org/wiki/Coup_Belt
G5 Sahel,https://en.wikipedia.org/wiki/G5_Sahel
Chad,https://en.wikipedia.org/wiki/Chad
Mauritania,https://en.wikipedia.org/wiki/Mauritania
2020 Malian coup d'état,https://en.wikipedia.org/wiki/2020_Malian_coup_d%27%C3%A9tat
Assimi Goïta,https://en.wikipedia.org/wiki/Assimi_Go%C3%AFta
National Committee for the Salvation of the People,https://en.wikipedia.org/wiki/National_Committee_for_the_Salvation_of_the_People
Ibrahim Boubacar Keïta,https://en.wikipedia.org/wiki/Ibrahim_Boubacar_Ke%C3%AFta
Bah Ndaw,https://en.wikipedia.org/wiki/Bah_Ndaw
2021 Guinean coup d'état,https://en.wikipedia.org/wiki/2021_Guinean_coup_d%27%C3%A9tat
National Committee of Reconciliation and Development,https://en.wikipedia.org/wiki/National_Committee_of_Reconciliation_and_Development
Alpha Condé,https://en.wikipedia.org/wiki/Alpha_Cond%C3%A9
Mamady Doumbouya,https://en.wikipedia.org/wiki/Mamady_Doumbouya
September 2022 coup d'état,https://en.wikipedia.org/wiki/September_2022_Burkina_Faso_coup_d%27%C3%A9tat
Ibrahim Traoré,https://en.wikipedia.org/wiki/Ibrahim_Traor%C3%A9
Paul-Henri Sandaogo Damiba,https://en.wikipedia.org/wiki/Paul-Henri_Sandaogo_Damiba
January 2022 coup d'état,https://en.wikipedia.org/wiki/January_2022_Burkina_Faso_coup_d%27%C3%A9tat
Roch Marc Christian Kaboré,https://en.wikipedia.org/wiki/Roch_Marc_Christian_Kabor%C3%A9
National Council for the Safeguard of the Homeland,https://en.wikipedia.org/wiki/National_Council_for_the_Safeguard_of_the_Homeland
Mohamed Bazoum,https://en.wikipedia.org/wiki/Mohamed_Bazoum
Abdourahamane Tchiani,https://en.wikipedia.org/wiki/Abdourahamane_Tchiani
2023 coup d'état,https://en.wikipedia.org/wiki/2023_Nigerien_coup_d%27%C3%A9tat
mutual defense bloc,https://en.wikipedia.org/wiki/Collective_security
Niamey,https://en.wikipedia.org/wiki/Niamey
Assimi Goïta,https://en.wikipedia.org/wiki/Assimi_Go%C3%AFta
interim president of the republic of Mali,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Mali
Economic Community of West African States,https://en.wikipedia.org/wiki/Economic_Community_of_West_African_States
West African Economic and Monetary Union,https://en.wikipedia.org/wiki/West_African_Economic_and_Monetary_Union
central bank,https://en.wikipedia.org/wiki/Central_bank
CFA franc,https://en.wikipedia.org/wiki/West_African_CFA_franc
Salifou Modi,https://en.wikipedia.org/wiki/Salifou_Modi
Roaming,https://en.wikipedia.org/wiki/Roaming
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Ouagadougou,https://en.wikipedia.org/wiki/Ouagadougou
Mooré,https://en.wikipedia.org/wiki/Moor%C3%A9
Dyula,https://en.wikipedia.org/wiki/Dyula_language
Mali,https://en.wikipedia.org/wiki/Mali
Bamako,https://en.wikipedia.org/wiki/Bamako
Bambara,https://en.wikipedia.org/wiki/Bambara_language
Niger,https://en.wikipedia.org/wiki/Niger
Niamey,https://en.wikipedia.org/wiki/Niamey
Hausa,https://en.wikipedia.org/wiki/Hausa_language
uranium exporters,https://en.wikipedia.org/wiki/Uranium_mining
Euratom,https://en.wikipedia.org/wiki/Euratom
Niger–Benin Oil Pipeline,https://en.wikipedia.org/wiki/Niger%E2%80%93Benin_Oil_Pipeline
phosphates,https://en.wikipedia.org/wiki/Phosphate
molybdenum,https://en.wikipedia.org/wiki/Molybdenum
gypsum,https://en.wikipedia.org/wiki/Gypsum
salt,https://en.wikipedia.org/wiki/Salt
manganese,https://en.wikipedia.org/wiki/Manganese
zinc,https://en.wikipedia.org/wiki/Zinc
limestone,https://en.wikipedia.org/wiki/Limestone
marble,https://en.wikipedia.org/wiki/Marble
pumice,https://en.wikipedia.org/wiki/Pumice
kaolin,https://en.wikipedia.org/wiki/Kaolinite
granite,https://en.wikipedia.org/wiki/Granite
