text,url
Indigenous rights,https://en.wikipedia.org/wiki/Indigenous_rights
Ancestral domain,https://en.wikipedia.org/wiki/Ancestral_domain
Cultural rights,https://en.wikipedia.org/wiki/Cultural_rights
Intellectual property,https://en.wikipedia.org/wiki/Indigenous_intellectual_property
Land rights,https://en.wikipedia.org/wiki/Indigenous_land_rights
Language,https://en.wikipedia.org/wiki/Indigenous_language
Traditional knowledge,https://en.wikipedia.org/wiki/Traditional_knowledge
Treaty rights,https://en.wikipedia.org/wiki/Treaty_rights
Water and sanitation,https://en.wikipedia.org/wiki/Human_right_to_water_and_sanitation
Protection,https://en.wikipedia.org/wiki/Water_protectors
ACHPR,https://en.wikipedia.org/wiki/African_Commission_on_Human_and_Peoples%27_Rights
AID,https://en.wikipedia.org/wiki/Ministry_of_Labour_and_Social_Inclusion
BIA,https://en.wikipedia.org/wiki/Bureau_of_Indian_Affairs
CIP,https://en.wikipedia.org/wiki/Council_of_Indigenous_Peoples
CIRNAC,https://en.wikipedia.org/wiki/Crown%E2%80%93Indigenous_Relations_and_Northern_Affairs_Canada
DTA,https://en.wikipedia.org/wiki/Department_of_Traditional_Affairs
FUNAI,https://en.wikipedia.org/wiki/Funda%C3%A7%C3%A3o_Nacional_dos_Povos_Ind%C3%ADgenas
INPI,https://en.wikipedia.org/wiki/National_Institute_of_Indigenous_Peoples
JAKOA,https://en.wikipedia.org/wiki/Department_of_Orang_Asli_Development
NCIP,https://en.wikipedia.org/wiki/National_Commission_on_Indigenous_Peoples_(Philippines)
NIAA,https://en.wikipedia.org/wiki/National_Indigenous_Australians_Agency
MCHTA,https://en.wikipedia.org/wiki/Ministry_of_Chittagong_Hill_Tracts_Affairs
TPK,https://en.wikipedia.org/wiki/Te_Puni_K%C5%8Dkiri
UNPFII,https://en.wikipedia.org/wiki/United_Nations_Permanent_Forum_on_Indigenous_Issues
United Nations,https://en.wikipedia.org/wiki/United_Nations
9 August,https://en.wikipedia.org/wiki/International_Day_of_the_World%27s_Indigenous_Peoples
UNPFII,https://en.wikipedia.org/wiki/United_Nations_Permanent_Forum_on_Indigenous_Issues
WIPO IGC,"https://en.wikipedia.org/wiki/Intergovernmental_Committee_on_Intellectual_Property_and_Genetic_Resources,_Traditional_Knowledge_and_Folklore"
BBNJ ABS Committee,https://en.wikipedia.org/wiki/High_Seas_Treaty
Indigenous Caucus,https://en.wikipedia.org/wiki/Indigenous_Caucus
ILO 107,"https://en.wikipedia.org/wiki/Indigenous_and_Tribal_Populations_Convention,_1957"
ILO 169,"https://en.wikipedia.org/wiki/Indigenous_and_Tribal_Peoples_Convention,_1989"
United Nations Declaration (UNDRIP),https://en.wikipedia.org/wiki/Declaration_on_the_Rights_of_Indigenous_Peoples
GRATK Anti-Biopiracy Treaty,"https://en.wikipedia.org/wiki/WIPO_Treaty_on_Intellectual_Property,_Genetic_Resources_and_Associated_Traditional_Knowledge"
