text,url
economies,https://en.wikipedia.org/wiki/Economy
Pacific Rim,https://en.wikipedia.org/wiki/Pacific_Rim
free trade,https://en.wikipedia.org/wiki/Free_trade
Asia-Pacific,https://en.wikipedia.org/wiki/Asia-Pacific
ASEAN,https://en.wikipedia.org/wiki/Association_of_Southeast_Asian_Nations
Asia-Pacific,https://en.wikipedia.org/wiki/Asia-Pacific
trade blocs,https://en.wikipedia.org/wiki/Trade_bloc
Singapore,https://en.wikipedia.org/wiki/Singapore
heads of government,https://en.wikipedia.org/wiki/Heads_of_government
Taiwan,https://en.wikipedia.org/wiki/Taiwan
ministerial-level official,https://en.wikipedia.org/wiki/List_of_Chinese_Taipei_Representatives_to_APEC
national costume,https://en.wikipedia.org/wiki/National_costume
Association of Southeast Asian Nations,https://en.wikipedia.org/wiki/Association_of_Southeast_Asian_Nations
Pacific Economic Cooperation Council,https://en.wikipedia.org/wiki/Pacific_Economic_Cooperation_Council
Pacific Islands Forum,https://en.wikipedia.org/wiki/Pacific_Islands_Forum
G20,https://en.wikipedia.org/wiki/G20
ABC,https://en.wikipedia.org/wiki/Australian_Broadcasting_Corporation
Melbourne Cup,https://en.wikipedia.org/wiki/Melbourne_Cup
Association of Southeast Asian Nations,https://en.wikipedia.org/wiki/Association_of_Southeast_Asian_Nations
Australian Prime Minister,https://en.wikipedia.org/wiki/Prime_Minister_of_Australia
Bob Hawke,https://en.wikipedia.org/wiki/Bob_Hawke
Canberra,https://en.wikipedia.org/wiki/Canberra
Australian Foreign Affairs Minister,https://en.wikipedia.org/wiki/Minister_for_Foreign_Affairs_(Australia)
Gareth Evans,https://en.wikipedia.org/wiki/Gareth_Evans_(politician)
Singapore,https://en.wikipedia.org/wiki/Singapore
South Korea,https://en.wikipedia.org/wiki/South_Korea
Bogor,https://en.wikipedia.org/wiki/Bogor
Eurostat,https://en.wikipedia.org/wiki/Eurostat
International Energy Agency,https://en.wikipedia.org/wiki/International_Energy_Agency
Organization of the Petroleum Exporting Countries,https://en.wikipedia.org/wiki/Organization_of_the_Petroleum_Exporting_Countries
United Nations Statistics Division,https://en.wikipedia.org/wiki/United_Nations_Statistics_Division
Joint Organisations Data Initiative,https://en.wikipedia.org/wiki/Joint_Organisations_Data_Initiative
1st,https://en.wikipedia.org/wiki/APEC_Australia_1989
Australia,https://en.wikipedia.org/wiki/Australia
Canberra,https://en.wikipedia.org/wiki/Canberra
Bob Hawke,https://en.wikipedia.org/wiki/Bob_Hawke
Singapore,https://en.wikipedia.org/wiki/Singapore
Lee Kuan Yew,https://en.wikipedia.org/wiki/Lee_Kuan_Yew
South Korea,https://en.wikipedia.org/wiki/South_Korea
Seoul,https://en.wikipedia.org/wiki/Seoul
Roh Tae-woo,https://en.wikipedia.org/wiki/Roh_Tae-woo
Thailand,https://en.wikipedia.org/wiki/Thailand
Bangkok,https://en.wikipedia.org/wiki/Bangkok
Anand Panyarachun,https://en.wikipedia.org/wiki/Anand_Panyarachun
United States,https://en.wikipedia.org/wiki/United_States
Blake Island,https://en.wikipedia.org/wiki/Blake_Island
Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton
2nd,https://en.wikipedia.org/wiki/APEC_Indonesia_1994
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Bogor,https://en.wikipedia.org/wiki/Bogor
Suharto,https://en.wikipedia.org/wiki/Suharto
Japan,https://en.wikipedia.org/wiki/Japan
Osaka,https://en.wikipedia.org/wiki/Osaka
Tomiichi Murayama,https://en.wikipedia.org/wiki/Tomiichi_Murayama
4th,https://en.wikipedia.org/wiki/APEC_Philippines_1996
Philippines,https://en.wikipedia.org/wiki/Philippines
Subic,https://en.wikipedia.org/wiki/Subic_Bay_Freeport_Zone
Fidel Ramos,https://en.wikipedia.org/wiki/Fidel_Ramos
5th,https://en.wikipedia.org/wiki/APEC_Canada_1997
Canada,https://en.wikipedia.org/wiki/Canada
Vancouver,https://en.wikipedia.org/wiki/Vancouver
Jean Chrétien,https://en.wikipedia.org/wiki/Jean_Chr%C3%A9tien
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Kuala Lumpur,https://en.wikipedia.org/wiki/Kuala_Lumpur
Mahathir Mohamad,https://en.wikipedia.org/wiki/Mahathir_Mohamad
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Auckland,https://en.wikipedia.org/wiki/Auckland
Jenny Shipley,https://en.wikipedia.org/wiki/Jenny_Shipley
Brunei,https://en.wikipedia.org/wiki/Brunei
Bandar Seri Begawan,https://en.wikipedia.org/wiki/Bandar_Seri_Begawan
Hassanal Bolkiah,https://en.wikipedia.org/wiki/Hassanal_Bolkiah
9th,https://en.wikipedia.org/wiki/APEC_China_2001
China,https://en.wikipedia.org/wiki/China
Shanghai,https://en.wikipedia.org/wiki/Shanghai
Jiang Zemin,https://en.wikipedia.org/wiki/Jiang_Zemin
10th,https://en.wikipedia.org/wiki/APEC_Mexico_2002
