text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Asian,https://en.wikipedia.org/wiki/Asia
regional organizations,https://en.wikipedia.org/wiki/Regional_organization
ASEAN,https://en.wikipedia.org/wiki/ASEAN
Gulf Cooperation Council,https://en.wikipedia.org/wiki/Gulf_Cooperation_Council
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
Shanghai Cooperation Organisation,https://en.wikipedia.org/wiki/Shanghai_Cooperation_Organisation
SAARC,https://en.wikipedia.org/wiki/South_Asian_Association_for_Regional_Cooperation
Kuwait City,https://en.wikipedia.org/wiki/Kuwait_City
Manila,https://en.wikipedia.org/wiki/Manila
Surakiart Sathirathai,https://en.wikipedia.org/wiki/Surakiart_Sathirathai
Thai Rak Thai,https://en.wikipedia.org/wiki/Thai_Rak_Thai
Thaksin Shinawatra,https://en.wikipedia.org/wiki/Thaksin_Shinawatra
Prime Minister of Thailand,https://en.wikipedia.org/wiki/Prime_Minister_of_Thailand
Hanoi,https://en.wikipedia.org/wiki/Hanoi
Phuket,https://en.wikipedia.org/wiki/Phuket_(city)
Cha-am,https://en.wikipedia.org/wiki/Cha-am_District
Chiang Mai,https://en.wikipedia.org/wiki/Chiang_Mai
Qingdao,https://en.wikipedia.org/wiki/Qingdao
Islamabad,https://en.wikipedia.org/wiki/Islamabad
Doha,https://en.wikipedia.org/wiki/Doha
Seoul,https://en.wikipedia.org/wiki/Seoul
Astana,https://en.wikipedia.org/wiki/Nur-Sultan
Colombo,https://en.wikipedia.org/wiki/Colombo
Tehran,https://en.wikipedia.org/wiki/Tehran
Kuwait City,https://en.wikipedia.org/wiki/Kuwait_City
Dushanbe,https://en.wikipedia.org/wiki/Dushanbe
Manama,https://en.wikipedia.org/wiki/Manama
Riyadh,https://en.wikipedia.org/wiki/Riyadh
Bangkok,https://en.wikipedia.org/wiki/Bangkok
Abu Dhabi,https://en.wikipedia.org/wiki/Abu_Dhabi
Doha,https://en.wikipedia.org/wiki/Doha
Ankara,https://en.wikipedia.org/wiki/Ankara
Kuwait City,https://en.wikipedia.org/wiki/Kuwait_City
Bangkok,https://en.wikipedia.org/wiki/Bangkok
Doha,https://en.wikipedia.org/wiki/Doha
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
regional organizations,https://en.wikipedia.org/wiki/Regional_organization
regional organization,https://en.wikipedia.org/wiki/Regional_organization
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
SAARC,https://en.wikipedia.org/wiki/South_Asian_Association_for_Regional_Cooperation
