text,url
regional development bank,https://en.wikipedia.org/wiki/Multilateral_development_bank
economic development,https://en.wikipedia.org/wiki/Economic_development
Metro Manila,https://en.wikipedia.org/wiki/Metro_Manila
UN Economic and Social Commission for Asia and the Pacific,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Asia_and_the_Pacific
developed countries,https://en.wikipedia.org/wiki/Developed_country
World Bank,https://en.wikipedia.org/wiki/World_Bank
Masato Kanda,https://en.wikipedia.org/wiki/Masato_Kanda
Masatsugu Asakawa,https://en.wikipedia.org/wiki/Masatsugu_Asakawa
Takehiko Nakao,https://en.wikipedia.org/wiki/Takehiko_Nakao
Haruhiko Kuroda,https://en.wikipedia.org/wiki/Haruhiko_Kuroda
Mandaluyong,https://en.wikipedia.org/wiki/Mandaluyong
Metro Manila,https://en.wikipedia.org/wiki/Metro_Manila
Philippines,https://en.wikipedia.org/wiki/Philippines
Washington,"https://en.wikipedia.org/wiki/Washington,_D.C."
Sydney,https://en.wikipedia.org/wiki/Sydney
Takeshi Watanabe,https://en.wikipedia.org/wiki/Takeshi_Watanabe_(bureaucrat)
Japanese,https://en.wikipedia.org/wiki/Japan
Japanese,https://en.wikipedia.org/wiki/Japan
Japanese,https://en.wikipedia.org/wiki/Japan
Japanese,https://en.wikipedia.org/wiki/Japan
Japanese,https://en.wikipedia.org/wiki/Japan
Mitsuo Sato,https://en.wikipedia.org/wiki/Mitsuo_Sato
Japanese,https://en.wikipedia.org/wiki/Japan
Tadao Chino,https://en.wikipedia.org/wiki/Tadao_Chino
Japanese,https://en.wikipedia.org/wiki/Japan
Haruhiko Kuroda,https://en.wikipedia.org/wiki/Haruhiko_Kuroda
Japanese,https://en.wikipedia.org/wiki/Japan
Takehiko Nakao,https://en.wikipedia.org/wiki/Takehiko_Nakao
Japanese,https://en.wikipedia.org/wiki/Japan
Masatsugu Asakawa,https://en.wikipedia.org/wiki/Masatsugu_Asakawa
Japanese,https://en.wikipedia.org/wiki/Japan
Masato Kanda,https://en.wikipedia.org/wiki/Masato_Kanda
Japanese,https://en.wikipedia.org/wiki/Japan
Hisato Ichimada,https://en.wikipedia.org/wiki/Hisato_Ichimada
United States Secretary of State,https://en.wikipedia.org/wiki/United_States_Secretary_of_State
John Foster Dulles,https://en.wikipedia.org/wiki/John_Foster_Dulles
Nobusuke Kishi,https://en.wikipedia.org/wiki/Nobusuke_Kishi
Takeshi Watanabe,https://en.wikipedia.org/wiki/Takeshi_Watanabe_(bureaucrat)
World Bank,https://en.wikipedia.org/wiki/World_Bank
Lyndon B. Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson
South Vietnam,https://en.wikipedia.org/wiki/South_Vietnam
Bangkok,https://en.wikipedia.org/wiki/Bangkok
Colombo,https://en.wikipedia.org/wiki/Colombo
Kabul,https://en.wikipedia.org/wiki/Kabul
Manila,https://en.wikipedia.org/wiki/Manila
Phnom Penh,https://en.wikipedia.org/wiki/Phnom_Penh
Tehran,https://en.wikipedia.org/wiki/Tehran
Diosdado Macapagal,https://en.wikipedia.org/wiki/Diosdado_Macapagal
Eisaku Satō,https://en.wikipedia.org/wiki/Eisaku_Sat%C5%8D
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Thailand,https://en.wikipedia.org/wiki/Thailand
Malaysia,https://en.wikipedia.org/wiki/Malaysia
South Korea,https://en.wikipedia.org/wiki/South_Korea
Philippines,https://en.wikipedia.org/wiki/Philippines
oil price,https://en.wikipedia.org/wiki/Price_of_oil
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Roxas Boulevard,https://en.wikipedia.org/wiki/Roxas_Boulevard
Pasay City,https://en.wikipedia.org/wiki/Pasay_City
Ortigas Center,https://en.wikipedia.org/wiki/Ortigas_Center
Pasig City,https://en.wikipedia.org/wiki/Pasig_City
Department of Foreign Affairs (Philippines),https://en.wikipedia.org/wiki/Department_of_Foreign_Affairs_(Philippines)
severe acute respiratory syndrome,https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome
avian influenza,https://en.wikipedia.org/wiki/Avian_influenza
Maldives,https://en.wikipedia.org/wiki/Maldives
2004 Indian Ocean earthquake and tsunami,https://en.wikipedia.org/wiki/2004_Indian_Ocean_earthquake_and_tsunami
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
income gap,https://en.wikipedia.org/wiki/Income_gap
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Myanmar,https://en.wikipedia.org/wiki/Myanmar
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
social development,https://en.wikipedia.org/wiki/Social_change
sustainable growth,https://en.wikipedia.org/wiki/Sustainable_growth
regional integration,https://en.wikipedia.org/wiki/Regional_integration
climate change,https://en.wikipedia.org/wiki/Climate_change
manage their natural resources,https://en.wikipedia.org/wiki/Natural_resource_management
Environmental sustainability,https://en.wikipedia.org/wiki/Environmental_sustainability
"soft"" loans",https://en.wikipedia.org/wiki/Soft_loan
China,https://en.wikipedia.org/wiki/China
India,https://en.wikipedia.org/wiki/India
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Philippines,https://en.wikipedia.org/wiki/Philippines
India International Exchange,https://en.wikipedia.org/wiki/India_International_Exchange
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
Russian invasion of Ukraine,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine
food crisis,https://en.wikipedia.org/wiki/Famine
climate change,https://en.wikipedia.org/wiki/Climate_change
gender equality,https://en.wikipedia.org/wiki/Gender_equality
healthcare,https://en.wikipedia.org/wiki/Health_care
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Armenia,https://en.wikipedia.org/wiki/Armenia
Bhutan,https://en.wikipedia.org/wiki/Bhutan
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Laos,https://en.wikipedia.org/wiki/Laos
Mongolia,https://en.wikipedia.org/wiki/Mongolia
Philippines,https://en.wikipedia.org/wiki/Philippines
North–South Commuter Railway,https://en.wikipedia.org/wiki/North%E2%80%93South_Commuter_Railway
Japan International Cooperation Agency,https://en.wikipedia.org/wiki/Japan_International_Cooperation_Agency
Bataan–Cavite Interlink Bridge,https://en.wikipedia.org/wiki/Bataan%E2%80%93Cavite_Interlink_Bridge
Asian Infrastructure Investment Bank,https://en.wikipedia.org/wiki/Asian_Infrastructure_Investment_Bank
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
Oxfam,https://en.wikipedia.org/wiki/Oxfam
United Nations Environmental Program,https://en.wikipedia.org/wiki/United_Nations_Environmental_Program
Thailand,https://en.wikipedia.org/wiki/Thailand
