text,url
Europe,https://en.wikipedia.org/wiki/Europe
Louvain-la-Neuve,https://en.wikipedia.org/wiki/Louvain-la-Neuve
Walloon Brabant,https://en.wikipedia.org/wiki/Walloon_Brabant
Maastricht Treaty,https://en.wikipedia.org/wiki/Maastricht_Treaty
Committee of the Regions,https://en.wikipedia.org/wiki/Committee_of_the_Regions
Congress of Local and Regional Authorities of Europe,https://en.wikipedia.org/wiki/Congress_of_the_Council_of_Europe
Albania,https://en.wikipedia.org/wiki/Albania
Berat County,https://en.wikipedia.org/wiki/Berat_County
Dibër County,https://en.wikipedia.org/wiki/Dib%C3%ABr_County
Durrës County,https://en.wikipedia.org/wiki/Durr%C3%ABs_County
Elbasan County,https://en.wikipedia.org/wiki/Elbasan_County
Fier County,https://en.wikipedia.org/wiki/Fier_County
Gjirokastër County,https://en.wikipedia.org/wiki/Gjirokast%C3%ABr_County
Korçë County,https://en.wikipedia.org/wiki/Kor%C3%A7%C3%AB_County
Kukës County,https://en.wikipedia.org/wiki/Kuk%C3%ABs_County
Lezhë County,https://en.wikipedia.org/wiki/Lezh%C3%AB_County
Shkodër County,https://en.wikipedia.org/wiki/Shkod%C3%ABr_County
Tirana County,https://en.wikipedia.org/wiki/Tirana_County
Vlorë County,https://en.wikipedia.org/wiki/Vlor%C3%AB_County
Armenia,https://en.wikipedia.org/wiki/Armenia
Tavush Province,https://en.wikipedia.org/wiki/Tavush_Province
Lori Province,https://en.wikipedia.org/wiki/Lori_Province
Austria,https://en.wikipedia.org/wiki/Austria
Burgenland,https://en.wikipedia.org/wiki/Burgenland
Lower Austria,https://en.wikipedia.org/wiki/Lower_Austria
Tyrol,https://en.wikipedia.org/wiki/Tyrol_(federal_state)
Upper Austria,https://en.wikipedia.org/wiki/Upper_Austria
Vienna,https://en.wikipedia.org/wiki/Vienna
Belgium,https://en.wikipedia.org/wiki/Belgium
Brussels-Capital Region,https://en.wikipedia.org/wiki/Brussels-Capital_Region
German-speaking Community,https://en.wikipedia.org/wiki/German-speaking_Community
Wallonia,https://en.wikipedia.org/wiki/Wallonia
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Bosnian-Podrinje Canton Goražde,https://en.wikipedia.org/wiki/Bosnian-Podrinje_Canton_Gora%C5%BEde
Brčko District,https://en.wikipedia.org/wiki/Br%C4%8Dko_District
Sarajevo Canton,https://en.wikipedia.org/wiki/Sarajevo_Canton
Zenica-Doboj,https://en.wikipedia.org/wiki/Zenica-Doboj
Croatia,https://en.wikipedia.org/wiki/Croatia
Istria County,https://en.wikipedia.org/wiki/Istria_County
Krapina-Zagorje County,https://en.wikipedia.org/wiki/Krapina-Zagorje_County
Osijek-Baranja County,https://en.wikipedia.org/wiki/Osijek-Baranja_County
Primorje-Gorski Kotar County,https://en.wikipedia.org/wiki/Primorje-Gorski_Kotar_County
Šibenik-Knin County,https://en.wikipedia.org/wiki/%C5%A0ibenik-Knin_County
Split-Dalmatia County,https://en.wikipedia.org/wiki/Split-Dalmatia_County
Varaždin County,https://en.wikipedia.org/wiki/Vara%C5%BEdin_County
Zagreb County,https://en.wikipedia.org/wiki/Zagreb_County
Cyprus,https://en.wikipedia.org/wiki/Cyprus
France,https://en.wikipedia.org/wiki/France
Corsica,https://en.wikipedia.org/wiki/Corsica
Grand Est,https://en.wikipedia.org/wiki/Grand_Est
Guadeloupe,https://en.wikipedia.org/wiki/Guadeloupe
Martinique,https://en.wikipedia.org/wiki/Martinique
