text,url
collective security,https://en.wikipedia.org/wiki/Collective_security
Australia,https://en.wikipedia.org/wiki/Australia
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
United States,https://en.wikipedia.org/wiki/United_States
purposes of the United Nations,https://en.wikipedia.org/wiki/Chapter_I_of_the_United_Nations_Charter
Pacific,https://en.wikipedia.org/wiki/Pacific_Ocean
a series,https://en.wikipedia.org/wiki/Pactomania
communism,https://en.wikipedia.org/wiki/Communism
Cold War,https://en.wikipedia.org/wiki/Cold_War
nuclear-free zone,https://en.wikipedia.org/wiki/New_Zealand_nuclear-free_zone
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
United States,https://en.wikipedia.org/wiki/United_States
US Navy,https://en.wikipedia.org/wiki/United_States_Navy
Australia,https://en.wikipedia.org/wiki/Australia
Royal New Zealand Navy,https://en.wikipedia.org/wiki/Royal_New_Zealand_Navy
presidency of Bill Clinton,https://en.wikipedia.org/wiki/Presidency_of_Bill_Clinton
government of Helen Clark,https://en.wikipedia.org/wiki/Fifth_Labour_Government_of_New_Zealand
AUSMIN,https://en.wikipedia.org/wiki/AUSMIN
North Atlantic Treaty Organization,https://en.wikipedia.org/wiki/North_Atlantic_Treaty_Organization
spy satellite,https://en.wikipedia.org/wiki/Spy_satellite
signals intelligence,https://en.wikipedia.org/wiki/Signals_intelligence
espionage,https://en.wikipedia.org/wiki/Espionage
Southeast,https://en.wikipedia.org/wiki/Southeast_Asia
East Asia,https://en.wikipedia.org/wiki/East_Asia
ECHELON,https://en.wikipedia.org/wiki/Echelon_(signals_intelligence)
Rim of the Pacific,https://en.wikipedia.org/wiki/Rim_of_the_Pacific
Hawaii,https://en.wikipedia.org/wiki/Hawaii
fall of Singapore,https://en.wikipedia.org/wiki/Fall_of_Singapore
Percy Spender,https://en.wikipedia.org/wiki/Percy_Spender
Commonwealth,https://en.wikipedia.org/wiki/Commonwealth_of_Nations
Korean War,https://en.wikipedia.org/wiki/Korean_War
communist victory in the Chinese Civil War,https://en.wikipedia.org/wiki/Chinese_Communist_Revolution
NATO,https://en.wikipedia.org/wiki/NATO
US Senate,https://en.wikipedia.org/wiki/US_Senate
Monroe Doctrine,https://en.wikipedia.org/wiki/Monroe_Doctrine
American continent,https://en.wikipedia.org/wiki/Americas
British Commonwealth Forces,https://en.wikipedia.org/wiki/British_Commonwealth_Forces_Korea
Malayan Emergency,https://en.wikipedia.org/wiki/Malayan_Emergency
Indonesia–Malaysia confrontation,https://en.wikipedia.org/wiki/Indonesia%E2%80%93Malaysia_confrontation
Vietnam War,https://en.wikipedia.org/wiki/New_Zealand_in_the_Vietnam_War
