text,url
international financial institution,https://en.wikipedia.org/wiki/International_financial_institutions
central banks,https://en.wikipedia.org/wiki/Central_bank
World War I war reparations,https://en.wikipedia.org/wiki/World_War_I_war_reparations
Basel,https://en.wikipedia.org/wiki/Basel
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Hong Kong,https://en.wikipedia.org/wiki/Hong_Kong
Mexico City,https://en.wikipedia.org/wiki/Mexico_City
Raphaël-Georges Lévy,https://en.wikipedia.org/wiki/Rapha%C3%ABl-Georges_L%C3%A9vy
Léon Delacroix,https://en.wikipedia.org/wiki/L%C3%A9on_Delacroix
Rothschilds,https://en.wikipedia.org/wiki/Rothschilds
Bank of France,https://en.wikipedia.org/wiki/Bank_of_France
Bank of England,https://en.wikipedia.org/wiki/Bank_of_England
Hamburger Bank,https://en.wikipedia.org/wiki/Hamburger_Bank
American Civil War,https://en.wikipedia.org/wiki/American_Civil_War
State Bank of the Russian Empire,https://en.wikipedia.org/wiki/State_Bank_of_the_Russian_Empire
De Nederlandsche Bank,https://en.wikipedia.org/wiki/De_Nederlandsche_Bank
international monetary conferences,https://en.wikipedia.org/wiki/International_Monetary_and_Economic_Conferences
Latin Monetary Union,https://en.wikipedia.org/wiki/Latin_Monetary_Union
mint,https://en.wikipedia.org/wiki/Mint_(facility)
Brussels Conference in 1892,https://en.wikipedia.org/wiki/Brussels_Conference_(1892)
neutral country,https://en.wikipedia.org/wiki/Neutral_country
Raphaël-Georges Lévy,https://en.wikipedia.org/wiki/Rapha%C3%ABl-Georges_L%C3%A9vy
Bern,https://en.wikipedia.org/wiki/Bern
Luigi Luzzatti,https://en.wikipedia.org/wiki/Luigi_Luzzatti
Neue Freie Presse,https://en.wikipedia.org/wiki/Neue_Freie_Presse
World War I,https://en.wikipedia.org/wiki/World_War_I
telegraph,https://en.wikipedia.org/wiki/Telegraph
Federal Reserve Bank of New York,https://en.wikipedia.org/wiki/Federal_Reserve_Bank_of_New_York
Bank of Italy,https://en.wikipedia.org/wiki/Bank_of_Italy
Gerard Vissering,https://en.wikipedia.org/wiki/Gerard_Vissering
Brussels Conference of 1920,https://en.wikipedia.org/wiki/Brussels_Conference_(1920)
Léon Delacroix,https://en.wikipedia.org/wiki/L%C3%A9on_Delacroix
Frank A. Vanderlip,https://en.wikipedia.org/wiki/Frank_A._Vanderlip
Federal Reserve,https://en.wikipedia.org/wiki/Federal_Reserve
Genoa Conference of 1922,https://en.wikipedia.org/wiki/Genoa_Conference_(1922)
Ralph Hawtrey,https://en.wikipedia.org/wiki/Ralph_George_Hawtrey
Robert Horne,"https://en.wikipedia.org/wiki/Robert_Horne,_1st_Viscount_Horne_of_Slamannan"
John Maynard Keynes,https://en.wikipedia.org/wiki/John_Maynard_Keynes
World War I reparations,https://en.wikipedia.org/wiki/World_War_I_reparations
Treaty of Versailles,https://en.wikipedia.org/wiki/Treaty_of_Versailles
Reparation Commission,https://en.wikipedia.org/wiki/Reparation_Commission
Spa,https://en.wikipedia.org/wiki/Spa_Conference_of_1920
London,https://en.wikipedia.org/wiki/Conference_of_London_of_1921%E2%80%931922
occupation of the Ruhr,https://en.wikipedia.org/wiki/Occupation_of_the_Ruhr
Dawes Plan,https://en.wikipedia.org/wiki/Dawes_Plan
Locarno Treaties,https://en.wikipedia.org/wiki/Locarno_Treaties
Montagu Norman,https://en.wikipedia.org/wiki/Montagu_Norman
Benjamin Strong,https://en.wikipedia.org/wiki/Benjamin_Strong_Jr.
Federal Reserve Bank of New York,https://en.wikipedia.org/wiki/Federal_Reserve_Bank_of_New_York
Reichsbank,https://en.wikipedia.org/wiki/Reichsbank
Hjalmar Schacht,https://en.wikipedia.org/wiki/Hjalmar_Schacht
Charles Rist,https://en.wikipedia.org/wiki/Charles_Rist
Long Island,https://en.wikipedia.org/wiki/Long_Island
Bank of Italy,https://en.wikipedia.org/wiki/Bank_of_Italy
Algeciras,https://en.wikipedia.org/wiki/Algeciras
Owen D. Young,https://en.wikipedia.org/wiki/Owen_D._Young
Baden-Baden,https://en.wikipedia.org/wiki/Baden-Baden
Young Committee,https://en.wikipedia.org/wiki/Young_Plan
Owen D. Young,https://en.wikipedia.org/wiki/Owen_D._Young
Hotel George V,https://en.wikipedia.org/wiki/Hotel_George_V
Belgium,https://en.wikipedia.org/wiki/Belgium
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Émile Francqui,https://en.wikipedia.org/wiki/%C3%89mile_Francqui
Émile Moreau,https://en.wikipedia.org/wiki/%C3%89mile_Moreau_(banker)
Warren Randolph Burgess,https://en.wikipedia.org/wiki/Warren_Randolph_Burgess
Walter W. Stewart,https://en.wikipedia.org/wiki/Walter_W._Stewart
trustee,https://en.wikipedia.org/wiki/Trustee
World Bank,https://en.wikipedia.org/wiki/World_Bank
Charles Stewart Addis,https://en.wikipedia.org/wiki/Charles_Stewart_Addis
Herbert Hoover,https://en.wikipedia.org/wiki/Herbert_Hoover
Federal Reserve System,https://en.wikipedia.org/wiki/Federal_Reserve_System
Federal Reserve Bank of New York,https://en.wikipedia.org/wiki/Federal_Reserve_Bank_of_New_York
J. P. Morgan Jr.,https://en.wikipedia.org/wiki/J._P._Morgan_Jr.
Hague conference on reparations,https://en.wikipedia.org/wiki/Hague_conference_on_reparations
First National Bank of New York,https://en.wikipedia.org/wiki/First_National_Bank_of_New_York
Baden-Baden,https://en.wikipedia.org/wiki/Baden-Baden
Melvin Alvah Traylor,https://en.wikipedia.org/wiki/Melvin_Alvah_Traylor
First National Bank of Chicago,https://en.wikipedia.org/wiki/First_National_Bank_of_Chicago
Agent General for Reparation Payments,https://en.wikipedia.org/wiki/Agent_General_for_Reparation_Payments
Alberto Beneduce,https://en.wikipedia.org/wiki/Alberto_Beneduce
Philip Snowden,"https://en.wikipedia.org/wiki/Philip_Snowden,_1st_Viscount_Snowden"
intergovernmental agreement,https://en.wikipedia.org/wiki/Treaty
Germany,https://en.wikipedia.org/wiki/Germany
Belgium,https://en.wikipedia.org/wiki/Belgium
France,https://en.wikipedia.org/wiki/France
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
United States,https://en.wikipedia.org/wiki/United_States
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Bonaldo Stringher,https://en.wikipedia.org/wiki/Bonaldo_Stringher
