text,url
Spanish,https://en.wikipedia.org/wiki/Spanish_language
Spanish,https://en.wikipedia.org/wiki/Spanish_language
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Latin American,https://en.wikipedia.org/wiki/Latin_America
Caribbean,https://en.wikipedia.org/wiki/Caribbean
socialist,https://en.wikipedia.org/wiki/Socialism_of_the_21st_century
social democratic,https://en.wikipedia.org/wiki/Social_democracy
bartering,https://en.wikipedia.org/wiki/Barter
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Cuba,https://en.wikipedia.org/wiki/Cuba
Dominica,https://en.wikipedia.org/wiki/Dominica
Grenada,https://en.wikipedia.org/wiki/Grenada
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Suriname,https://en.wikipedia.org/wiki/Suriname
Hugo Chávez,https://en.wikipedia.org/wiki/Hugo_Ch%C3%A1vez
government of Venezuela,https://en.wikipedia.org/wiki/Government_of_Venezuela
Hugo Chávez,https://en.wikipedia.org/wiki/Hugo_Ch%C3%A1vez
Free Trade Area of the Americas,https://en.wikipedia.org/wiki/Free_Trade_Area_of_the_Americas
United States,https://en.wikipedia.org/wiki/United_States
Fidel Castro,https://en.wikipedia.org/wiki/Fidel_Castro
petroleum,https://en.wikipedia.org/wiki/Petroleum
PDVSA,https://en.wikipedia.org/wiki/PDVSA
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Cuba,https://en.wikipedia.org/wiki/Cuba
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Evo Morales,https://en.wikipedia.org/wiki/Evo_Morales
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Daniel Ortega,https://en.wikipedia.org/wiki/Daniel_Ortega
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Rafael Correa,https://en.wikipedia.org/wiki/Rafael_Correa
Honduras,https://en.wikipedia.org/wiki/Honduras
Manuel Zelaya,https://en.wikipedia.org/wiki/Manuel_Zelaya
2009 Honduran coup d'état,https://en.wikipedia.org/wiki/2009_Honduran_coup_d%27%C3%A9tat
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Mexico,https://en.wikipedia.org/wiki/Mexico
Argentina,https://en.wikipedia.org/wiki/Argentina
SUCRE,https://en.wikipedia.org/wiki/SUCRE
Bolivia,https://en.wikipedia.org/wiki/Bolivia
political crisis,https://en.wikipedia.org/wiki/2019_Bolivian_political_crisis
Luis Arce,https://en.wikipedia.org/wiki/Luis_Arce
2020 Bolivian general election,https://en.wikipedia.org/wiki/2020_Bolivian_general_election
invasion of Ukraine,https://en.wikipedia.org/wiki/2022_Russian_invasion_of_Ukraine
2023 ALBA Games,https://en.wikipedia.org/wiki/ALBA_Games
SUCRE,https://en.wikipedia.org/wiki/SUCRE_(currency)
Havana,https://en.wikipedia.org/wiki/Havana
Cuba,https://en.wikipedia.org/wiki/Cuba
