text,url
intergovernmental organization,https://en.wikipedia.org/wiki/International_organization
Brazil,https://en.wikipedia.org/wiki/Brazil
Russia,https://en.wikipedia.org/wiki/Russia
India,https://en.wikipedia.org/wiki/India
China,https://en.wikipedia.org/wiki/China
South Africa,https://en.wikipedia.org/wiki/South_Africa
Egypt,https://en.wikipedia.org/wiki/Egypt
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Iran,https://en.wikipedia.org/wiki/Iran
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Yevgeny Primakov,https://en.wikipedia.org/wiki/Yevgeny_Primakov
IBSA,https://en.wikipedia.org/wiki/IBSA_Dialogue_Forum
BRIC,https://en.wikipedia.org/wiki/BRIC_(economics_term)
economist,https://en.wikipedia.org/wiki/Economist
Jim O'Neill,"https://en.wikipedia.org/wiki/Jim_O%27Neill,_Baron_O%27Neill_of_Gatley"
Goldman Sachs,https://en.wikipedia.org/wiki/Goldman_Sachs
first summit in 2009,https://en.wikipedia.org/wiki/1st_BRIC_summit
acronym,https://en.wikipedia.org/wiki/Acronym
2nd BRIC summit,https://en.wikipedia.org/wiki/2nd_BRIC_summit
3rd BRICS summit,https://en.wikipedia.org/wiki/3rd_BRICS_summit
in 2024 in Russia,https://en.wikipedia.org/wiki/16th_BRICS_summit
Southeast Asian,https://en.wikipedia.org/wiki/Southeast_Asia
G7,https://en.wikipedia.org/wiki/G7
anti-Western,https://en.wikipedia.org/wiki/Anti-Western_sentiment
anti-American,https://en.wikipedia.org/wiki/Anti-Americanism
New Development Bank,https://en.wikipedia.org/wiki/New_Development_Bank
BRICS Contingent Reserve Arrangement,https://en.wikipedia.org/wiki/BRICS_Contingent_Reserve_Arrangement
BRICS PAY,https://en.wikipedia.org/wiki/BRICS_PAY
Indonesia,https://en.wikipedia.org/wiki/Indonesia
G20,https://en.wikipedia.org/wiki/G20
Yevgeny Primakov,https://en.wikipedia.org/wiki/Yevgeny_Primakov
Minister of Foreign Affairs,https://en.wikipedia.org/wiki/Minister_of_Foreign_Affairs_(Russia)
IBSA,https://en.wikipedia.org/wiki/IBSA_Dialogue_Forum
New Development Bank,https://en.wikipedia.org/wiki/New_Development_Bank
BRIC,https://en.wikipedia.org/wiki/BRIC_(economics_term)
Jim O'Neill,"https://en.wikipedia.org/wiki/Jim_O%27Neill,_Baron_O%27Neill_of_Gatley"
Goldman Sachs,https://en.wikipedia.org/wiki/Goldman_Sachs
Project Syndicate,https://en.wikipedia.org/wiki/Project_Syndicate
foreign ministers,https://en.wikipedia.org/wiki/Foreign_minister
Yekaterinburg,https://en.wikipedia.org/wiki/Yekaterinburg
first formal summit,https://en.wikipedia.org/wiki/1st_BRIC_summit
Luiz Inácio Lula da Silva,https://en.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva
Dmitry Medvedev,https://en.wikipedia.org/wiki/Dmitry_Medvedev
Manmohan Singh,https://en.wikipedia.org/wiki/Manmohan_Singh
