text,url
Good Friday Agreement,https://en.wikipedia.org/wiki/Good_Friday_Agreement
Northern Ireland Assembly,https://en.wikipedia.org/wiki/Northern_Ireland_Assembly
North/South Ministerial Council,https://en.wikipedia.org/wiki/North/South_Ministerial_Council
British–Irish Intergovernmental Conference,https://en.wikipedia.org/wiki/British%E2%80%93Irish_Intergovernmental_Conference
British–Irish Parliamentary Assembly,https://en.wikipedia.org/wiki/British%E2%80%93Irish_Parliamentary_Assembly
North/South Inter-Parliamentary Association,https://en.wikipedia.org/wiki/North/South_Inter-Parliamentary_Association
North/South Consultative Forum,https://en.wikipedia.org/wiki/North/South_Consultative_Forum
Irish,https://en.wikipedia.org/wiki/Irish_language
intergovernmental organisation,https://en.wikipedia.org/wiki/Intergovernmental_organisation
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
devolved governments,https://en.wikipedia.org/wiki/Devolution_in_the_United_Kingdom
Northern Ireland,https://en.wikipedia.org/wiki/Northern_Ireland
Scotland,https://en.wikipedia.org/wiki/Scotland
Wales,https://en.wikipedia.org/wiki/Wales
Crown Dependencies,https://en.wikipedia.org/wiki/Crown_Dependencies
Guernsey,https://en.wikipedia.org/wiki/Bailiwick_of_Guernsey
Jersey,https://en.wikipedia.org/wiki/Jersey
Isle of Man,https://en.wikipedia.org/wiki/Isle_of_Man
England,https://en.wikipedia.org/wiki/England
British–Irish Agreement,https://en.wikipedia.org/wiki/British%E2%80%93Irish_Agreement
Good Friday Agreement,https://en.wikipedia.org/wiki/Good_Friday_Agreement
Edinburgh,https://en.wikipedia.org/wiki/Edinburgh
ministerial,https://en.wikipedia.org/wiki/Government_minister
Northern Ireland,https://en.wikipedia.org/wiki/Northern_Ireland
Good Friday Agreement,https://en.wikipedia.org/wiki/Good_Friday_Agreement
Scotland,https://en.wikipedia.org/wiki/Scotland
Wales,https://en.wikipedia.org/wiki/Wales
Tony Blair,https://en.wikipedia.org/wiki/Tony_Blair
London,https://en.wikipedia.org/wiki/London
Edinburgh,https://en.wikipedia.org/wiki/Edinburgh
Stirling Castle,https://en.wikipedia.org/wiki/Stirling_Castle
summits,https://en.wikipedia.org/wiki/Summit_(meeting)
Cornwall,https://en.wikipedia.org/wiki/Cornwall
observer status,https://en.wikipedia.org/wiki/Observer_status
its language,https://en.wikipedia.org/wiki/Cornish_language
British-Irish Parliamentary Assembly,https://en.wikipedia.org/wiki/British-Irish_Parliamentary_Assembly
European Union,https://en.wikipedia.org/wiki/European_Union
Scottish Executive,https://en.wikipedia.org/wiki/Scottish_Government
energy,https://en.wikipedia.org/wiki/Energy_policy
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Parliament of the United Kingdom,https://en.wikipedia.org/wiki/Parliament_of_the_United_Kingdom
Ireland,https://en.wikipedia.org/wiki/Ireland
Oireachtas,https://en.wikipedia.org/wiki/Oireachtas
Scotland,https://en.wikipedia.org/wiki/Scotland
Scottish Parliament,https://en.wikipedia.org/wiki/Scottish_Parliament
Wales,https://en.wikipedia.org/wiki/Wales
Senedd,https://en.wikipedia.org/wiki/Senedd
Northern Ireland,https://en.wikipedia.org/wiki/Northern_Ireland
Northern Ireland Assembly,https://en.wikipedia.org/wiki/Northern_Ireland_Assembly
Jersey,https://en.wikipedia.org/wiki/Jersey
States Assembly,https://en.wikipedia.org/wiki/States_Assembly
Isle of Man,https://en.wikipedia.org/wiki/Isle_of_Man
Tynwald,https://en.wikipedia.org/wiki/Tynwald
Guernsey,https://en.wikipedia.org/wiki/Guernsey
States of Guernsey,https://en.wikipedia.org/wiki/States_of_Guernsey
Cornwall,https://en.wikipedia.org/wiki/Cornwall
Cornwall Council,https://en.wikipedia.org/wiki/Cornwall_Council
Cornish language,https://en.wikipedia.org/wiki/Cornish_language
heads of administrations,https://en.wikipedia.org/wiki/Heads_of_government
United Kingdom,https://en.wikipedia.org/wiki/Government_of_the_United_Kingdom
Keir Starmer,https://en.wikipedia.org/wiki/Keir_Starmer
MP,https://en.wikipedia.org/wiki/Member_of_Parliament_(United_Kingdom)
Prime Minister,https://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom
Ireland,https://en.wikipedia.org/wiki/Government_of_Ireland
Micheál Martin,https://en.wikipedia.org/wiki/Miche%C3%A1l_Martin
TD,https://en.wikipedia.org/wiki/Teachta_D%C3%A1la
Taoiseach,https://en.wikipedia.org/wiki/Taoiseach
Scotland,https://en.wikipedia.org/wiki/Scottish_Government
John Swinney,https://en.wikipedia.org/wiki/John_Swinney
MSP,https://en.wikipedia.org/wiki/Member_of_the_Scottish_Parliament
First Minister,https://en.wikipedia.org/wiki/First_Minister_of_Scotland
Wales,https://en.wikipedia.org/wiki/Welsh_Government
Eluned Morgan,https://en.wikipedia.org/wiki/Eluned_Morgan
MS,https://en.wikipedia.org/wiki/Member_of_the_Senedd
First Minister,https://en.wikipedia.org/wiki/First_Minister_of_Wales
Northern Ireland,https://en.wikipedia.org/wiki/Northern_Ireland_Executive
Michelle O'Neill,https://en.wikipedia.org/wiki/Michelle_O%27Neill
MLA,https://en.wikipedia.org/wiki/Member_of_the_Legislative_Assembly_(Northern_Ireland)
First Minister,https://en.wikipedia.org/wiki/First_Minister_and_deputy_First_Minister
Emma Little-Pengelly,https://en.wikipedia.org/wiki/Emma_Little-Pengelly
MLA,https://en.wikipedia.org/wiki/Member_of_the_Legislative_Assembly_(Northern_Ireland)
