text,url
Tegucigalpa,https://en.wikipedia.org/wiki/Tegucigalpa
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Honduras,https://en.wikipedia.org/wiki/Honduras
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Panama,https://en.wikipedia.org/wiki/Panama
multilateral development bank,https://en.wikipedia.org/wiki/Multilateral_development_bank
Panama,https://en.wikipedia.org/wiki/Panama
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Central American Integration System,https://en.wikipedia.org/wiki/Central_American_Integration_System
Mexico,https://en.wikipedia.org/wiki/Mexico
Cuba,https://en.wikipedia.org/wiki/Cuba
Taiwan,https://en.wikipedia.org/wiki/Taiwan
Argentina,https://en.wikipedia.org/wiki/Argentina
Colombia,https://en.wikipedia.org/wiki/Colombia
Spain,https://en.wikipedia.org/wiki/Spain
South Korea,https://en.wikipedia.org/wiki/South_Korea
Belize,https://en.wikipedia.org/wiki/Belize
CAF – Development Bank of Latin America and the Caribbean,https://en.wikipedia.org/wiki/CAF_%E2%80%93_Development_Bank_of_Latin_America_and_the_Caribbean
Central American Integration System,https://en.wikipedia.org/wiki/Central_American_Integration_System
Inter-American Development Bank,https://en.wikipedia.org/wiki/Inter-American_Development_Bank
Union of International Associations,https://en.wikipedia.org/wiki/Union_of_International_Associations
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
