text,url
Central and Eastern Europe,https://en.wikipedia.org/wiki/Central_and_Eastern_Europe
Budapest,https://en.wikipedia.org/wiki/Budapest
The Alps-Adriatic Working Group,https://en.wikipedia.org/wiki/The_Alps-Adriatic_Working_Group
Trieste,https://en.wikipedia.org/wiki/Trieste
Albania,https://en.wikipedia.org/wiki/Albania
Belarus,https://en.wikipedia.org/wiki/Belarus
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Croatia,https://en.wikipedia.org/wiki/Croatia
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Hungary,https://en.wikipedia.org/wiki/Hungary
Italy,https://en.wikipedia.org/wiki/Italy
Moldova,https://en.wikipedia.org/wiki/Moldova
Montenegro,https://en.wikipedia.org/wiki/Montenegro
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Poland,https://en.wikipedia.org/wiki/Poland
Romania,https://en.wikipedia.org/wiki/Romania
Serbia,https://en.wikipedia.org/wiki/Serbia
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Budapest,https://en.wikipedia.org/wiki/Budapest
Berlin Wall,https://en.wikipedia.org/wiki/Berlin_Wall
Venice,https://en.wikipedia.org/wiki/Venice
Czechoslovakia,https://en.wikipedia.org/wiki/Czechoslovakia
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
European Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/European_Bank_for_Reconstruction_and_Development
Austria,https://en.wikipedia.org/wiki/Austria
Hungary,https://en.wikipedia.org/wiki/Hungary
1989,https://en.wikipedia.org/wiki/Hungarian_People%27s_Republic
Italy,https://en.wikipedia.org/wiki/Italy
SFR Yugoslavia,https://en.wikipedia.org/wiki/Socialist_Federal_Republic_of_Yugoslavia
Czechoslovakia,https://en.wikipedia.org/wiki/Czech_and_Slovak_Federal_Republic
Poland,https://en.wikipedia.org/wiki/Poland
Republic of Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Republic_of_Bosnia_and_Herzegovina
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Croatia,https://en.wikipedia.org/wiki/Croatia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Albania,https://en.wikipedia.org/wiki/Albania
Belarus,https://en.wikipedia.org/wiki/Belarus
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Romania,https://en.wikipedia.org/wiki/Romania
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Moldova,https://en.wikipedia.org/wiki/Moldova
FR Yugoslavia,https://en.wikipedia.org/wiki/Serbia_and_Montenegro
Serbia and Montenegro,https://en.wikipedia.org/wiki/Serbia_and_Montenegro
Serbia,https://en.wikipedia.org/wiki/Serbia
Montenegro,https://en.wikipedia.org/wiki/Montenegro
Central Europe,https://en.wikipedia.org/wiki/Central_Europe
Craiovia Group,https://en.wikipedia.org/wiki/Craiova_Group
Open Balkan,https://en.wikipedia.org/wiki/Open_Balkan
Southeastern Europe,https://en.wikipedia.org/wiki/Southeastern_Europe
Southeast European Cooperation Process,https://en.wikipedia.org/wiki/Southeast_European_Cooperation_Process
Central European Free Trade Agreement,https://en.wikipedia.org/wiki/Central_European_Free_Trade_Agreement
Southeast European Cooperative Initiative,https://en.wikipedia.org/wiki/Southeast_European_Cooperative_Initiative
Black Sea Economic Co-operation,https://en.wikipedia.org/wiki/Black_Sea_Economic_Co-operation
Regional Cooperation Council,https://en.wikipedia.org/wiki/Regional_Cooperation_Council
Visegrád Group,https://en.wikipedia.org/wiki/Visegr%C3%A1d_Group
Three Seas Initiative,https://en.wikipedia.org/wiki/Three_Seas_Initiative
Group of Nine,https://en.wikipedia.org/wiki/Group_of_Nine
Palgrave,https://en.wikipedia.org/wiki/Palgrave_Macmillan
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
