text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
particle physics,https://en.wikipedia.org/wiki/Particle_physics
Meyrin,https://en.wikipedia.org/wiki/Meyrin
Geneva,https://en.wikipedia.org/wiki/Geneva
France–Switzerland border,https://en.wikipedia.org/wiki/France%E2%80%93Switzerland_border
United Nations General Assembly observer,https://en.wikipedia.org/wiki/United_Nations_General_Assembly_observers#Intergovernmental_organizations
petabytes,https://en.wikipedia.org/wiki/Byte#Multiple-byte_units
particle accelerators,https://en.wikipedia.org/wiki/Particle_accelerator
Large Hadron Collider,https://en.wikipedia.org/wiki/Large_Hadron_Collider
Meyrin,https://en.wikipedia.org/wiki/Meyrin
events,https://en.wikipedia.org/wiki/Event_(particle_physics)
wide area network,https://en.wikipedia.org/wiki/Wide_area_network
World Wide Web,https://en.wikipedia.org/wiki/World_Wide_Web
University of Copenhagen,https://en.wikipedia.org/wiki/University_of_Copenhagen
Niels Bohr,https://en.wikipedia.org/wiki/Niels_Bohr
Lew Kowarski,https://en.wikipedia.org/wiki/Lew_Kowarski
Werner Heisenberg,https://en.wikipedia.org/wiki/Werner_Heisenberg
Benjamin Lockspeiser,https://en.wikipedia.org/wiki/Ben_Lockspeiser
Edoardo Amaldi,https://en.wikipedia.org/wiki/Edoardo_Amaldi
Felix Bloch,https://en.wikipedia.org/wiki/Felix_Bloch
atomic nuclei,https://en.wikipedia.org/wiki/Atomic_nucleus
higher-energy physics,https://en.wikipedia.org/wiki/High-energy_physics
subatomic particles,https://en.wikipedia.org/wiki/Subatomic_particle
Federal Republic of Germany,https://en.wikipedia.org/wiki/West_Germany
Yugoslavia,https://en.wikipedia.org/wiki/SFR_Yugoslavia
neutral currents,https://en.wikipedia.org/wiki/Neutral_current
Gargamelle,https://en.wikipedia.org/wiki/Gargamelle
W and Z bosons,https://en.wikipedia.org/wiki/W_and_Z_bosons
UA1,https://en.wikipedia.org/wiki/UA1_experiment
UA2 experiments,https://en.wikipedia.org/wiki/UA2_experiment
neutrino,https://en.wikipedia.org/wiki/Neutrino
Large Electron–Positron Collider,https://en.wikipedia.org/wiki/Large_Electron%E2%80%93Positron_Collider
antihydrogen,https://en.wikipedia.org/wiki/Antihydrogen
PS210 experiment,https://en.wikipedia.org/wiki/PS210_experiment
CP violation,https://en.wikipedia.org/wiki/CP_violation
NA48 experiment,https://en.wikipedia.org/wiki/NA48_experiment
quark–gluon plasma,https://en.wikipedia.org/wiki/Quark%E2%80%93gluon_plasma
antihydrogen,https://en.wikipedia.org/wiki/Antihydrogen
antihydrogen,https://en.wikipedia.org/wiki/Antihydrogen
boson,https://en.wikipedia.org/wiki/Boson
Higgs boson,https://en.wikipedia.org/wiki/Higgs_boson
OPERA Collaboration,https://en.wikipedia.org/wiki/OPERA_experiment
