text,url
Latin American,https://en.wikipedia.org/wiki/Latin_America
Caribbean,https://en.wikipedia.org/wiki/Caribbean
Organization of American States,https://en.wikipedia.org/wiki/Organization_of_American_States
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Cuba,https://en.wikipedia.org/wiki/Cuba
Rio Group,https://en.wikipedia.org/wiki/Rio_Group
Caribbean Community,https://en.wikipedia.org/wiki/Caribbean_Community
Unity Summit,https://en.wikipedia.org/wiki/Latin_American_and_Caribbean_Unity_Summit
Rio Group,https://en.wikipedia.org/wiki/Rio_Group
Latin American integration,https://en.wikipedia.org/wiki/Latin_American_integration
hegemony,https://en.wikipedia.org/wiki/Hegemony
Caracas,https://en.wikipedia.org/wiki/Caracas
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Rio Group,https://en.wikipedia.org/wiki/Rio_Group
United States,https://en.wikipedia.org/wiki/United_States
I Latin American and Caribbean Summit on Integration and Development,https://en.wikipedia.org/wiki/I_Latin_American_and_Caribbean_Summit_on_Integration_and_Development
Bahia,https://en.wikipedia.org/wiki/Bahia
Brazil,https://en.wikipedia.org/wiki/Brazil
Lula,https://en.wikipedia.org/wiki/Luiz_In%C3%A1cio_Lula_da_Silva
President of Colombia,https://en.wikipedia.org/wiki/President_of_Colombia
Álvaro Uribe,https://en.wikipedia.org/wiki/%C3%81lvaro_Uribe
President of Peru,https://en.wikipedia.org/wiki/President_of_Peru
Alan García,https://en.wikipedia.org/wiki/Alan_Garc%C3%ADa
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
food security,https://en.wikipedia.org/wiki/Food_security
sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
natural disasters,https://en.wikipedia.org/wiki/Natural_disaster
human rights,https://en.wikipedia.org/wiki/Human_rights
migration,https://en.wikipedia.org/wiki/International_migration
South–South cooperation,https://en.wikipedia.org/wiki/South%E2%80%93South_cooperation
Calderón,https://en.wikipedia.org/wiki/Felipe_Calder%C3%B3n_Hinojosa
Mexico,https://en.wikipedia.org/wiki/Mexico
