text,url
Sukarno,https://en.wikipedia.org/wiki/Sukarno
President of Indonesia,https://en.wikipedia.org/wiki/President_of_Indonesia
PNI,https://en.wikipedia.org/wiki/Indonesian_National_Party
Partindo,https://en.wikipedia.org/wiki/Partindo
PETA,https://en.wikipedia.org/wiki/Defenders_of_the_Homeland
BPUPK,https://en.wikipedia.org/wiki/Investigating_Committee_for_Preparatory_Work_for_Independence
Pancasila,https://en.wikipedia.org/wiki/Pancasila_(politics)
PPKI,https://en.wikipedia.org/wiki/Preparatory_Committee_for_Indonesian_Independence
Indonesian National Revolution,https://en.wikipedia.org/wiki/Indonesian_National_Revolution
Proclamation of Independence,https://en.wikipedia.org/wiki/Proclamation_of_Indonesian_Independence
APRA,https://en.wikipedia.org/wiki/APRA_coup_d%27%C3%A9tat
Ambon,https://en.wikipedia.org/wiki/Invasion_of_Ambon
Permesta,https://en.wikipedia.org/wiki/Permesta
DI/TII,https://en.wikipedia.org/wiki/Darul_Islam_(Indonesia)
Three Souths Affair,https://en.wikipedia.org/wiki/Three_Souths_Affair
Marhaenism,https://en.wikipedia.org/wiki/Marhaenism
Guided Democracy,https://en.wikipedia.org/wiki/Guided_Democracy_in_Indonesia
5 July Decree,https://en.wikipedia.org/wiki/President_Sukarno%27s_1959_Decree
Nasakom,https://en.wikipedia.org/wiki/Nasakom
Monas,https://en.wikipedia.org/wiki/National_Monument_(Indonesia)
G30S,https://en.wikipedia.org/wiki/30_September_Movement
Supersemar,https://en.wikipedia.org/wiki/Supersemar
Fall,https://en.wikipedia.org/wiki/Transition_to_the_New_Order
De-Sukarnoization,https://en.wikipedia.org/wiki/De-Sukarnoization
Non-aligned movement,https://en.wikipedia.org/wiki/Non-aligned_movement
Bandung Conference,https://en.wikipedia.org/wiki/Bandung_Conference
1962 Asian Games,https://en.wikipedia.org/wiki/1962_Asian_Games
GANEFO,https://en.wikipedia.org/wiki/GANEFO
building,https://en.wikipedia.org/wiki/DPR/MPR_Building
West Irian,https://en.wikipedia.org/wiki/West_New_Guinea_dispute
Trikora,https://en.wikipedia.org/wiki/Operation_Trikora
Pepera,https://en.wikipedia.org/wiki/Act_of_Free_Choice
Konfrontasi,https://en.wikipedia.org/wiki/Indonesia%E2%80%93Malaysia_confrontation
Sunda Straits Crisis,https://en.wikipedia.org/wiki/Sunda_Straits_Crisis
Indonesia Menggugat,https://en.wikipedia.org/wiki/Indonesia_Accuses
Tahun Vivere Pericoloso,https://en.wikipedia.org/wiki/Vivere_pericoloso
Fatmawati,https://en.wikipedia.org/wiki/Fatmawati
Dewi,https://en.wikipedia.org/wiki/Dewi_Sukarno
Rukmini,https://en.wikipedia.org/wiki/Rukmini_Sukarno
Megawati,https://en.wikipedia.org/wiki/Megawati_Sukarnoputri
Rachmawati,https://en.wikipedia.org/wiki/Rachmawati_Sukarnoputri
Sukmawati,https://en.wikipedia.org/wiki/Sukmawati_Sukarnoputri
Guruh,https://en.wikipedia.org/wiki/Guruh_Sukarnoputra
Puan,https://en.wikipedia.org/wiki/Puan_Maharani
Grave,https://en.wikipedia.org/wiki/Grave_of_Sukarno
Soekarno,https://en.wikipedia.org/wiki/Soekarno_(film)
Seclusion house,https://en.wikipedia.org/wiki/Bung_Karno_Seclusion_House
Soekarno–Hatta International Airport,https://en.wikipedia.org/wiki/Soekarno%E2%80%93Hatta_International_Airport
Gelora Bung Karno Stadium,https://en.wikipedia.org/wiki/Gelora_Bung_Karno_Stadium
KRIBung Karno,https://en.wikipedia.org/wiki/KRI_Bung_Karno
intergovernmental organization,https://en.wikipedia.org/wiki/International_organization
Sukarno,https://en.wikipedia.org/wiki/Sukarno
Indonesia,https://en.wikipedia.org/wiki/Indonesia
emerging countries,https://en.wikipedia.org/wiki/Emerging_countries
United Nations,https://en.wikipedia.org/wiki/United_Nations
United States,https://en.wikipedia.org/wiki/United_States
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Bandung Conference,https://en.wikipedia.org/wiki/Bandung_Conference
Non-Aligned Movement,https://en.wikipedia.org/wiki/Non-Aligned_Movement
Third World,https://en.wikipedia.org/wiki/Third_World
Cold War,https://en.wikipedia.org/wiki/Cold_War
Malaysia,https://en.wikipedia.org/wiki/Malaysia
UN Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
Indonesia–Malaysia confrontation,https://en.wikipedia.org/wiki/Indonesia%E2%80%93Malaysia_confrontation
Indonesia out of the UN,https://en.wikipedia.org/wiki/Indonesia_and_the_United_Nations#Withdrawal_in_1965
Games of the New Emerging Forces,https://en.wikipedia.org/wiki/GANEFO
Olympic Games,https://en.wikipedia.org/wiki/Olympic_Games
Jakarta,https://en.wikipedia.org/wiki/Jakarta
People's Republic of China,https://en.wikipedia.org/wiki/People%27s_Republic_of_China
Suharto,https://en.wikipedia.org/wiki/Suharto
MPR/DPR/DPD building,https://en.wikipedia.org/wiki/MPR/DPR/DPD_building
People's Consultative Assembly,https://en.wikipedia.org/wiki/People%27s_Consultative_Assembly
University of Michigan,https://en.wikipedia.org/wiki/University_of_Michigan
