text,url
Palace of Nations,"https://en.wikipedia.org/wiki/Palace_of_Nations,_Geneva"
international community,https://en.wikipedia.org/wiki/International_community
arms control,https://en.wikipedia.org/wiki/Arms_control
disarmament,https://en.wikipedia.org/wiki/Disarmament
Palais des Nations,https://en.wikipedia.org/wiki/Palais_des_Nations
Ten Nation Committee on Disarmament,https://en.wikipedia.org/wiki/Ten_Nation_Committee_on_Disarmament
Eighteen Nation Committee on Disarmament,https://en.wikipedia.org/wiki/Eighteen_Nation_Committee_on_Disarmament
Conference of the Committee on Disarmament,https://en.wikipedia.org/wiki/Conference_of_the_Committee_on_Disarmament
Nuclear weapons,https://en.wikipedia.org/wiki/Nuclear_weapons
weapons of mass destruction,https://en.wikipedia.org/wiki/Weapons_of_mass_destruction
military budgets,https://en.wikipedia.org/wiki/Military_budget
international security,https://en.wikipedia.org/wiki/International_security
United Nations Office at Geneva,https://en.wikipedia.org/wiki/United_Nations_Office_at_Geneva
United Nations General Assembly,https://en.wikipedia.org/wiki/UN_General_Assembly
United Nations Office for Disarmament Affairs,https://en.wikipedia.org/wiki/United_Nations_Office_for_Disarmament_Affairs
Treaty on the Non-Proliferation of Nuclear Weapons,https://en.wikipedia.org/wiki/Treaty_on_the_Non-Proliferation_of_Nuclear_Weapons
Biological Weapons Convention,https://en.wikipedia.org/wiki/Biological_Weapons_Convention
Chemical Weapons Convention,https://en.wikipedia.org/wiki/Chemical_Weapons_Convention
Comprehensive Nuclear-Test-Ban Treaty,https://en.wikipedia.org/wiki/Comprehensive_Nuclear-Test-Ban_Treaty
fissile material for nuclear weapons (FMCT),https://en.wikipedia.org/wiki/Fissile_Material_Cut-off_Treaty
Prevention of an Arms Race in Outer Space,https://en.wikipedia.org/wiki/Prevention_of_an_Arms_Race_in_Outer_Space
Treaty on the Prohibition of Nuclear Weapons,https://en.wikipedia.org/wiki/Treaty_on_the_Prohibition_of_Nuclear_Weapons
nuclear-weapon states,https://en.wikipedia.org/wiki/List_of_countries_with_nuclear_weapons
Argentina,https://en.wikipedia.org/wiki/Argentina
Australia,https://en.wikipedia.org/wiki/Australia
Austria,https://en.wikipedia.org/wiki/Austria
Belgium,https://en.wikipedia.org/wiki/Belgium
Canada,https://en.wikipedia.org/wiki/Canada
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Hungary,https://en.wikipedia.org/wiki/Hungary
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Israel,https://en.wikipedia.org/wiki/Israel
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Netherlands,https://en.wikipedia.org/wiki/Netherlands
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Republic of Korea,https://en.wikipedia.org/wiki/Republic_of_Korea
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Turkey,https://en.wikipedia.org/wiki/Turkey
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Algeria,https://en.wikipedia.org/wiki/Algeria
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Brazil,https://en.wikipedia.org/wiki/Brazil
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Chile,https://en.wikipedia.org/wiki/Chile
Colombia,https://en.wikipedia.org/wiki/Colombia
Cuba,https://en.wikipedia.org/wiki/Cuba
DPRK,https://en.wikipedia.org/wiki/Democratic_People%E2%80%99s_Republic_of_Korea
DRC,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Egypt,https://en.wikipedia.org/wiki/Egypt
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
India,https://en.wikipedia.org/wiki/India
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Islamic Republic of Iran,https://en.wikipedia.org/wiki/Iran
Iraq,https://en.wikipedia.org/wiki/Iraq
Kenya,https://en.wikipedia.org/wiki/Kenya
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Mexico,https://en.wikipedia.org/wiki/Mexico
Mongolia,https://en.wikipedia.org/wiki/Mongolia
Morocco,https://en.wikipedia.org/wiki/Morocco
Myanmar,https://en.wikipedia.org/wiki/Myanmar
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Peru,https://en.wikipedia.org/wiki/Peru
Senegal,https://en.wikipedia.org/wiki/Senegal
South Africa,https://en.wikipedia.org/wiki/South_Africa
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Syrian Arab Republic,https://en.wikipedia.org/wiki/Syria
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
Belarus,https://en.wikipedia.org/wiki/Belarus
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Romania,https://en.wikipedia.org/wiki/Romania
Russian Federation,https://en.wikipedia.org/wiki/Russia
Ukraine,https://en.wikipedia.org/wiki/Ukraine
China,https://en.wikipedia.org/wiki/China
Albania,https://en.wikipedia.org/wiki/Albania
Angola,https://en.wikipedia.org/wiki/Angola
Armenia,https://en.wikipedia.org/wiki/Armenia
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Estonia,https://en.wikipedia.org/wiki/Estonia
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Greece,https://en.wikipedia.org/wiki/Greece
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Holy See,https://en.wikipedia.org/wiki/Holy_See
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Lao PDR,https://en.wikipedia.org/wiki/Laos
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Malta,https://en.wikipedia.org/wiki/Malta
Montenegro,https://en.wikipedia.org/wiki/Montenegro
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Oman,https://en.wikipedia.org/wiki/Oman
Panama,https://en.wikipedia.org/wiki/Panama
Philippines,https://en.wikipedia.org/wiki/Philippines
Portugal,https://en.wikipedia.org/wiki/Portugal
Qatar,https://en.wikipedia.org/wiki/Qatar
Moldova,https://en.wikipedia.org/wiki/Moldova
Serbia,https://en.wikipedia.org/wiki/Serbia
Singapore,https://en.wikipedia.org/wiki/Singapore
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Thailand,https://en.wikipedia.org/wiki/Thailand
Togo,https://en.wikipedia.org/wiki/Togo
UAE,https://en.wikipedia.org/wiki/United_Arab_Emirates
United Nations Office for Disarmament Affairs,https://en.wikipedia.org/wiki/United_Nations_Office_for_Disarmament_Affairs
