text,url
Youth rights,https://en.wikipedia.org/wiki/Youth_rights
Bailey v. Drexel Furniture Co.,https://en.wikipedia.org/wiki/Bailey_v._Drexel_Furniture_Co.
Child Labor Deterrence Act,https://en.wikipedia.org/wiki/Child_Labor_Deterrence_Act
Children's Online Privacy Protection Act,https://en.wikipedia.org/wiki/Children%27s_Online_Privacy_Protection_Act
Kids Online Safety Act,https://en.wikipedia.org/wiki/Kids_Online_Safety_Act
Fair Labor Standards Act,https://en.wikipedia.org/wiki/Fair_Labor_Standards_Act
Hammer v. Dagenhart,https://en.wikipedia.org/wiki/Hammer_v._Dagenhart
History of youth rights in the United States,https://en.wikipedia.org/wiki/History_of_youth_rights_in_the_United_States
Morse v. Frederick,https://en.wikipedia.org/wiki/Morse_v._Frederick
Newsboys' strike of 1899,https://en.wikipedia.org/wiki/Newsboys%27_strike_of_1899
Prez,https://en.wikipedia.org/wiki/Prez_(comics)
Charter of Human Rights and Freedoms,https://en.wikipedia.org/wiki/Charter_of_Human_Rights_and_Freedoms
Wild in the Streets,https://en.wikipedia.org/wiki/Wild_in_the_Streets
Adultcentrism,https://en.wikipedia.org/wiki/Adultcentrism
Adultism,https://en.wikipedia.org/wiki/Adultism
Ageism,https://en.wikipedia.org/wiki/Ageism
Criminalization,https://en.wikipedia.org/wiki/Criminalization
Democracy,https://en.wikipedia.org/wiki/Democracy
Ephebiphobia,https://en.wikipedia.org/wiki/Ephebiphobia
Fear of children,https://en.wikipedia.org/wiki/Fear_of_children
Free-range parenting,https://en.wikipedia.org/wiki/Free-range_parenting
Intergenerational equity,https://en.wikipedia.org/wiki/Intergenerational_equity
Future generations,https://en.wikipedia.org/wiki/Future_generations
Paternalism,https://en.wikipedia.org/wiki/Paternalism
Social class,https://en.wikipedia.org/wiki/Social_class
Suffrage,https://en.wikipedia.org/wiki/Suffrage
Taking Children Seriously,https://en.wikipedia.org/wiki/Taking_Children_Seriously
Universal suffrage,https://en.wikipedia.org/wiki/Universal_suffrage
Unschooling,https://en.wikipedia.org/wiki/Unschooling
Youth activism,https://en.wikipedia.org/wiki/Youth_activism
Youth detention center,https://en.wikipedia.org/wiki/Youth_detention_center
Youth empowerment,https://en.wikipedia.org/wiki/Youth_empowerment
Youth exclusion,https://en.wikipedia.org/wiki/Youth_exclusion
Youth suffrage,https://en.wikipedia.org/wiki/Youth_suffrage
Youth voice,https://en.wikipedia.org/wiki/Youth_voice
Adolescent sexuality,https://en.wikipedia.org/wiki/Adolescent_sexuality
Age of candidacy,https://en.wikipedia.org/wiki/Age_of_candidacy
Age of consent,https://en.wikipedia.org/wiki/Age_of_consent
Age-of-consent reform,https://en.wikipedia.org/wiki/Age-of-consent_reform
Age of majority,https://en.wikipedia.org/wiki/Age_of_majority
Age of marriage,https://en.wikipedia.org/wiki/Age_of_marriage
Behavior modification facility,https://en.wikipedia.org/wiki/Behavior_modification_facility
Child labour,https://en.wikipedia.org/wiki/Child_labour
Children in the military,https://en.wikipedia.org/wiki/Children_in_the_military
Child marriage,https://en.wikipedia.org/wiki/Child_marriage
Compulsory education,https://en.wikipedia.org/wiki/Compulsory_education
Conscription,https://en.wikipedia.org/wiki/Conscription
Corporal punishment,https://en.wikipedia.org/wiki/Corporal_punishment
at home,https://en.wikipedia.org/wiki/Corporal_punishment_in_the_home
at school,https://en.wikipedia.org/wiki/Corporal_punishment_in_schools
in law,https://en.wikipedia.org/wiki/Child_corporal_punishment_laws
Curfew,https://en.wikipedia.org/wiki/Curfew
Child abuse,https://en.wikipedia.org/wiki/Child_abuse
Emancipation of minors,https://en.wikipedia.org/wiki/Emancipation_of_minors
Gambling age,https://en.wikipedia.org/wiki/Gambling_age
Human rights and youth sport,https://en.wikipedia.org/wiki/Human_rights_and_youth_sport
In loco parentis,https://en.wikipedia.org/wiki/In_loco_parentis
Juvenile delinquency,https://en.wikipedia.org/wiki/Juvenile_delinquency
Juvenile court,https://en.wikipedia.org/wiki/Juvenile_court
Juvenile law,https://en.wikipedia.org/wiki/Juvenile_law
Legal drinking age,https://en.wikipedia.org/wiki/Legal_drinking_age
U.S. history,https://en.wikipedia.org/wiki/U.S._history_of_alcohol_minimum_purchase_age_by_state
Legal working age,https://en.wikipedia.org/wiki/Legal_working_age
Minimum driving age,https://en.wikipedia.org/wiki/List_of_minimum_driving_ages
Marriageable age,https://en.wikipedia.org/wiki/Marriageable_age
Minor (law),https://en.wikipedia.org/wiki/Minor_(law)
Minors and abortion,https://en.wikipedia.org/wiki/Minors_and_abortion
Restavec,https://en.wikipedia.org/wiki/Restavec
School leaving age,https://en.wikipedia.org/wiki/School_leaving_age
Smoking age,https://en.wikipedia.org/wiki/Smoking_age
U.S. history,https://en.wikipedia.org/wiki/U.S._history_of_tobacco_minimum_purchase_age_by_state
Status offense,https://en.wikipedia.org/wiki/Status_offense
Underage drinking in the US,https://en.wikipedia.org/wiki/Alcohol_consumption_by_youth_in_the_United_States
Voting age,https://en.wikipedia.org/wiki/Voting_age
Youth-adult partnership,https://en.wikipedia.org/wiki/Youth-adult_partnership
Youth participation,https://en.wikipedia.org/wiki/Youth_participation
Youth politics,https://en.wikipedia.org/wiki/Youth_politics
Youth unemployment,https://en.wikipedia.org/wiki/Youth_unemployment
Youth voting,https://en.wikipedia.org/wiki/Youth_vote_in_the_United_States
United Nations Convention on the Rights of the Child,https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Rights_of_the_Child
Akt,https://en.wikipedia.org/wiki/Akt_(charity)
Canadian Youth for Choice,https://en.wikipedia.org/wiki/Canadian_Youth_for_Choice
Human Rights and Youth Rights Commission,https://en.wikipedia.org/wiki/Commission_des_droits_de_la_personne_et_des_droits_de_la_jeunesse
Common Cents,https://en.wikipedia.org/wiki/Common_Cents
Community Alliance for the Ethical Treatment of Youth,https://en.wikipedia.org/wiki/Community_Alliance_for_the_Ethical_Treatment_of_Youth
DoSomething,https://en.wikipedia.org/wiki/DoSomething
Future Coalition,https://en.wikipedia.org/wiki/Future_Coalition
Global Youth Action Network,https://en.wikipedia.org/wiki/Global_Youth_Action_Network
High School Democrats of America,https://en.wikipedia.org/wiki/High_School_Democrats_of_America
Indian Youth Climate Network,https://en.wikipedia.org/wiki/Indian_Youth_Climate_Network
International Falcon Movement – Socialist Educational International,https://en.wikipedia.org/wiki/International_Falcon_Movement_%E2%80%93_Socialist_Educational_International
Mermaids,https://en.wikipedia.org/wiki/Mermaids_(charity)
National Union of Students LGBT+ Campaign,https://en.wikipedia.org/wiki/National_Union_of_Students_LGBT%2B_Campaign
National Youth Rights Association,https://en.wikipedia.org/wiki/National_Youth_Rights_Association
One World Youth Project,https://en.wikipedia.org/wiki/One_World_Youth_Project
Queer Youth Network,https://en.wikipedia.org/wiki/Queer_Youth_Network
Students for a Democratic Society,https://en.wikipedia.org/wiki/Students_for_a_Democratic_Society
Freechild Project,https://en.wikipedia.org/wiki/Freechild_Project
Three O'Clock Lobby,https://en.wikipedia.org/wiki/Three_O%27Clock_Lobby
UK Youth Parliament,https://en.wikipedia.org/wiki/UK_Youth_Parliament
Youth International Party,https://en.wikipedia.org/wiki/Youth_International_Party
Youth Liberation of Ann Arbor,https://en.wikipedia.org/wiki/Youth_Liberation_of_Ann_Arbor
The Youth Cafe,https://en.wikipedia.org/wiki/The_Youth_Cafe
Young Communist League of Canada,https://en.wikipedia.org/wiki/Young_Communist_League_of_Canada
Young Democrats of America,https://en.wikipedia.org/wiki/Young_Democrats_of_America
World Federation of Democratic Youth,https://en.wikipedia.org/wiki/World_Federation_of_Democratic_Youth
Fletcher,https://en.wikipedia.org/wiki/Adam_Fletcher_(activist)
Hanson,https://en.wikipedia.org/wiki/David_J._Hanson
Henry,https://en.wikipedia.org/wiki/David_Joseph_Henry
Holt,https://en.wikipedia.org/wiki/John_Holt_(educator)
Koroknay-Palicz,https://en.wikipedia.org/wiki/Alex_Koroknay-Palicz
Duff,https://en.wikipedia.org/wiki/Lyn_Duff
Males,https://en.wikipedia.org/wiki/Mike_A._Males
Postman,https://en.wikipedia.org/wiki/Neil_Postman
Yaco,https://en.wikipedia.org/wiki/Sonia_Yaco
Ages of consent in Asia,https://en.wikipedia.org/wiki/Ages_of_consent_in_Asia
Ages of consent in Europe,https://en.wikipedia.org/wiki/Ages_of_consent_in_Europe
