text,url
French,https://en.wikipedia.org/wiki/French_language
multilateral development bank,https://en.wikipedia.org/wiki/Multilateral_development_bank
job creation,https://en.wikipedia.org/wiki/Job_creation
Council of Europe,https://en.wikipedia.org/wiki/Council_of_Europe
French,https://en.wikipedia.org/wiki/French_language
French,https://en.wikipedia.org/wiki/French_language
avenue Kléber,https://en.wikipedia.org/wiki/Avenue_Kl%C3%A9ber
Paris,https://en.wikipedia.org/wiki/Paris
Moody's,https://en.wikipedia.org/wiki/Moody%27s
Standard and Poor's,https://en.wikipedia.org/wiki/Standard_and_Poor%27s
Fitch Ratings,https://en.wikipedia.org/wiki/Fitch_Ratings
Council of Europe,https://en.wikipedia.org/wiki/Council_of_Europe
Partial Agreement,https://en.wikipedia.org/wiki/Partial_Agreement
refugees,https://en.wikipedia.org/wiki/Refugees
displaced persons,https://en.wikipedia.org/wiki/Displaced_person
Second World War,https://en.wikipedia.org/wiki/Second_World_War
job creation,https://en.wikipedia.org/wiki/Job_creation
social cohesion,https://en.wikipedia.org/wiki/Social_cohesion
Albania,https://en.wikipedia.org/wiki/Albania
Andorra,https://en.wikipedia.org/wiki/Andorra
Belgium,https://en.wikipedia.org/wiki/Belgium
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Croatia,https://en.wikipedia.org/wiki/Croatia
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Holy See,https://en.wikipedia.org/wiki/Holy_See
Hungary,https://en.wikipedia.org/wiki/Hungary
Iceland,https://en.wikipedia.org/wiki/Iceland
Ireland,https://en.wikipedia.org/wiki/Ireland
Italy,https://en.wikipedia.org/wiki/Italy
Kosovo,https://en.wikipedia.org/wiki/Republic_of_Kosovo
Latvia,https://en.wikipedia.org/wiki/Latvia
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
North Macedonia,https://en.wikipedia.org/wiki/Republic_of_Macedonia
Malta,https://en.wikipedia.org/wiki/Malta
Moldova,https://en.wikipedia.org/wiki/Moldova
Montenegro,https://en.wikipedia.org/wiki/Montenegro
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Romania,https://en.wikipedia.org/wiki/Romania
San Marino,https://en.wikipedia.org/wiki/San_Marino
Serbia,https://en.wikipedia.org/wiki/Serbia
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Turkey,https://en.wikipedia.org/wiki/Turkey
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Holy See,https://en.wikipedia.org/wiki/Holy_See
Kosovo,https://en.wikipedia.org/wiki/Republic_of_Kosovo
Carlo Monticelli,https://en.wikipedia.org/wiki/Carlo_Monticelli
European Bank for Reconstruction and Development,https://en.wikipedia.org/wiki/European_Bank_for_Reconstruction_and_Development
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
European Stability Mechanism,https://en.wikipedia.org/wiki/European_Stability_Mechanism
International Investment Bank,https://en.wikipedia.org/wiki/International_Investment_Bank
Open Balkan,https://en.wikipedia.org/wiki/Open_Balkan
Craiova Group,https://en.wikipedia.org/wiki/Craiova_Group
Reuters,https://en.wikipedia.org/wiki/Reuters
