text,url
intergovernmental organisation,https://en.wikipedia.org/wiki/Intergovernmental_organisation
sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
children's rights,https://en.wikipedia.org/wiki/Children%27s_rights
trafficking in human beings,https://en.wikipedia.org/wiki/Human_trafficking
Member States,https://en.wikipedia.org/wiki/Member_state
European Union,https://en.wikipedia.org/wiki/European_Union
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
Germany,https://en.wikipedia.org/wiki/Germany
Iceland,https://en.wikipedia.org/wiki/Iceland
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Sweden,https://en.wikipedia.org/wiki/Sweden
Russia,https://en.wikipedia.org/wiki/Russia
Belarus,https://en.wikipedia.org/wiki/Belarus
France,https://en.wikipedia.org/wiki/France
Hungary,https://en.wikipedia.org/wiki/Hungary
Italy,https://en.wikipedia.org/wiki/Italy
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Romania,https://en.wikipedia.org/wiki/Romania
Slovakia,https://en.wikipedia.org/wiki/Slovakia
Spain,https://en.wikipedia.org/wiki/Spain
Ukraine,https://en.wikipedia.org/wiki/Ukraine
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Jacek Starosciak,https://en.wikipedia.org/wiki/Jacek_Staro%C5%9Bciak
Grzegorz Marek Poznański,https://en.wikipedia.org/wiki/Grzegorz_Marek_Pozna%C5%84ski
Cold War,https://en.wikipedia.org/wiki/Cold_War
Hans-Dietrich Genscher,https://en.wikipedia.org/wiki/Hans-Dietrich_Genscher
Uffe Ellemann-Jensen,https://en.wikipedia.org/wiki/Uffe_Ellemann-Jensen
Thorvald Stoltenberg,https://en.wikipedia.org/wiki/Thorvald_Stoltenberg
Lennart Meri,https://en.wikipedia.org/wiki/Lennart_Meri
Jānis Jurkāns,https://en.wikipedia.org/wiki/J%C4%81nis_Jurk%C4%81ns
Algirdas Saudargas,https://en.wikipedia.org/wiki/Algirdas_Saudargas
Henning Christophersen,https://en.wikipedia.org/wiki/Henning_Christophersen
Paavo Väyrynen,https://en.wikipedia.org/wiki/Paavo_V%C3%A4yrynen
Andrei Kozyrev,https://en.wikipedia.org/wiki/Andrei_Kozyrev
Margaretha af Ugglas,https://en.wikipedia.org/wiki/Margaretha_af_Ugglas
Krzysztof Skubiszewski,https://en.wikipedia.org/wiki/Krzysztof_Skubiszewski
2022 Russian invasion of Ukraine,https://en.wikipedia.org/wiki/2022_Russian_invasion_of_Ukraine
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
Germany,https://en.wikipedia.org/wiki/Germany
Norway,https://en.wikipedia.org/wiki/Norway
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Denmark,https://en.wikipedia.org/wiki/Denmark
Latvia,https://en.wikipedia.org/wiki/Latvia
Sweden,https://en.wikipedia.org/wiki/Sweden
Iceland,https://en.wikipedia.org/wiki/Iceland
Poland,https://en.wikipedia.org/wiki/Poland
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
Russia,https://en.wikipedia.org/wiki/Russia
Germany,https://en.wikipedia.org/wiki/Germany
Norway,https://en.wikipedia.org/wiki/Norway
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Denmark,https://en.wikipedia.org/wiki/Denmark
Latvia,https://en.wikipedia.org/wiki/Latvia
Sweden,https://en.wikipedia.org/wiki/Sweden
Iceland,https://en.wikipedia.org/wiki/Iceland
Poland,https://en.wikipedia.org/wiki/Poland
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
Russia,https://en.wikipedia.org/wiki/Russia
Germany,https://en.wikipedia.org/wiki/Germany
Norway,https://en.wikipedia.org/wiki/Norway
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Denmark,https://en.wikipedia.org/wiki/Denmark
Latvia,https://en.wikipedia.org/wiki/Latvia
Sweden,https://en.wikipedia.org/wiki/Sweden
Poland,https://en.wikipedia.org/wiki/Poland
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
Baltic 2030 Action Plan,https://en.wikipedia.org/wiki/Baltic_21
Nyborg,https://en.wikipedia.org/wiki/Nyborg
Strömsborg,https://en.wikipedia.org/wiki/Str%C3%B6msborg
B7 Baltic Seven Islands,https://en.wikipedia.org/wiki/B7_Baltic_Islands_Network
BASTUN,https://en.wikipedia.org/wiki/Baltic_Sea_Trade_Union_Network
BSPC,https://en.wikipedia.org/wiki/Baltic_Sea_Parliamentary_Conference
BUP,https://en.wikipedia.org/wiki/Baltic_University_Programme
HELCOM,https://en.wikipedia.org/wiki/HELCOM
IOM,https://en.wikipedia.org/wiki/International_Organization_for_Migration
OECD,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
UBC,https://en.wikipedia.org/wiki/Union_of_the_Baltic_Cities
low-carbon economy,https://en.wikipedia.org/wiki/Low-carbon_economy
sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
inclusive growth,https://en.wikipedia.org/wiki/Inclusive_growth
Baltic Assembly,https://en.wikipedia.org/wiki/Baltic_Assembly
Baltic Council of Ministers,https://en.wikipedia.org/wiki/Baltic_Council_of_Ministers
