text,url
European Union,https://en.wikipedia.org/wiki/European_Union
Eastern European,https://en.wikipedia.org/wiki/Eastern_Europe
post-Soviet states,https://en.wikipedia.org/wiki/Post-Soviet_states
Armenia,https://en.wikipedia.org/wiki/Armenia
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Belarus,https://en.wikipedia.org/wiki/Belarus
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Moldova,https://en.wikipedia.org/wiki/Moldova
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Poland,https://en.wikipedia.org/wiki/Poland
Sweden,https://en.wikipedia.org/wiki/Sweden
General Affairs and External Relations Council,https://en.wikipedia.org/wiki/General_Affairs_and_External_Relations_Council
Prague,https://en.wikipedia.org/wiki/Prague
European Neighbourhood Policy,https://en.wikipedia.org/wiki/European_Neighbourhood_Policy
Northern Dimension,https://en.wikipedia.org/wiki/Northern_Dimension
Union for the Mediterranean,https://en.wikipedia.org/wiki/Union_for_the_Mediterranean
visa,https://en.wikipedia.org/wiki/Visa_(document)
free trade,https://en.wikipedia.org/wiki/Free_trade
accession to the European Union,https://en.wikipedia.org/wiki/Enlargement_of_the_European_Union
Armenia,https://en.wikipedia.org/wiki/Armenia
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Belarus,https://en.wikipedia.org/wiki/Belarus
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Moldova,https://en.wikipedia.org/wiki/Moldova
Ukraine,https://en.wikipedia.org/wiki/Ukraine
European Commission,https://en.wikipedia.org/wiki/European_Commission
Riga,https://en.wikipedia.org/wiki/Riga
Radosław Sikorski,https://en.wikipedia.org/wiki/Rados%C5%82aw_Sikorski
European Council,https://en.wikipedia.org/wiki/European_Council
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Romania,https://en.wikipedia.org/wiki/Romania
Black Sea Forum for Partnership and Dialogue,https://en.wikipedia.org/wiki/Black_Sea_Forum_for_Partnership_and_Dialogue
