text,url
a series,https://en.wikipedia.org/wiki/Politics_of_the_African_Union
Politics of the African Union,https://en.wikipedia.org/wiki/Politics_of_the_African_Union
Institutions,https://en.wikipedia.org/wiki/Organs_of_the_African_Union
Casablanca Group,https://en.wikipedia.org/wiki/Casablanca_Group
Union of African States,https://en.wikipedia.org/wiki/Union_of_African_States
Organisation of African Unity,https://en.wikipedia.org/wiki/Organisation_of_African_Unity
African Economic Community,https://en.wikipedia.org/wiki/African_Economic_Community
African Unification Front,https://en.wikipedia.org/wiki/African_Unification_Front
Assembly,https://en.wikipedia.org/wiki/Assembly_of_the_African_Union
Chairperson,https://en.wikipedia.org/wiki/Chairperson_of_the_African_Union
Commission,https://en.wikipedia.org/wiki/African_Union_Commission
Chairperson,https://en.wikipedia.org/wiki/Chairperson_of_the_African_Union_Commission
Executive Council,https://en.wikipedia.org/wiki/Executive_Council_of_the_African_Union
Rep. Committee,https://en.wikipedia.org/wiki/Permanent_Representatives%27_Committee_of_the_African_Union
Pan-African Parliament,https://en.wikipedia.org/wiki/Pan-African_Parliament
Fortune Z. Charumbira,https://en.wikipedia.org/wiki/Fortune_Z._Charumbira
Bureau,https://en.wikipedia.org/wiki/Bureau_of_the_Pan-African_Parliament
Secretariat,https://en.wikipedia.org/wiki/Secretariat_of_the_Pan-African_Parliament
List of members,https://en.wikipedia.org/wiki/List_of_members_of_the_Pan-African_Parliament
Permanent Committees,https://en.wikipedia.org/wiki/Permanent_Committees_of_the_Pan-African_Parliament
"Rural Econ., Agri., Resources, Environ.","https://en.wikipedia.org/wiki/Committee_on_Rural_Economy,_Agriculture,_Natural_Resources,_and_Environment"
Monetary & Financial,https://en.wikipedia.org/wiki/Committee_on_Monetary_and_Financial_Affairs
"Trade, Customs, & Immigration","https://en.wikipedia.org/wiki/Committee_on_Trade,_Customs,_and_Immigration_Matters"
"Cooperation, IR, & Conflict","https://en.wikipedia.org/wiki/Committee_on_Cooperation,_International_Relations,_and_Conflict_Resolution"
"Transport, Industry, Communication,Energy, Science, & Tech.","https://en.wikipedia.org/wiki/Committee_on_Transport,_Industry,_Communication,_Energy,_Science,_and_Technology"
"Health, Labour, & Social","https://en.wikipedia.org/wiki/Committee_on_Health,_Labour,_and_Social_Affairs"
"Educ., Culture, Tourism, & HR","https://en.wikipedia.org/wiki/Committee_on_Education,_Culture,_Tourism,_and_Human_Resources"
"Gender, Family, Youth, Disabilities","https://en.wikipedia.org/wiki/Committee_on_Gender,_Family,_Youth,_and_People_with_Disabilities"
Justice & Rights,https://en.wikipedia.org/wiki/Committee_on_Justice_and_Human_Rights
"Rules, Privileges, & Discipline","https://en.wikipedia.org/wiki/Committee_on_Rules,_Privileges,_and_Discipline"
Sirte Declaration,https://en.wikipedia.org/wiki/Sirte_Declaration
Constitutive Act of the AU,https://en.wikipedia.org/wiki/Constitutive_Act_of_the_African_Union
Law,https://en.wikipedia.org/wiki/African_Union_law
Charter on Rights,https://en.wikipedia.org/wiki/African_Charter_on_Human_and_Peoples%27_Rights
Commission on Human and Peoples' Rights,https://en.wikipedia.org/wiki/African_Commission_on_Human_and_Peoples%27_Rights
Justice and Human Rights,https://en.wikipedia.org/wiki/African_Court_of_Justice_and_Human_Rights
Court of Justice,https://en.wikipedia.org/wiki/Court_of_Justice_of_the_African_Union
Court on Human and Peoples' Rights,https://en.wikipedia.org/wiki/African_Court_on_Human_and_Peoples%27_Rights
List of judges,https://en.wikipedia.org/wiki/Judges_of_the_African_Court_on_Human_and_Peoples%27_Rights
Peace and Security Council,https://en.wikipedia.org/wiki/Peace_and_Security_Council
"Economic, Social and Cultural Council","https://en.wikipedia.org/wiki/Economic,_Social_and_Cultural_Council"
Specialised Technical Committees,https://en.wikipedia.org/wiki/Specialised_Technical_Committees_of_the_African_Union
Abuja Treaty,https://en.wikipedia.org/wiki/African_Economic_Community
CEN-SAD,https://en.wikipedia.org/wiki/Community_of_Sahel%E2%80%93Saharan_States
COMESA,https://en.wikipedia.org/wiki/Common_Market_for_Eastern_and_Southern_Africa
EAC,https://en.wikipedia.org/wiki/East_African_Community
CEMAC,https://en.wikipedia.org/wiki/Economic_and_Monetary_Community_of_Central_Africa
ECOWAS/CEDEAO,https://en.wikipedia.org/wiki/ECOWAS
UEMOA,https://en.wikipedia.org/wiki/West_African_Economic_and_Monetary_Union
WAMZ,https://en.wikipedia.org/wiki/West_African_Monetary_Zone
IGAD,https://en.wikipedia.org/wiki/Intergovernmental_Authority_on_Development
SADC,https://en.wikipedia.org/wiki/Southern_African_Development_Community
SACU,https://en.wikipedia.org/wiki/Southern_African_Customs_Union
AMU/UMA,https://en.wikipedia.org/wiki/Arab_Maghreb_Union
African Central Bank,https://en.wikipedia.org/wiki/African_Central_Bank
African Monetary Union,https://en.wikipedia.org/wiki/African_Monetary_Union
African Investment Bank,https://en.wikipedia.org/wiki/African_Investment_Bank
New Partnership for Africa's Development,https://en.wikipedia.org/wiki/New_Partnership_for_Africa%27s_Development
African Peer Review Mechanism,https://en.wikipedia.org/wiki/African_Peer_Review_Mechanism
New Partnership for Africa's Development E-School Program,https://en.wikipedia.org/wiki/New_Partnership_for_Africa%27s_Development_E-School_Program
Agencies of the AU,https://en.wikipedia.org/wiki/Agencies_of_the_African_Union
Africa CDC,https://en.wikipedia.org/wiki/Africa_Centres_for_Disease_Control_and_Prevention
African Space Agency,https://en.wikipedia.org/wiki/African_Space_Agency
Afripol,https://en.wikipedia.org/wiki/Afripol
Enlargement,https://en.wikipedia.org/wiki/Enlargement_of_the_African_Union
Foreign relations,https://en.wikipedia.org/wiki/Foreign_relations_of_the_African_Union
TerrAfrica partnership,https://en.wikipedia.org/wiki/Terrafrica_partnership
Other countries,https://en.wikipedia.org/wiki/Outline_of_political_science#Politics_by_region
French,https://en.wikipedia.org/wiki/French_language
Spanish,https://en.wikipedia.org/wiki/Spanish_language
Portuguese,https://en.wikipedia.org/wiki/Portuguese_language
Economic Community,https://en.wikipedia.org/wiki/African_Economic_Community
African Union,https://en.wikipedia.org/wiki/African_Union
Central Africa,https://en.wikipedia.org/wiki/Central_Africa
standard of living,https://en.wikipedia.org/wiki/Standard_of_living
São Tomé and Príncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Economic Community of the Great Lakes States,https://en.wikipedia.org/wiki/Economic_Community_of_the_Great_Lakes_States
DR Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Burundi,https://en.wikipedia.org/wiki/Burundi
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Angola,https://en.wikipedia.org/wiki/Angola
the conflict,https://en.wikipedia.org/wiki/History_of_the_Democratic_Republic_of_the_Congo
Great Lakes,https://en.wikipedia.org/wiki/African_Great_Lakes
African Economic Community,https://en.wikipedia.org/wiki/African_Economic_Community
regional blocs,https://en.wikipedia.org/wiki/Regional_bloc
