text,url
Eurasian,https://en.wikipedia.org/wiki/Eurasian
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Tehran,https://en.wikipedia.org/wiki/Tehran
Iran,https://en.wikipedia.org/wiki/Iran
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Turkey,https://en.wikipedia.org/wiki/Turkey
ad hoc,https://en.wikipedia.org/wiki/Ad_hoc
United Nations Charter,https://en.wikipedia.org/wiki/United_Nations_Charter
single market,https://en.wikipedia.org/wiki/Single_market
European Union,https://en.wikipedia.org/wiki/European_Union
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
ASEAN,https://en.wikipedia.org/wiki/ASEAN
Ferghana Valley,https://en.wikipedia.org/wiki/Ferghana_Valley
Pakistan-Turkey Free Trade Agreement,https://en.wikipedia.org/wiki/Pakistan-Turkey_Free_Trade_Agreement
Afghanistan-Pakistan Transit Trade Agreement,https://en.wikipedia.org/wiki/Afghanistan-Pakistan_Transit_Trade_Agreement
Ashgabat Agreement,https://en.wikipedia.org/wiki/Ashgabat_Agreement
Iran–Pakistan gas pipeline,https://en.wikipedia.org/wiki/Iran%E2%80%93Pakistan_gas_pipeline
Tabriz–Ankara pipeline,https://en.wikipedia.org/wiki/Tabriz%E2%80%93Ankara_pipeline
Regional Cooperation for Development,https://en.wikipedia.org/wiki/Regional_Cooperation_for_Development
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Islamabad,https://en.wikipedia.org/wiki/Islamabad
working language,https://en.wikipedia.org/wiki/Working_language
Azerbaijani,https://en.wikipedia.org/wiki/Azerbaijani_language
Kazakh,https://en.wikipedia.org/wiki/Kazakh_language
romanized,https://en.wikipedia.org/wiki/Romanization_of_Kazakh
Kyrgyz,https://en.wikipedia.org/wiki/Kyrgyz_language
romanized,https://en.wikipedia.org/wiki/Romanization_of_Kyrgyz
Pashto,https://en.wikipedia.org/wiki/Pashto_language
Persian,https://en.wikipedia.org/wiki/Persian_language
romanized,https://en.wikipedia.org/wiki/Romanization_of_Persian
Russian,https://en.wikipedia.org/wiki/Russian_language
romanized,https://en.wikipedia.org/wiki/Romanization_of_Russian
Tajik,https://en.wikipedia.org/wiki/Tajik_language
romanized,https://en.wikipedia.org/wiki/Romanization_of_Tajik
Turkish,https://en.wikipedia.org/wiki/Turkish_language
Turkmen,https://en.wikipedia.org/wiki/Turkmen_language
Urdu,https://en.wikipedia.org/wiki/Urdu_language
romanized,https://en.wikipedia.org/wiki/Romanization_of_Urdu
Uzbek,https://en.wikipedia.org/wiki/Uzbek_language
Int$,https://en.wikipedia.org/wiki/Geary%E2%80%93Khamis_dollar
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Iran,https://en.wikipedia.org/wiki/Iran
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Turkey,https://en.wikipedia.org/wiki/Turkey
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Northern Cyprus,https://en.wikipedia.org/wiki/Northern_Cyprus
Organization of Turkic States,https://en.wikipedia.org/wiki/Organization_of_Turkic_States
International Energy Charter,https://en.wikipedia.org/wiki/International_Energy_Charter
13th ECO Summit,https://en.wikipedia.org/wiki/13th_ECO_Summit
1st,https://en.wikipedia.org/wiki/1st_ECO_Summit
Iran,https://en.wikipedia.org/wiki/Iran
Tehran,https://en.wikipedia.org/wiki/Tehran
2nd,https://en.wikipedia.org/wiki/2nd_ECO_Summit
Turkey,https://en.wikipedia.org/wiki/Turkey
Istanbul,https://en.wikipedia.org/wiki/Istanbul
3rd,https://en.wikipedia.org/wiki/3rd_ECO_Summit
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Islamabad,https://en.wikipedia.org/wiki/Islamabad
4th,https://en.wikipedia.org/wiki/4th_ECO_Summit
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Ashgabat,https://en.wikipedia.org/wiki/Ashgabat
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Almaty,https://en.wikipedia.org/wiki/Almaty
Iran,https://en.wikipedia.org/wiki/Iran
Tehran,https://en.wikipedia.org/wiki/Tehran
Turkey,https://en.wikipedia.org/wiki/Turkey
Istanbul,https://en.wikipedia.org/wiki/Istanbul
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Dushanbe,https://en.wikipedia.org/wiki/Dushanbe
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Baku,https://en.wikipedia.org/wiki/Baku
Iran,https://en.wikipedia.org/wiki/Iran
Tehran,https://en.wikipedia.org/wiki/Tehran
Turkey,https://en.wikipedia.org/wiki/Turkey
Istanbul,https://en.wikipedia.org/wiki/Istanbul
12th,https://en.wikipedia.org/wiki/12th_ECO_Summit
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Baku,https://en.wikipedia.org/wiki/Baku
13th,https://en.wikipedia.org/wiki/13th_ECO_Summit
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Islamabad,https://en.wikipedia.org/wiki/Islamabad
Turkey,https://en.wikipedia.org/wiki/Turkey
Turkmenistan,https://en.wikipedia.org/wiki/Turkmenistan
Ashgabat,https://en.wikipedia.org/wiki/Ashgabat
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Tashkent,https://en.wikipedia.org/wiki/Tashkent
17th,https://en.wikipedia.org/wiki/17th_ECO_Summit
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Khankendi,https://en.wikipedia.org/wiki/Khankendi
Iran,https://en.wikipedia.org/wiki/Iran
Shamshad Ahmad,https://en.wikipedia.org/wiki/Shamshad_Ahmad
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Turkey,https://en.wikipedia.org/wiki/Turkey
Iran,https://en.wikipedia.org/wiki/Iran
Iran,https://en.wikipedia.org/wiki/Iran
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Yahya Maroofi,https://en.wikipedia.org/wiki/Yahya_Maroofi
Afghanistan,https://en.wikipedia.org/wiki/Islamic_Republic_of_Afghanistan
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Halil Ibrahim Akca,https://en.wikipedia.org/wiki/Halil_Ibrahim_Akca
Turkey,https://en.wikipedia.org/wiki/Turkey
Iran,https://en.wikipedia.org/wiki/Iran
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Asad Majeed Khan,https://en.wikipedia.org/wiki/Asad_Majeed_Khan
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
cultural heritage,https://en.wikipedia.org/wiki/Cultural_heritage
media,https://en.wikipedia.org/wiki/Mass_media
literature,https://en.wikipedia.org/wiki/Literature
art,https://en.wikipedia.org/wiki/Art
philosophy,https://en.wikipedia.org/wiki/Philosophy
sport,https://en.wikipedia.org/wiki/Sport
education,https://en.wikipedia.org/wiki/Education
ECO Science Foundation,https://en.wikipedia.org/wiki/ECO_Science_Foundation
Organisation of the Islamic Cooperation,https://en.wikipedia.org/wiki/Economy_of_the_OIC
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
Organisation of Islamic Cooperation,https://en.wikipedia.org/wiki/Organisation_of_Islamic_Cooperation
heads of state,https://en.wikipedia.org/wiki/Head_of_state
heads of government,https://en.wikipedia.org/wiki/Head_of_government
chief executive,https://en.wikipedia.org/wiki/Chief_executive_(gubernatorial)
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
