text,url
international agreement,https://en.wikipedia.org/wiki/International_agreement
cross-border cooperation,https://en.wikipedia.org/wiki/Cross-border_cooperation
energy industry,https://en.wikipedia.org/wiki/Energy_industry
fossil fuel industry,https://en.wikipedia.org/wiki/Fossil_fuel_industry
energy efficiency,https://en.wikipedia.org/wiki/Efficient_energy_use
energy sectors,https://en.wikipedia.org/wiki/Energy_sector
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Eastern Europe,https://en.wikipedia.org/wiki/Eastern_Europe
Cold War,https://en.wikipedia.org/wiki/Cold_War
foreign direct investments,https://en.wikipedia.org/wiki/Foreign_direct_investment
international arbitrations,https://en.wikipedia.org/wiki/International_arbitration
law,https://en.wikipedia.org/wiki/International_law
Yukos,https://en.wikipedia.org/wiki/Yukos_shareholders_v._Russia
climate change,https://en.wikipedia.org/wiki/Climate_change
Paris Agreement,https://en.wikipedia.org/wiki/Paris_Agreement
European Union,https://en.wikipedia.org/wiki/European_Union
Euratom,https://en.wikipedia.org/wiki/Euratom
Cold War,https://en.wikipedia.org/wiki/Cold_War
Iron Curtain,https://en.wikipedia.org/wiki/Iron_Curtain
energy sector,https://en.wikipedia.org/wiki/Energy_industry
Europe's growing energy demand,https://en.wikipedia.org/wiki/Russia_in_the_European_energy_sector
vast resource availability in post-Soviet nations,https://en.wikipedia.org/wiki/Energy_superpower
Eurasia,https://en.wikipedia.org/wiki/Eurasia
The Hague,https://en.wikipedia.org/wiki/The_Hague
energy efficiency,https://en.wikipedia.org/wiki/Efficient_energy_use
General Agreement on Tariffs and Trade,https://en.wikipedia.org/wiki/General_Agreement_on_Tariffs_and_Trade
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Euratom,https://en.wikipedia.org/wiki/European_Atomic_Energy_Community
ECOWAS,https://en.wikipedia.org/wiki/Economic_Community_of_West_African_States
United Nations General Assembly observer,https://en.wikipedia.org/wiki/United_Nations_General_Assembly_observers
Energy Efficiency,https://en.wikipedia.org/wiki/Efficient_energy_use
Dispute Settlement,https://en.wikipedia.org/wiki/Dispute_resolution
General Agreement on Tariffs and Trade,https://en.wikipedia.org/wiki/General_Agreement_on_Tariffs_and_Trade
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
crude oil,https://en.wikipedia.org/wiki/Petroleum
