text,url
development finance institution,https://en.wikipedia.org/wiki/Development_finance_institution
Eurasian,https://en.wikipedia.org/wiki/Eurasia
Almaty,https://en.wikipedia.org/wiki/Almaty
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
St. Petersburg,https://en.wikipedia.org/wiki/Saint_Petersburg
Astana,https://en.wikipedia.org/wiki/Astana
Bishkek,https://en.wikipedia.org/wiki/Bishkek
Dushanbe,https://en.wikipedia.org/wiki/Dushanbe
Yerevan,https://en.wikipedia.org/wiki/Yerevan
Minsk,https://en.wikipedia.org/wiki/Minsk
Moscow,https://en.wikipedia.org/wiki/Moscow
Armenia,https://en.wikipedia.org/wiki/Armenia
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Belarus,https://en.wikipedia.org/wiki/Belarus
Kyrgyz Republic,https://en.wikipedia.org/wiki/Kyrgyzstan
Organisation for Economic Cooperation and Development,https://en.wikipedia.org/wiki/OECD
eurobonds,https://en.wikipedia.org/wiki/Eurobond_(external_bond)
sanctions prompted by the Russian invasion of Ukraine,https://en.wikipedia.org/wiki/International_sanctions_during_the_Russian_invasion_of_Ukraine
paid-up capital,https://en.wikipedia.org/wiki/Share_capital
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Shavkat Mirziyoyev,https://en.wikipedia.org/wiki/Shavkat_Mirziyoyev
Moldova,https://en.wikipedia.org/wiki/Moldova
Hungary,https://en.wikipedia.org/wiki/Hungary
Comecon,https://en.wikipedia.org/wiki/Comecon
Warsaw Pact,https://en.wikipedia.org/wiki/Warsaw_Pact
market economies,https://en.wikipedia.org/wiki/Market_economy
Sustainable Development Goals,https://en.wikipedia.org/wiki/Sustainable_Development_Goals
United Nations General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
UNCTAD,https://en.wikipedia.org/wiki/United_Nations_Conference_on_Trade_and_Development
KASE,https://en.wikipedia.org/wiki/Kazakhstan_Stock_Exchange
ICMA,https://en.wikipedia.org/wiki/International_Capital_Market_Association
ISDA,https://en.wikipedia.org/wiki/International_Swaps_and_Derivatives_Association
Almaty Airport terminal,https://en.wikipedia.org/wiki/Almaty_International_Airport
Turkistan,https://en.wikipedia.org/wiki/Turkistan_(city)
Western High-Speed Diameter,https://en.wikipedia.org/wiki/Western_High-Speed_Diameter
Eurobonds,https://en.wikipedia.org/wiki/Eurobond_(external_bond)
Commonwealth of Independent States,https://en.wikipedia.org/wiki/Commonwealth_of_Independent_States
Customs Union of the Eurasian Economic Union,https://en.wikipedia.org/wiki/Customs_Union_of_the_Eurasian_Economic_Union
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
Multilateral Development Banks,https://en.wikipedia.org/wiki/International_financial_institutions#Multilateral_Development_Banks
Post-Soviet states,https://en.wikipedia.org/wiki/Post-Soviet_states
Union of International Associations,https://en.wikipedia.org/wiki/Union_of_International_Associations
