text,url
intergovernmental research organisation,https://en.wikipedia.org/wiki/Intergovernmental_organization
astronomy,https://en.wikipedia.org/wiki/Astronomy
Chile,https://en.wikipedia.org/wiki/Chile
telescopes,https://en.wikipedia.org/wiki/Telescope
New Technology Telescope,https://en.wikipedia.org/wiki/New_Technology_Telescope
active optics,https://en.wikipedia.org/wiki/Active_optics
Very Large Telescope,https://en.wikipedia.org/wiki/Very_Large_Telescope
Atacama Large Millimeter Array,https://en.wikipedia.org/wiki/Atacama_Large_Millimeter_Array
universe,https://en.wikipedia.org/wiki/Universe
millimetre and submillimetre,https://en.wikipedia.org/wiki/Terahertz_radiation
Extremely Large Telescope,https://en.wikipedia.org/wiki/Extremely_Large_Telescope
segmented mirror,https://en.wikipedia.org/wiki/Segmented_mirror
world's largest,https://en.wikipedia.org/wiki/List_of_largest_optical_reflecting_telescopes
supermassive black holes,https://en.wikipedia.org/wiki/Supermassive_black_hole
dark matter,https://en.wikipedia.org/wiki/Dark_matter
dark energy,https://en.wikipedia.org/wiki/Dark_energy
astronomical catalogues,https://en.wikipedia.org/wiki/European_Southern_Observatory_Catalog
gamma-ray burst,https://en.wikipedia.org/wiki/Gamma-ray_burst
black hole,https://en.wikipedia.org/wiki/Black_hole
Milky Way,https://en.wikipedia.org/wiki/Milky_Way
extrasolar planet,https://en.wikipedia.org/wiki/Extrasolar_planet
2M1207b,https://en.wikipedia.org/wiki/2M1207b
brown dwarf,https://en.wikipedia.org/wiki/Brown_dwarf
HARPS,https://en.wikipedia.org/wiki/HARPS
Gliese 581c,https://en.wikipedia.org/wiki/Gliese_581c
Solar System,https://en.wikipedia.org/wiki/Solar_System
Walter Baade,https://en.wikipedia.org/wiki/Walter_Baade
Jan Oort,https://en.wikipedia.org/wiki/Jan_Oort
Leiden Observatory,https://en.wikipedia.org/wiki/Leiden_Observatory
reflector telescopes,https://en.wikipedia.org/wiki/Reflector_telescope
aperture,https://en.wikipedia.org/wiki/Aperture
Milky Way,https://en.wikipedia.org/wiki/Milky_Way
Magellanic Clouds,https://en.wikipedia.org/wiki/Magellanic_Clouds
Otto Heckmann,https://en.wikipedia.org/wiki/Otto_Heckmann
Adriaan Blaauw,https://en.wikipedia.org/wiki/Adriaan_Blaauw
Lodewijk Woltjer,https://en.wikipedia.org/wiki/Lodewijk_Woltjer
Riccardo Giacconi,https://en.wikipedia.org/wiki/Riccardo_Giacconi
Catherine Cesarsky,https://en.wikipedia.org/wiki/Catherine_Cesarsky
Tim de Zeeuw,https://en.wikipedia.org/wiki/Tim_de_Zeeuw
Xavier Barcons,https://en.wikipedia.org/wiki/Xavier_Barcons
Boyden Observatory,https://en.wikipedia.org/wiki/Boyden_Observatory
Andes,https://en.wikipedia.org/wiki/Andes
Jürgen Stock,https://en.wikipedia.org/wiki/J%C3%BCrgen_Stock_(astronomer)
Chile,https://en.wikipedia.org/wiki/Chile
Otto Heckmann,https://en.wikipedia.org/wiki/Otto_Heckmann
CERN,https://en.wikipedia.org/wiki/CERN
Geneva,https://en.wikipedia.org/wiki/Geneva
Garching,https://en.wikipedia.org/wiki/Garching
Munich,https://en.wikipedia.org/wiki/Munich
Guillem Anglada-Escudé,https://en.wikipedia.org/wiki/Guillem_Anglada-Escud%C3%A9
Proxima Centauri b,https://en.wikipedia.org/wiki/Proxima_Centauri_b
Belgium,https://en.wikipedia.org/wiki/Belgium
Germany,https://en.wikipedia.org/wiki/Germany
France,https://en.wikipedia.org/wiki/France
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Sweden,https://en.wikipedia.org/wiki/Sweden
Denmark,https://en.wikipedia.org/wiki/Denmark
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Italy,https://en.wikipedia.org/wiki/Italy
