text,url
international organization,https://en.wikipedia.org/wiki/International_organization
space exploration,https://en.wikipedia.org/wiki/Space_exploration
European integration,https://en.wikipedia.org/wiki/European_integration
human spaceflight,https://en.wikipedia.org/wiki/Human_spaceflight
International Space Station,https://en.wikipedia.org/wiki/International_Space_Station
Asteroid impact avoidance,https://en.wikipedia.org/wiki/Asteroid_impact_avoidance
Telecommunications,https://en.wikipedia.org/wiki/Telecommunications
Guiana Space Centre,https://en.wikipedia.org/wiki/Guiana_Space_Centre
Kourou,https://en.wikipedia.org/wiki/Kourou
French Guiana,https://en.wikipedia.org/wiki/French_Guiana
Ariane 6,https://en.wikipedia.org/wiki/Ariane_6
Arianespace,https://en.wikipedia.org/wiki/Arianespace
NASA,https://en.wikipedia.org/wiki/NASA
Orion spacecraft,https://en.wikipedia.org/wiki/Orion_spacecraft
service module,https://en.wikipedia.org/wiki/European_Service_Module
Space Launch System,https://en.wikipedia.org/wiki/Space_Launch_System
European Space Operations Centre,https://en.wikipedia.org/wiki/European_Space_Operations_Centre
Darmstadt,https://en.wikipedia.org/wiki/Darmstadt
ESTEC,https://en.wikipedia.org/wiki/European_Space_Research_and_Technology_Centre
Noordwijk,https://en.wikipedia.org/wiki/Noordwijk
World War II,https://en.wikipedia.org/wiki/World_War_II
Western Europe,https://en.wikipedia.org/wiki/Western_Europe
Sputnik shock,https://en.wikipedia.org/wiki/Sputnik_crisis
Edoardo Amaldi,https://en.wikipedia.org/wiki/Edoardo_Amaldi
Pierre Auger,https://en.wikipedia.org/wiki/Pierre_Victor_Auger
ELDO,https://en.wikipedia.org/wiki/European_Launcher_Development_Organisation
ESRO,https://en.wikipedia.org/wiki/ESRO
Belgium,https://en.wikipedia.org/wiki/Belgium
Denmark,https://en.wikipedia.org/wiki/Denmark
France,https://en.wikipedia.org/wiki/France
West Germany,https://en.wikipedia.org/wiki/West_Germany
Italy,https://en.wikipedia.org/wiki/Italy
the Netherlands,https://en.wikipedia.org/wiki/Netherlands
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Cos-B,https://en.wikipedia.org/wiki/Cos-B
gamma-ray emissions,https://en.wikipedia.org/wiki/Gamma-ray_astronomy
Ariane 1,https://en.wikipedia.org/wiki/Ariane_1
NASA,https://en.wikipedia.org/wiki/NASA
International Ultraviolet Explorer,https://en.wikipedia.org/wiki/International_Ultraviolet_Explorer
Giotto,https://en.wikipedia.org/wiki/Giotto_mission
Halley,https://en.wikipedia.org/wiki/Comet_Halley
Grigg–Skjellerup,https://en.wikipedia.org/wiki/26P/Grigg%E2%80%93Skjellerup
Hipparcos,https://en.wikipedia.org/wiki/Hipparcos
SOHO,https://en.wikipedia.org/wiki/Solar_and_Heliospheric_Observatory
Ulysses,https://en.wikipedia.org/wiki/Ulysses_probe
