text,url
X-ray,https://en.wikipedia.org/wiki/X-ray
laser,https://en.wikipedia.org/wiki/Laser
Hamburg,https://en.wikipedia.org/wiki/Hamburg
Schleswig-Holstein,https://en.wikipedia.org/wiki/Schleswig-Holstein
free-electron laser,https://en.wikipedia.org/wiki/Free-electron_laser
electromagnetic radiation,https://en.wikipedia.org/wiki/Electromagnetic_radiation
relativistic,https://en.wikipedia.org/wiki/Theory_of_relativity
electrons,https://en.wikipedia.org/wiki/Electron
laser light,https://en.wikipedia.org/wiki/Laser
synchrotron,https://en.wikipedia.org/wiki/Synchrotron
superconducting,https://en.wikipedia.org/wiki/Superconductivity
linear accelerator,https://en.wikipedia.org/wiki/Linear_accelerator
photon,https://en.wikipedia.org/wiki/Photon
DESY,https://en.wikipedia.org/wiki/DESY
Schenefeld,"https://en.wikipedia.org/wiki/Schenefeld,_Pinneberg"
GeV,https://en.wikipedia.org/wiki/GeV
RF-cavities,https://en.wikipedia.org/wiki/Microwave_cavity
DESY,https://en.wikipedia.org/wiki/DESY
magnetic fields,https://en.wikipedia.org/wiki/Magnetic_field
undulators,https://en.wikipedia.org/wiki/Undulator
nm,https://en.wikipedia.org/wiki/Nanometre
self-amplified spontaneous emission,https://en.wikipedia.org/wiki/Self-amplified_spontaneous_emission
X-ray machines,https://en.wikipedia.org/wiki/X-ray_machine
femtoseconds,https://en.wikipedia.org/wiki/Femtosecond
femtoseconds,https://en.wikipedia.org/wiki/Femtoseconds
X-ray,https://en.wikipedia.org/wiki/X-ray
spectrometers,https://en.wikipedia.org/wiki/Spectrometer
detector,https://en.wikipedia.org/wiki/Detector
scattering,https://en.wikipedia.org/wiki/Scattering
laser,https://en.wikipedia.org/wiki/Laser
ultraviolet (UV),https://en.wikipedia.org/wiki/Ultraviolet_radiation
infrared (IR),https://en.wikipedia.org/wiki/Infrared_radiation
lasers,https://en.wikipedia.org/wiki/Laser
magnets,https://en.wikipedia.org/wiki/Magnet
exoplanets,https://en.wikipedia.org/wiki/Exoplanet
plasmas,https://en.wikipedia.org/wiki/Plasma_(physics)
pressures,https://en.wikipedia.org/wiki/Pressure
monochromators,https://en.wikipedia.org/wiki/Monochromator
diamond,https://en.wikipedia.org/wiki/Diamond
Particles,https://en.wikipedia.org/wiki/Particle
Clusters,https://en.wikipedia.org/wiki/Nanocluster
Biomolecules,https://en.wikipedia.org/wiki/Biomolecule
Crystallography,https://en.wikipedia.org/wiki/Crystallography
electromagnet,https://en.wikipedia.org/wiki/Electromagnet
transmission spectroscopies,https://en.wikipedia.org/wiki/X-ray_absorption_spectroscopy
small angle X-ray scattering (SAXS),https://en.wikipedia.org/wiki/Small-angle_X-ray_scattering
coherent diffraction imaging (CDI),https://en.wikipedia.org/wiki/Coherent_diffraction_imaging
X-ray photon correlation spectroscopy (XPCS),https://en.wikipedia.org/wiki/X-ray_photon_correlation_spectroscopy
resonant inelastic X-ray scattering,https://en.wikipedia.org/wiki/Resonant_inelastic_X-ray_scattering
FEL,https://en.wikipedia.org/wiki/Free-electron_laser
phase-contrast X-ray imaging,https://en.wikipedia.org/wiki/Phase-contrast_X-ray_imaging
CXDI,https://en.wikipedia.org/wiki/CXDI
phase retrieval,https://en.wikipedia.org/wiki/Phase_retrieval
diffraction,https://en.wikipedia.org/wiki/Diffraction
reciprocal space,https://en.wikipedia.org/wiki/Reciprocal_space
XPCS,https://en.wikipedia.org/wiki/XPCS
Karabo,https://en.wikipedia.org/wiki/Karabo_(SCADA_framework)
SCADA,https://en.wikipedia.org/wiki/SCADA
C++,https://en.wikipedia.org/wiki/C%2B%2B
python,https://en.wikipedia.org/wiki/Python_(programming_language)
wavelength,https://en.wikipedia.org/wiki/Wavelength
atomic,https://en.wikipedia.org/wiki/Atom
photon,https://en.wikipedia.org/wiki/Photon
physics,https://en.wikipedia.org/wiki/Physics
chemistry,https://en.wikipedia.org/wiki/Chemistry
materials science,https://en.wikipedia.org/wiki/Materials_science
biology,https://en.wikipedia.org/wiki/Biology
nanotechnology,https://en.wikipedia.org/wiki/Nanotechnology
German Federal Ministry of Education and Research,https://en.wikipedia.org/wiki/German_Federal_Ministry_of_Education_and_Research
GmbH,https://en.wikipedia.org/wiki/GmbH
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
PMC,https://en.wikipedia.org/wiki/PMC_(identifier)
PMID,https://en.wikipedia.org/wiki/PMID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
PMC,https://en.wikipedia.org/wiki/PMC_(identifier)
PMID,https://en.wikipedia.org/wiki/PMID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
PMID,https://en.wikipedia.org/wiki/PMID_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
