text,url
French,https://en.wikipedia.org/wiki/French_language
intergovernmental organisation,https://en.wikipedia.org/wiki/Intergovernmental_organisation
G7,https://en.wikipedia.org/wiki/G7
money laundering,https://en.wikipedia.org/wiki/Money_laundering
terrorism financing,https://en.wikipedia.org/wiki/Terrorism_financing
OECD,https://en.wikipedia.org/wiki/OECD
terrorist financing,https://en.wikipedia.org/wiki/Terrorism_financing
FATF blacklist,https://en.wikipedia.org/wiki/FATF_blacklist#Current_FATF_blacklist
FATF greylist,https://en.wikipedia.org/wiki/FATF_blacklist#Current_FATF_greylist
G7,https://en.wikipedia.org/wiki/G7
money laundering,https://en.wikipedia.org/wiki/Money_laundering
September 11 terror attacks,https://en.wikipedia.org/wiki/September_11_terror_attacks
terrorist acts,https://en.wikipedia.org/wiki/Terrorism
AML/CFT,https://en.wikipedia.org/wiki/Anti%E2%80%93money_laundering
financial intelligence unit,https://en.wikipedia.org/wiki/Financial_intelligence_unit
September 11 attacks,https://en.wikipedia.org/wiki/September_11_attacks
financial system,https://en.wikipedia.org/wiki/Financial_system
non-profit organisations,https://en.wikipedia.org/wiki/Nonprofit_organization
World Bank,https://en.wikipedia.org/wiki/World_Bank
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Basel Institute on Governance,https://en.wikipedia.org/wiki/Basel_Institute_on_Governance
transnational crime,https://en.wikipedia.org/wiki/Transnational_crime
Non-Cooperative Countries or Territories,https://en.wikipedia.org/wiki/Non-Cooperative_Countries_or_Territories
FATF Blacklist,https://en.wikipedia.org/wiki/FATF_Blacklist
beneficial owner,https://en.wikipedia.org/wiki/Beneficial_owner
shell corporations,https://en.wikipedia.org/wiki/Shell_corporation
Iran,https://en.wikipedia.org/wiki/Iran
Myanmar,https://en.wikipedia.org/wiki/Myanmar
North Korea,https://en.wikipedia.org/wiki/North_Korea
Algeria,https://en.wikipedia.org/wiki/Algeria
Angola,https://en.wikipedia.org/wiki/Angola
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Côte d'Ivoire,https://en.wikipedia.org/wiki/C%C3%B4te_d%27Ivoire
Croatia,https://en.wikipedia.org/wiki/Croatia
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Haiti,https://en.wikipedia.org/wiki/Haiti
Kenya,https://en.wikipedia.org/wiki/Kenya
Laos,https://en.wikipedia.org/wiki/Laos
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Mali,https://en.wikipedia.org/wiki/Mali
Monaco,https://en.wikipedia.org/wiki/Monaco
