text,url
Group of 77,https://en.wikipedia.org/wiki/Group_of_77
developing countries,https://en.wikipedia.org/wiki/Developing_country
China,https://en.wikipedia.org/wiki/China
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Algeria,https://en.wikipedia.org/wiki/Algeria
DR Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Egypt,https://en.wikipedia.org/wiki/Egypt
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Gabon,https://en.wikipedia.org/wiki/Gabon
Ghana,https://en.wikipedia.org/wiki/Ghana
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Kenya,https://en.wikipedia.org/wiki/Kenya
Morocco,https://en.wikipedia.org/wiki/Morocco
Nigeria,https://en.wikipedia.org/wiki/Nigeria
South Africa,https://en.wikipedia.org/wiki/South_Africa
Argentina,https://en.wikipedia.org/wiki/Argentina
Brazil,https://en.wikipedia.org/wiki/Brazil
Colombia,https://en.wikipedia.org/wiki/Colombia
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Haiti,https://en.wikipedia.org/wiki/Haiti
Mexico,https://en.wikipedia.org/wiki/Mexico
Peru,https://en.wikipedia.org/wiki/Peru
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Venezuela,https://en.wikipedia.org/wiki/Venezuela
China,https://en.wikipedia.org/wiki/China
India,https://en.wikipedia.org/wiki/India
Iran,https://en.wikipedia.org/wiki/Iran
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Pakistan,https://en.wikipedia.org/wiki/Pakistan
Philippines,https://en.wikipedia.org/wiki/Philippines
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Syria,https://en.wikipedia.org/wiki/Syria
Angola,https://en.wikipedia.org/wiki/Angola
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Arab Monetary Fund,https://en.wikipedia.org/wiki/Arab_Monetary_Fund
Economic Commission for Latin America and the Caribbean,https://en.wikipedia.org/wiki/Economic_Commission_for_Latin_America_and_the_Caribbean
Group of 77,https://en.wikipedia.org/wiki/Group_of_77
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
Islamic Development Bank,https://en.wikipedia.org/wiki/Islamic_Development_Bank
OPEC Fund for International Development,https://en.wikipedia.org/wiki/OPEC_Fund_for_International_Development
Organization of the Petroleum Exporting Countries,https://en.wikipedia.org/wiki/OPEC
South Centre,https://en.wikipedia.org/wiki/South_Centre_(organization)
United Nations Conference on Trade and Development,https://en.wikipedia.org/wiki/United_Nations_Conference_on_Trade_and_Development
United Nations Department of Economic and Social Affairs,https://en.wikipedia.org/wiki/United_Nations_Department_of_Economic_and_Social_Affairs
IMF,https://en.wikipedia.org/wiki/IMF
World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group
Benjamin E. Diokno,https://en.wikipedia.org/wiki/Benjamin_Diokno
Sergio Massa,https://en.wikipedia.org/wiki/Sergio_Massa
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Mexico,https://en.wikipedia.org/wiki/Mexico
Philippines,https://en.wikipedia.org/wiki/Philippines
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Gabon,https://en.wikipedia.org/wiki/Gabon
Philippines,https://en.wikipedia.org/wiki/Philippines
Argentina,https://en.wikipedia.org/wiki/Argentina
Democratic Republic of Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Syria,https://en.wikipedia.org/wiki/Syria
Brazil,https://en.wikipedia.org/wiki/Brazil
South Africa,https://en.wikipedia.org/wiki/South_Africa
India,https://en.wikipedia.org/wiki/India
Mexico,https://en.wikipedia.org/wiki/Mexico
Egypt,https://en.wikipedia.org/wiki/Egypt
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Colombia,https://en.wikipedia.org/wiki/Colombia
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Sri Lanka,https://en.wikipedia.org/wiki/Sri_Lanka
Peru,https://en.wikipedia.org/wiki/Peru
Ghana,https://en.wikipedia.org/wiki/Ghana
Iran,https://en.wikipedia.org/wiki/Iran
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Côte d’Ivoire,https://en.wikipedia.org/wiki/Ivory_Coast
