text,url
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Belgium,https://en.wikipedia.org/wiki/Belgium
Canada,https://en.wikipedia.org/wiki/Canada
France,https://en.wikipedia.org/wiki/France
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Netherlands,https://en.wikipedia.org/wiki/Netherlands
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Germany,https://en.wikipedia.org/wiki/Germany
Sweden,https://en.wikipedia.org/wiki/Sweden
pound sterling,https://en.wikipedia.org/wiki/Pound_sterling
Switzerland,https://en.wikipedia.org/wiki/Switzerland
BRICS,https://en.wikipedia.org/wiki/BRICS
SDR,https://en.wikipedia.org/wiki/Special_drawing_rights
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Bank for International Settlements,https://en.wikipedia.org/wiki/Bank_for_International_Settlements
European Commission,https://en.wikipedia.org/wiki/European_Commission
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/OECD
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
EU three,https://en.wikipedia.org/wiki/EU_three
Big Four (Western Europe),https://en.wikipedia.org/wiki/Big_Four_(Western_Europe)
Group of Six,https://en.wikipedia.org/wiki/G6_(EU)
Group of Seven,https://en.wikipedia.org/wiki/G7
Group of Twelve,https://en.wikipedia.org/wiki/Group_of_Twelve
G10 currencies,https://en.wikipedia.org/wiki/G10_currencies
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Oxford University Press,https://en.wikipedia.org/wiki/Oxford_University_Press
