text,url
post-Soviet states,https://en.wikipedia.org/wiki/Post-Soviet_states
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Moldova,https://en.wikipedia.org/wiki/Moldova
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
UN General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
peacekeeping,https://en.wikipedia.org/wiki/Peacekeeping
free-trade area,https://en.wikipedia.org/wiki/Free-trade_area
International Trade Centre,https://en.wikipedia.org/wiki/International_Trade_Centre
Agreement on Creation of CIS Free Trade Area,https://en.wikipedia.org/wiki/Commonwealth_of_Independent_States_Agreement_on_the_Establishment_of_a_Free_Trade_Area
Election monitoring,https://en.wikipedia.org/wiki/Election_monitoring
Ukrainian,https://en.wikipedia.org/wiki/Ukraine
Kyiv,https://en.wikipedia.org/wiki/Kyiv
Strasbourg,https://en.wikipedia.org/wiki/Strasbourg
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Yalta,https://en.wikipedia.org/wiki/Yalta
Viktor Yushchenko,https://en.wikipedia.org/wiki/Viktor_Yushchenko
European integration,https://en.wikipedia.org/wiki/European_integration
Andijan massacre,https://en.wikipedia.org/wiki/Andijan_massacre
Chișinău,https://en.wikipedia.org/wiki/Chi%C8%99in%C4%83u
US Department of State,https://en.wikipedia.org/wiki/US_Department_of_State
Eurasian,https://en.wikipedia.org/wiki/Eurasia
OSCE,https://en.wikipedia.org/wiki/Organization_for_Security_and_Co-operation_in_Europe
Ján Kubiš,https://en.wikipedia.org/wiki/J%C3%A1n_Kubi%C5%A1
Ilham Aliyev,https://en.wikipedia.org/wiki/Ilham_Aliyev
Caspian,https://en.wikipedia.org/wiki/Caspian_Sea
Black Sea,https://en.wikipedia.org/wiki/Black_Sea
Viktor Yushchenko,https://en.wikipedia.org/wiki/Viktor_Yushchenko
Commonwealth of Independent States,https://en.wikipedia.org/wiki/Commonwealth_of_Independent_States
Holodomor,https://en.wikipedia.org/wiki/Holodomor
genocide,https://en.wikipedia.org/wiki/Genocide
peacekeeping,https://en.wikipedia.org/wiki/Peacekeeping
separatism,https://en.wikipedia.org/wiki/Separatism
Baku,https://en.wikipedia.org/wiki/Baku
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Organization for Security and Co-operation in Europe,https://en.wikipedia.org/wiki/Organization_for_Security_and_Co-operation_in_Europe
Organization of the Black Sea Economic Cooperation,https://en.wikipedia.org/wiki/Organization_of_the_Black_Sea_Economic_Cooperation
UNESCO,https://en.wikipedia.org/wiki/UNESCO
Pavlo Klimkin,https://en.wikipedia.org/wiki/Pavlo_Klimkin
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
free-trade area,https://en.wikipedia.org/wiki/Free-trade_area
Association Trio,https://en.wikipedia.org/wiki/Association_Trio
Euler diagram,https://en.wikipedia.org/wiki/Euler_diagram
free-trade area,https://en.wikipedia.org/wiki/Free-trade_area
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Moldova,https://en.wikipedia.org/wiki/Moldova
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Association Trio,https://en.wikipedia.org/wiki/Association_Trio
Black Sea Forum,https://en.wikipedia.org/wiki/Black_Sea_Forum
Commonwealth of Independent States,https://en.wikipedia.org/wiki/Commonwealth_of_Independent_States
Community of Democratic Choice,https://en.wikipedia.org/wiki/Community_of_Democratic_Choice
Community for Democracy and Rights of Nations,https://en.wikipedia.org/wiki/Community_for_Democracy_and_Rights_of_Nations
Euronest Parliamentary Assembly,https://en.wikipedia.org/wiki/Euronest_Parliamentary_Assembly
Military of Azerbaijan,https://en.wikipedia.org/wiki/Military_of_Azerbaijan
Military of Georgia,https://en.wikipedia.org/wiki/Military_of_Georgia
Military of Moldova,https://en.wikipedia.org/wiki/Military_of_Moldova
Military of Ukraine,https://en.wikipedia.org/wiki/Military_of_Ukraine
Politics of Europe,https://en.wikipedia.org/wiki/Politics_of_Europe
Post-Soviet states,https://en.wikipedia.org/wiki/Post-Soviet_states
Shanghai Cooperation Organisation,https://en.wikipedia.org/wiki/Shanghai_Cooperation_Organisation
TRACECA,https://en.wikipedia.org/wiki/TRACECA
Roman Empire,https://en.wikipedia.org/wiki/Roman_Empire
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
Radio Free Europe/Radio Liberty,https://en.wikipedia.org/wiki/Radio_Free_Europe/Radio_Liberty
Itar-Tass,https://en.wikipedia.org/wiki/Itar-Tass
Kommersant,https://en.wikipedia.org/wiki/Kommersant
Government of Ukraine,https://en.wikipedia.org/wiki/Government_of_Ukraine
Government of Ukraine,https://en.wikipedia.org/wiki/Government_of_Ukraine
