text,url
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Convention on the Protection of the Marine Environment of the Baltic Sea Area,https://en.wikipedia.org/wiki/Convention_on_the_Protection_of_the_Marine_Environment_of_the_Baltic_Sea_Area
Baltic Sea,https://en.wikipedia.org/wiki/Baltic_Sea
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
European Union,https://en.wikipedia.org/wiki/European_Union
Finland,https://en.wikipedia.org/wiki/Finland
Germany,https://en.wikipedia.org/wiki/Germany
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
Poland,https://en.wikipedia.org/wiki/Poland
Russia,https://en.wikipedia.org/wiki/Russia
Sweden,https://en.wikipedia.org/wiki/Sweden
Marine protected area,https://en.wikipedia.org/wiki/Marine_protected_area
OSPAR,https://en.wikipedia.org/wiki/OSPAR
environmental,https://en.wikipedia.org/wiki/Natural_environment
agency,https://en.wikipedia.org/wiki/Government_agency
international organization,https://en.wikipedia.org/wiki/International_organization
