text,url
development finance institution,https://en.wikipedia.org/wiki/Development_finance_institution
"Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C."
Latin America,https://en.wikipedia.org/wiki/Latin_America
Caribbean,https://en.wikipedia.org/wiki/Caribbean
Pan-American Conference,https://en.wikipedia.org/wiki/Pan-American_Conference
Juscelino Kubitschek,https://en.wikipedia.org/wiki/Juscelino_Kubitschek
Organization of American States,https://en.wikipedia.org/wiki/Organization_of_American_States
"Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C."
Enrique V. Iglesias,https://en.wikipedia.org/wiki/Enrique_V._Iglesias
commercial rates of interest,https://en.wikipedia.org/wiki/Interest_rates
preferred creditor,https://en.wikipedia.org/wiki/Preferred_creditor
commercial banks,https://en.wikipedia.org/wiki/Commercial_bank
Spanish,https://en.wikipedia.org/wiki/Spanish_language
Portuguese,https://en.wikipedia.org/wiki/Portuguese_language
French,https://en.wikipedia.org/wiki/French_language
developing countries,https://en.wikipedia.org/wiki/Developing_countries
majority shareholders,https://en.wikipedia.org/wiki/Majority_shareholder
voting power,https://en.wikipedia.org/wiki/Voting_interest
defaulting,https://en.wikipedia.org/wiki/Default_(finance)
Felipe Herrera,https://en.wikipedia.org/wiki/Felipe_Herrera
Antonio Ortiz Mena,https://en.wikipedia.org/wiki/Antonio_Ortiz_Mena
Enrique V. Iglesias,https://en.wikipedia.org/wiki/Enrique_V._Iglesias
Luis Alberto Moreno,https://en.wikipedia.org/wiki/Luis_Alberto_Moreno
Mauricio Claver-Carone,https://en.wikipedia.org/wiki/Mauricio_Claver-Carone
Ilan Goldfajn,https://en.wikipedia.org/wiki/Ilan_Goldfajn
National Security Council,https://en.wikipedia.org/wiki/United_States_National_Security_Council
Ilan Goldfajn,https://en.wikipedia.org/wiki/Ilan_Goldfajn
callable,https://en.wikipedia.org/wiki/Callable
developed countries,https://en.wikipedia.org/wiki/Developed_countries
bonds,https://en.wikipedia.org/wiki/Finance
credit rating,https://en.wikipedia.org/wiki/Credit_rating
institutional investors,https://en.wikipedia.org/wiki/Institutional_investor
Argentina,https://en.wikipedia.org/wiki/Argentina
Austria,https://en.wikipedia.org/wiki/Austria
Bahamas,https://en.wikipedia.org/wiki/The_Bahamas
Belgium,https://en.wikipedia.org/wiki/Belgium
Barbados,https://en.wikipedia.org/wiki/Barbados
Canada,https://en.wikipedia.org/wiki/Canada
Belize,https://en.wikipedia.org/wiki/Belize
People's Republic of China,https://en.wikipedia.org/wiki/China
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Croatia,https://en.wikipedia.org/wiki/Croatia
Brazil,https://en.wikipedia.org/wiki/Brazil
Denmark,https://en.wikipedia.org/wiki/Denmark
Chile,https://en.wikipedia.org/wiki/Chile
Finland,https://en.wikipedia.org/wiki/Finland
Colombia,https://en.wikipedia.org/wiki/Colombia
France,https://en.wikipedia.org/wiki/France
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
Germany,https://en.wikipedia.org/wiki/Germany
Dominican Republic,https://en.wikipedia.org/wiki/Dominican_Republic
Israel,https://en.wikipedia.org/wiki/Israel
Ecuador,https://en.wikipedia.org/wiki/Ecuador
Italy,https://en.wikipedia.org/wiki/Italy
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Japan,https://en.wikipedia.org/wiki/Japan
Guatemala,https://en.wikipedia.org/wiki/Guatemala
South Korea,https://en.wikipedia.org/wiki/South_Korea
Guyana,https://en.wikipedia.org/wiki/Guyana
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Haiti,https://en.wikipedia.org/wiki/Haiti
Norway,https://en.wikipedia.org/wiki/Norway
Honduras,https://en.wikipedia.org/wiki/Honduras
Portugal,https://en.wikipedia.org/wiki/Portugal
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Mexico,https://en.wikipedia.org/wiki/Mexico
Spain,https://en.wikipedia.org/wiki/Spain
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Sweden,https://en.wikipedia.org/wiki/Sweden
Panama,https://en.wikipedia.org/wiki/Panama
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Paraguay,https://en.wikipedia.org/wiki/Paraguay
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Peru,https://en.wikipedia.org/wiki/Peru
United States,https://en.wikipedia.org/wiki/United_States
Suriname,https://en.wikipedia.org/wiki/Suriname
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Venezuela,https://en.wikipedia.org/wiki/Venezuela
indigenous peoples,https://en.wikipedia.org/wiki/Indigenous_peoples
economic,https://en.wikipedia.org/wiki/Economic_reform
democratic reform,https://en.wikipedia.org/wiki/Democratization
environmental,https://en.wikipedia.org/wiki/Environmental_damage
local economies,https://en.wikipedia.org/wiki/Local_economies
World Bank,https://en.wikipedia.org/wiki/World_Bank
US,https://en.wikipedia.org/wiki/USD
US,https://en.wikipedia.org/wiki/USD
World,https://en.wikipedia.org/wiki/World
World,https://en.wikipedia.org/wiki/World
World,https://en.wikipedia.org/wiki/World
United States,https://en.wikipedia.org/wiki/United_States
United States,https://en.wikipedia.org/wiki/United_States
United States,https://en.wikipedia.org/wiki/United_States
Brazil,https://en.wikipedia.org/wiki/Brazil
Brazil,https://en.wikipedia.org/wiki/Brazil
European Union,https://en.wikipedia.org/wiki/European_Union
Argentina,https://en.wikipedia.org/wiki/Argentina
Argentina,https://en.wikipedia.org/wiki/Argentina
Japan,https://en.wikipedia.org/wiki/Japan
European Union,https://en.wikipedia.org/wiki/European_Union
European Union,https://en.wikipedia.org/wiki/European_Union
Brazil,https://en.wikipedia.org/wiki/Brazil
Mexico,https://en.wikipedia.org/wiki/Mexico
Mexico,https://en.wikipedia.org/wiki/Mexico
Argentina,https://en.wikipedia.org/wiki/Argentina
Japan,https://en.wikipedia.org/wiki/Japan
Japan,https://en.wikipedia.org/wiki/Japan
Mexico,https://en.wikipedia.org/wiki/Mexico
Canada,https://en.wikipedia.org/wiki/Canada
Canada,https://en.wikipedia.org/wiki/Canada
Canada,https://en.wikipedia.org/wiki/Canada
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Chile,https://en.wikipedia.org/wiki/Chile
Chile,https://en.wikipedia.org/wiki/Chile
Germany,https://en.wikipedia.org/wiki/Germany
Colombia,https://en.wikipedia.org/wiki/Colombia
Colombia,https://en.wikipedia.org/wiki/Colombia
France,https://en.wikipedia.org/wiki/France
Italy,https://en.wikipedia.org/wiki/Italy
Italy,https://en.wikipedia.org/wiki/Italy
Italy,https://en.wikipedia.org/wiki/Italy
Spain,https://en.wikipedia.org/wiki/Spain
Spain,https://en.wikipedia.org/wiki/Spain
