text,url
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Lebanese Civil War,https://en.wikipedia.org/wiki/Lebanese_Civil_War
Hafez al-Assad,https://en.wikipedia.org/wiki/Hafez_al-Assad
Aleppo,https://en.wikipedia.org/wiki/Aleppo
water harvesting,https://en.wikipedia.org/wiki/Water_harvesting
conservation agriculture,https://en.wikipedia.org/wiki/Conservation_agriculture
integrated crop,https://en.wikipedia.org/wiki/Integrated_crop_production
Syrian civil war,https://en.wikipedia.org/wiki/Syrian_civil_war
Beirut,https://en.wikipedia.org/wiki/Beirut
ILRI,https://en.wikipedia.org/wiki/International_Livestock_Research_Institute
Ethiopian Institute of Agricultural Research,https://en.wikipedia.org/wiki/Ethiopian_Institute_of_Agricultural_Research
Indian Council of Agricultural Research,https://en.wikipedia.org/wiki/Indian_Council_of_Agricultural_Research
"Turkey's Ministry of Food, Agriculture, and Livestock",https://en.wikipedia.org/wiki/Ministry_of_Agriculture_and_Forestry_(Turkey)
Safaa Kumari,https://en.wikipedia.org/wiki/Safaa_Kumari
plant virologist,https://en.wikipedia.org/wiki/Plant_virologist
recognised in 2020 by the BBC,https://en.wikipedia.org/wiki/100_Women_(BBC)
Future Harvest Consortium to Rebuild Agriculture in Afghanistan,https://en.wikipedia.org/wiki/Future_Harvest_Consortium_to_Rebuild_Agriculture_in_Afghanistan
Foreign Policy,https://en.wikipedia.org/wiki/Foreign_Policy
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
"Harvey, Fiona",https://en.wikipedia.org/wiki/Fiona_Harvey
