text,url
specialized agency,https://en.wikipedia.org/wiki/Specialized_agency
United Nations,https://en.wikipedia.org/wiki/United_Nations
air transport,https://en.wikipedia.org/wiki/Scheduled_air_transport
Quartier international de Montréal,https://en.wikipedia.org/wiki/Quartier_international_de_Montr%C3%A9al
Montreal,https://en.wikipedia.org/wiki/Montreal
flight inspection,https://en.wikipedia.org/wiki/Flight_inspection
civil aviation,https://en.wikipedia.org/wiki/Civil_aviation
air accident,https://en.wikipedia.org/wiki/Aviation_accidents_and_incidents
Convention on International Civil Aviation,https://en.wikipedia.org/wiki/Convention_on_International_Civil_Aviation
Standards and Recommended Practices,https://en.wikipedia.org/wiki/Standards_and_Recommended_Practices
International Air Transport Association,https://en.wikipedia.org/wiki/International_Air_Transport_Association
trade association,https://en.wikipedia.org/wiki/Trade_association
airlines,https://en.wikipedia.org/wiki/Airline
Civil Air Navigation Services Organisation,https://en.wikipedia.org/wiki/Civil_Air_Navigation_Services_Organisation
air navigation service providers,https://en.wikipedia.org/wiki/Air_navigation_service_provider
Airports Council International,https://en.wikipedia.org/wiki/Airports_Council_International
airport authorities,https://en.wikipedia.org/wiki/Airport_authority
Latin America Civil Aviation Commission,https://en.wikipedia.org/wiki/Latin_American_Civil_Aviation_Commission
International Telecommunication Union,https://en.wikipedia.org/wiki/International_Telecommunication_Union
Germany,https://en.wikipedia.org/wiki/German_Empire
callsigns,https://en.wikipedia.org/wiki/Callsign
Paris Convention of 1919,https://en.wikipedia.org/wiki/Paris_Convention_of_1919
Convention on International Civil Aviation,https://en.wikipedia.org/wiki/Convention_on_International_Civil_Aviation
Chicago,https://en.wikipedia.org/wiki/Chicago
United Nations,https://en.wikipedia.org/wiki/United_Nations
Economic and Social Council,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Council
Qatar,https://en.wikipedia.org/wiki/Qatar
The Globe and Mail,https://en.wikipedia.org/wiki/The_Globe_and_Mail
Stephen Harper,https://en.wikipedia.org/wiki/Stephen_Harper
Montreal Metro,https://en.wikipedia.org/wiki/Montreal_Metro
Square-Victoria–OACI,https://en.wikipedia.org/wiki/Square-Victoria%E2%80%93OACI_station
Twitter,https://en.wikipedia.org/wiki/Twitter
think-tank,https://en.wikipedia.org/wiki/Think-tank
U.S. Congressional,https://en.wikipedia.org/wiki/United_States_Congress
Taiwan,https://en.wikipedia.org/wiki/Taiwan
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
United States House Committee on Foreign Affairs,https://en.wikipedia.org/wiki/United_States_House_Committee_on_Foreign_Affairs
Marco Rubio,https://en.wikipedia.org/wiki/Marco_Rubio
Ministry of Foreign Affairs,https://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_(Taiwan)
Jaushieh Joseph Wu,https://en.wikipedia.org/wiki/Jaushieh_Joseph_Wu
United States Department of State,https://en.wikipedia.org/wiki/United_States_Department_of_State
North Korea,https://en.wikipedia.org/wiki/North_Korea
Convention on International Civil Aviation,https://en.wikipedia.org/wiki/Convention_on_International_Civil_Aviation
Convention on International Civil Aviation,https://en.wikipedia.org/wiki/Convention_on_International_Civil_Aviation
UN members,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
Cook Islands,https://en.wikipedia.org/wiki/Cook_Islands
Liechtenstein,https://en.wikipedia.org/wiki/Liechtenstein
retreat to Taiwan,https://en.wikipedia.org/wiki/Retreat_of_the_Republic_of_China_to_Taiwan
People's Republic of China,https://en.wikipedia.org/wiki/China
Chinese Taipei,https://en.wikipedia.org/wiki/Chinese_Taipei
Brazil,https://en.wikipedia.org/wiki/Brazil
Japan,https://en.wikipedia.org/wiki/Japan
Argentina,https://en.wikipedia.org/wiki/Argentina
Austria,https://en.wikipedia.org/wiki/Austria
Egypt,https://en.wikipedia.org/wiki/Egypt
Iceland,https://en.wikipedia.org/wiki/Iceland
India,https://en.wikipedia.org/wiki/India
Mexico,https://en.wikipedia.org/wiki/Mexico
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Singapore,https://en.wikipedia.org/wiki/Singapore
South Africa,https://en.wikipedia.org/wiki/South_Africa
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Bolivia,https://en.wikipedia.org/wiki/Bolivia
Chile,https://en.wikipedia.org/wiki/Chile
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Ghana,https://en.wikipedia.org/wiki/Ghana
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Mauritania,https://en.wikipedia.org/wiki/Mauritania
Qatar,https://en.wikipedia.org/wiki/Qatar
South Korea,https://en.wikipedia.org/wiki/South_Korea
Romania,https://en.wikipedia.org/wiki/Romania
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe
ICAO minimal standards,https://en.wikipedia.org/wiki/Standards_And_Recommended_Practices
standardizes,https://en.wikipedia.org/wiki/Standardization
Aeronautical Message Handling System,https://en.wikipedia.org/wiki/Aeronautical_Message_Handling_System
standards organization,https://en.wikipedia.org/wiki/Standards_organization
Aeronautical Information Publication,https://en.wikipedia.org/wiki/Aeronautical_Information_Publication
air navigation,https://en.wikipedia.org/wiki/Air_navigation
airspace,https://en.wikipedia.org/wiki/Airspace
NOTAMs,https://en.wikipedia.org/wiki/NOTAM
International Standard Atmosphere,https://en.wikipedia.org/wiki/International_Standard_Atmosphere
transition altitude,https://en.wikipedia.org/wiki/Transition_altitude
"communication, navigation and surveillance","https://en.wikipedia.org/wiki/Communication,_navigation_and_surveillance"
air traffic management,https://en.wikipedia.org/wiki/Air_traffic_management
air traffic management,https://en.wikipedia.org/wiki/Air_traffic_management
machine-readable passports,https://en.wikipedia.org/wiki/Machine-readable_passport
passports,https://en.wikipedia.org/wiki/Passport
optical character recognition,https://en.wikipedia.org/wiki/Optical_character_recognition
biometric passports,https://en.wikipedia.org/wiki/Biometric_passport
biometrics,https://en.wikipedia.org/wiki/Biometrics
RFID,https://en.wikipedia.org/wiki/RFID
smart cards,https://en.wikipedia.org/wiki/Smart_card
digital signature,https://en.wikipedia.org/wiki/Digital_signature
BN-2,https://en.wikipedia.org/wiki/Britten-Norman_BN-2_Islander
Tecnam P2012,https://en.wikipedia.org/wiki/Tecnam_P2012
CRJ 100/200,https://en.wikipedia.org/wiki/Bombardier_CRJ100/200
700,https://en.wikipedia.org/wiki/Bombardier_CRJ700_series
Embraer ERJ,https://en.wikipedia.org/wiki/Embraer_ERJ
Saab 340,https://en.wikipedia.org/wiki/Saab_340
EMB 120,https://en.wikipedia.org/wiki/Embraer_EMB_120
A220,https://en.wikipedia.org/wiki/Airbus_A220
A320 family,https://en.wikipedia.org/wiki/Airbus_A320_family
B717,https://en.wikipedia.org/wiki/Boeing_717
B727,https://en.wikipedia.org/wiki/Boeing_727
B737,https://en.wikipedia.org/wiki/Boeing_737
ATR 42,https://en.wikipedia.org/wiki/ATR_42
72,https://en.wikipedia.org/wiki/ATR_72
CRJ900,https://en.wikipedia.org/wiki/Bombardier_CRJ700_series#CRJ900
1000,https://en.wikipedia.org/wiki/Bombardier_CRJ700_series#CRJ1000
Dash 8,https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8
Embraer E-Jet,https://en.wikipedia.org/wiki/Embraer_E-Jet
A300,https://en.wikipedia.org/wiki/Airbus_A300
A310,https://en.wikipedia.org/wiki/Airbus_A310
B707,https://en.wikipedia.org/wiki/Boeing_707
B757,https://en.wikipedia.org/wiki/Boeing_757
B767,https://en.wikipedia.org/wiki/Boeing_767
DC-10,https://en.wikipedia.org/wiki/McDonnell_Douglas_DC-10
MD-11,https://en.wikipedia.org/wiki/McDonnell_Douglas_MD-11
IL-86,https://en.wikipedia.org/wiki/Ilyushin_Il-86
L-1011,https://en.wikipedia.org/wiki/Lockheed_L-1011_TriStar
A330,https://en.wikipedia.org/wiki/Airbus_A330
A340,https://en.wikipedia.org/wiki/Airbus_A340
A350,https://en.wikipedia.org/wiki/Airbus_A350
B747,https://en.wikipedia.org/wiki/Boeing_747
B777,https://en.wikipedia.org/wiki/Boeing_777
B787,https://en.wikipedia.org/wiki/Boeing_787
IL-96,https://en.wikipedia.org/wiki/Ilyushin_IL-96
A380,https://en.wikipedia.org/wiki/Airbus_A380
B747-8,https://en.wikipedia.org/wiki/Boeing_747-8
Antonov An-124 Ruslan,https://en.wikipedia.org/wiki/Antonov_An-124_Ruslan
4-letter airport codes,https://en.wikipedia.org/wiki/ICAO_airport_code
IATA's 3-letter codes,https://en.wikipedia.org/wiki/International_Air_Transport_Association_airport_code
Charles de Gaulle Airport,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport
Orly Airport,https://en.wikipedia.org/wiki/Orly_Airport
flight information region,https://en.wikipedia.org/wiki/Flight_information_region
Charles de Gaulle Airport,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport
Los Angeles International Airport,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport
Calgary International Airport,https://en.wikipedia.org/wiki/Calgary_International_Airport
Hawaii,https://en.wikipedia.org/wiki/Hawaii
Kona International Airport,https://en.wikipedia.org/wiki/Kona_International_Airport
Alaska,https://en.wikipedia.org/wiki/Alaska
Merrill Field,https://en.wikipedia.org/wiki/Merrill_Field
airline codes,https://en.wikipedia.org/wiki/ICAO_airline_designator
United Airlines,https://en.wikipedia.org/wiki/United_Airlines
telephony,https://en.wikipedia.org/wiki/Telephony
Japan Airlines,https://en.wikipedia.org/wiki/Japan_Airlines
Aer Lingus,https://en.wikipedia.org/wiki/Aer_Lingus
aircraft registration,https://en.wikipedia.org/wiki/Aircraft_registration
alphanumeric,https://en.wikipedia.org/wiki/Alphanumeric
flight plans,https://en.wikipedia.org/wiki/Flight_plan
Boeing 747,https://en.wikipedia.org/wiki/Boeing_747
International System of Units,https://en.wikipedia.org/wiki/International_System_of_Units
kilometres per hour,https://en.wikipedia.org/wiki/Kilometres_per_hour
metres per second,https://en.wikipedia.org/wiki/Metres_per_second
wind speed,https://en.wikipedia.org/wiki/Wind_speed
kilometres,https://en.wikipedia.org/wiki/Kilometres
metres,https://en.wikipedia.org/wiki/Metre
metrication,https://en.wikipedia.org/wiki/Metrication
knots,https://en.wikipedia.org/wiki/Knot_(unit)
nautical mile,https://en.wikipedia.org/wiki/Nautical_mile
foot,https://en.wikipedia.org/wiki/Foot_(unit)
inches of mercury,https://en.wikipedia.org/wiki/Inch_of_mercury
METAR,https://en.wikipedia.org/wiki/METAR
hPa,https://en.wikipedia.org/wiki/Hectopascal
Airspeed,https://en.wikipedia.org/wiki/Airspeed
ground speed,https://en.wikipedia.org/wiki/Ground_speed
km/h,https://en.wikipedia.org/wiki/Kilometres_per_hour
kn,https://en.wikipedia.org/wiki/Knot_(unit)
Mach,https://en.wikipedia.org/wiki/Mach_number
Distance,https://en.wikipedia.org/wiki/Unit_of_length
km,https://en.wikipedia.org/wiki/Kilometres
nmi,https://en.wikipedia.org/wiki/Nautical_mile
Flight level,https://en.wikipedia.org/wiki/Flight_level
m,https://en.wikipedia.org/wiki/Metres
ft,https://en.wikipedia.org/wiki/Foot_(unit)
Mongolia,https://en.wikipedia.org/wiki/Mongolia
North Korea,https://en.wikipedia.org/wiki/North_Korea
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Tajikistan,https://en.wikipedia.org/wiki/Tajikistan
Uzbekistan,https://en.wikipedia.org/wiki/Uzbekistan
Runway length,https://en.wikipedia.org/wiki/Runway
m,https://en.wikipedia.org/wiki/Metre
m,https://en.wikipedia.org/wiki/Metre
ft,https://en.wikipedia.org/wiki/Foot_(unit)
Wind speed,https://en.wikipedia.org/wiki/Wind_speed
m/s,https://en.wikipedia.org/wiki/Metres_per_second
kn,https://en.wikipedia.org/wiki/Knot_(unit)
km/h,https://en.wikipedia.org/wiki/Kilometres_per_hour
Rate of climb,https://en.wikipedia.org/wiki/Rate_of_climb
m/s,https://en.wikipedia.org/wiki/Metres_per_second
ft/min,https://en.wikipedia.org/wiki/Foot_per_second
kn,https://en.wikipedia.org/wiki/Knot_(unit)
m/s,https://en.wikipedia.org/wiki/Metres_per_second
variometer,https://en.wikipedia.org/wiki/Variometer
Temperature,https://en.wikipedia.org/wiki/Temperature
°C,https://en.wikipedia.org/wiki/Degrees_Celsius
°C,https://en.wikipedia.org/wiki/Degrees_Celsius
Fahrenheit (°F),https://en.wikipedia.org/wiki/Fahrenheit
Liquid precipitation,https://en.wikipedia.org/wiki/Precipitation
mm,https://en.wikipedia.org/wiki/Millimetres
in,https://en.wikipedia.org/wiki/Inch
