text,url
French,https://en.wikipedia.org/wiki/French_language
regional fishery advisory body,https://en.wikipedia.org/wiki/Regional_fishery_advisory_body
Copenhagen,https://en.wikipedia.org/wiki/Copenhagen
Copenhagen,https://en.wikipedia.org/wiki/Copenhagen
marine sciences,https://en.wikipedia.org/wiki/Marine_sciences
Baltic Sea,https://en.wikipedia.org/wiki/Baltic_Sea
North Sea,https://en.wikipedia.org/wiki/North_Sea
Walter Archer,https://en.wikipedia.org/wiki/Walter_Archer
Denmark,https://en.wikipedia.org/wiki/Denmark
Finland,https://en.wikipedia.org/wiki/Grand_Duchy_of_Finland
Germany,https://en.wikipedia.org/wiki/Germany
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Norway,https://en.wikipedia.org/wiki/Norway
Sweden,https://en.wikipedia.org/wiki/Sweden
Russia,https://en.wikipedia.org/wiki/Russia
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Worldwide Fund for Nature,https://en.wikipedia.org/wiki/Worldwide_Fund_for_Nature
Birdlife International,https://en.wikipedia.org/wiki/Birdlife_International
NASCO,https://en.wikipedia.org/wiki/North_Atlantic_Salmon_Conservation_Organization
EC,https://en.wikipedia.org/wiki/European_Commission
OSPAR,https://en.wikipedia.org/wiki/Convention_for_the_Protection_of_the_Marine_Environment_of_the_North-East_Atlantic
HELCOM,https://en.wikipedia.org/wiki/Baltic_Marine_Environment_Protection_Commission
ICES Journal of Marine Science,https://en.wikipedia.org/wiki/ICES_Journal_of_Marine_Science
ICES Statistical Rectangles,https://en.wikipedia.org/wiki/ICES_Statistical_Rectangles
C-squares,https://en.wikipedia.org/wiki/C-squares
Belgium,https://en.wikipedia.org/wiki/Belgium
Canada,https://en.wikipedia.org/wiki/Canada
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Iceland,https://en.wikipedia.org/wiki/Iceland
Ireland,https://en.wikipedia.org/wiki/Ireland
Latvia,https://en.wikipedia.org/wiki/Latvia
Lithuania,https://en.wikipedia.org/wiki/Lithuania
The Netherlands,https://en.wikipedia.org/wiki/Netherlands
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Russian Federation,https://en.wikipedia.org/wiki/Russia
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States of America,https://en.wikipedia.org/wiki/United_States
Italy,https://en.wikipedia.org/wiki/Italy
Walther Herwig,https://en.wikipedia.org/wiki/Walther_Herwig
Walther Herwig,https://en.wikipedia.org/wiki/Walther_Herwig
Walter Archer,https://en.wikipedia.org/wiki/Walter_Archer
C.B.,https://en.wikipedia.org/wiki/Royal_Society_of_Biology
F.R.S.E.,https://en.wikipedia.org/wiki/Fellowship_of_the_Royal_Society_of_Edinburgh
Henry G. Maurice,https://en.wikipedia.org/wiki/Henry_G._Maurice
Johan Hjort,https://en.wikipedia.org/wiki/Johan_Hjort
A. T. A. Dobson,https://en.wikipedia.org/wiki/Alban_Dobson
H .U. Sverdrup,https://en.wikipedia.org/wiki/Harald_Sverdrup_(oceanographer)
Å. Vedel Tåning,https://en.wikipedia.org/wiki/%C3%85ge_Vedel_T%C3%A5ning
USSR,https://en.wikipedia.org/wiki/USSR
Gotthilf Hempel,https://en.wikipedia.org/wiki/Gotthilf_Hempel
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
