text,url
United Nations,https://en.wikipedia.org/wiki/United_Nations
advisory opinions,https://en.wikipedia.org/wiki/Advisory_opinion
specialized agencies,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
international court,https://en.wikipedia.org/wiki/International_court
international law,https://en.wikipedia.org/wiki/International_law
six principal organs,https://en.wikipedia.org/wiki/United_Nations_System#Six_principal_organs
Charter of the United Nations,https://en.wikipedia.org/wiki/Charter_of_the_United_Nations
Permanent Court of International Justice,https://en.wikipedia.org/wiki/Permanent_Court_of_International_Justice
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Its founding statute,https://en.wikipedia.org/wiki/Statute_of_the_International_Court_of_Justice
UN Charter,https://en.wikipedia.org/wiki/Charter_of_the_United_Nations
UN member states,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
UN General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
Peace Palace,https://en.wikipedia.org/wiki/Peace_Palace
The Hague,https://en.wikipedia.org/wiki/The_Hague
New York City,https://en.wikipedia.org/wiki/New_York_City
191 cases,https://en.wikipedia.org/wiki/List_of_International_Court_of_Justice_cases
permanent members,https://en.wikipedia.org/wiki/Permanent_members_of_the_United_Nations_Security_Council
Permanent Court of Arbitration,https://en.wikipedia.org/wiki/Permanent_Court_of_Arbitration
Hague Peace Conference,https://en.wikipedia.org/wiki/Hague_Conventions_of_1899_and_1907
Nicholas II,https://en.wikipedia.org/wiki/Nicholas_II_of_Russia
multilateral treaties,https://en.wikipedia.org/wiki/Multilateral_treaties
"The Hague, Netherlands",https://en.wikipedia.org/wiki/The_Hague
second Hague Peace Conference,https://en.wikipedia.org/wiki/Hague_Conventions_of_1899_and_1907
sovereign states,https://en.wikipedia.org/wiki/Sovereign_states
Central American Court of Justice,https://en.wikipedia.org/wiki/Central_American_Court_of_Justice
First World War,https://en.wikipedia.org/wiki/First_World_War
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Paris Peace Conference,"https://en.wikipedia.org/wiki/Paris_Peace_Conference,_1919"
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Covenant,https://en.wikipedia.org/wiki/Covenant_of_the_League_of_Nations
Peace Palace,https://en.wikipedia.org/wiki/Peace_Palace
Second World War,https://en.wikipedia.org/wiki/Second_World_War
Moscow conference in 1943,https://en.wikipedia.org/wiki/Moscow_Conference_(1943)
China,https://en.wikipedia.org/wiki/China
USSR,https://en.wikipedia.org/wiki/Soviet_Union
U.K.,https://en.wikipedia.org/wiki/United_Kingdom
U.S.,https://en.wikipedia.org/wiki/United_States
Dumbarton Oaks,https://en.wikipedia.org/wiki/Dumbarton_Oaks_Conference
San Francisco Conference,https://en.wikipedia.org/wiki/San_Francisco_Conference
United Nations Charter,https://en.wikipedia.org/wiki/United_Nations_Charter
First Session of the United Nations General Assembly and Security Council,https://en.wikipedia.org/wiki/First_session_of_the_United_Nations_General_Assembly
PCIJ,https://en.wikipedia.org/wiki/Permanent_Court_of_International_Justice
José Gustavo Guerrero,https://en.wikipedia.org/wiki/Jos%C3%A9_Gustavo_Guerrero
incidents in the Corfu Channel,https://en.wikipedia.org/wiki/Corfu_Channel_case
Peace Palace,https://en.wikipedia.org/wiki/Peace_Palace
UN Charter,https://en.wikipedia.org/wiki/Charter_of_the_United_Nations
Permanent Court of International Justice,https://en.wikipedia.org/wiki/Permanent_Court_of_International_Justice
Statute of the International Court of Justice,https://en.wikipedia.org/wiki/Statute_of_the_International_Court_of_Justice
United States,https://en.wikipedia.org/wiki/United_States
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Nicaragua v. United States,https://en.wikipedia.org/wiki/Nicaragua_v._United_States
Chapter XIV of the United Nations Charter,https://en.wikipedia.org/wiki/Chapter_XIV_of_the_United_Nations_Charter
UN Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
UN General Assembly,https://en.wikipedia.org/wiki/United_Nations_General_Assembly
