text,url
UK,https://en.wikipedia.org/wiki/British_English
US,https://en.wikipedia.org/wiki/American_English
international organization,https://en.wikipedia.org/wiki/International_organization
Lyon,https://en.wikipedia.org/wiki/Lyon
Vienna,https://en.wikipedia.org/wiki/Vienna
Nazi,https://en.wikipedia.org/wiki/Nazism
Gestapo,https://en.wikipedia.org/wiki/Gestapo
World War II,https://en.wikipedia.org/wiki/World_War_II
telegraphic address,https://en.wikipedia.org/wiki/Telegraphic_address
transnational crime,https://en.wikipedia.org/wiki/Transnational_crime
terrorism,https://en.wikipedia.org/wiki/Terrorism
cybercrime,https://en.wikipedia.org/wiki/Cybercrime
organized crime,https://en.wikipedia.org/wiki/Organized_crime
crimes against humanity,https://en.wikipedia.org/wiki/Crimes_against_humanity
child pornography,https://en.wikipedia.org/wiki/Child_pornography
drug trafficking,https://en.wikipedia.org/wiki/Illegal_drug_trade
political corruption,https://en.wikipedia.org/wiki/Political_corruption
intellectual property infringement,https://en.wikipedia.org/wiki/Intellectual_property_infringement
white-collar crime,https://en.wikipedia.org/wiki/White-collar_crime
law enforcement agency,https://en.wikipedia.org/wiki/Law_enforcement_agency
Ahmed Naser Al-Raisi,https://en.wikipedia.org/wiki/Ahmed_Naser_Al-Raisi
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
General Secretariat,https://en.wikipedia.org/wiki/General_Secretariat
Valdecy Urquiza,https://en.wikipedia.org/wiki/Valdecy_Urquiza
charter,https://en.wikipedia.org/wiki/Constitution
politically neutral,https://en.wikipedia.org/wiki/Politically_Neutral
Arabic,https://en.wikipedia.org/wiki/Arabic
English,https://en.wikipedia.org/wiki/English_language
French,https://en.wikipedia.org/wiki/French_language
Spanish,https://en.wikipedia.org/wiki/Spanish_language
Police Union of German States,https://en.wikipedia.org/wiki/Police_Union_of_German_States
1898 Anti-Anarchist Conference of Rome,https://en.wikipedia.org/wiki/International_Conference_of_Rome_for_the_Social_Defense_Against_Anarchists
6th arrondissement of Lyon,https://en.wikipedia.org/wiki/6th_arrondissement_of_Lyon
Monaco,https://en.wikipedia.org/wiki/Monaco
Vienna,https://en.wikipedia.org/wiki/Vienna
Johannes Schober,https://en.wikipedia.org/wiki/Johannes_Schober
Yugoslavia,https://en.wikipedia.org/wiki/Yugoslavia
Anschluss,https://en.wikipedia.org/wiki/Anschluss
Nazi Germany,https://en.wikipedia.org/wiki/Nazi_Germany
Berlin,https://en.wikipedia.org/wiki/Berlin
Otto Steinhäusl,https://en.wikipedia.org/wiki/Otto_Steinh%C3%A4usl
Reinhard Heydrich,https://en.wikipedia.org/wiki/Reinhard_Heydrich
Arthur Nebe,https://en.wikipedia.org/wiki/Arthur_Nebe
Ernst Kaltenbrunner,https://en.wikipedia.org/wiki/Ernst_Kaltenbrunner
Schutzstaffel,https://en.wikipedia.org/wiki/Schutzstaffel
Nuremberg trials,https://en.wikipedia.org/wiki/Nuremberg_trials
World War II,https://en.wikipedia.org/wiki/World_War_II
Scandinavia,https://en.wikipedia.org/wiki/Scandinavia
Saint-Cloud,https://en.wikipedia.org/wiki/Saint-Cloud
Lyon,https://en.wikipedia.org/wiki/Lyon
Nazi war criminals,https://en.wikipedia.org/wiki/Nazi_war_criminals
Charter,https://en.wikipedia.org/wiki/Constitution
Operation Identify Me,https://en.wikipedia.org/wiki/Operation_Identify_Me
Universal Declaration of Human Rights,https://en.wikipedia.org/wiki/Universal_Declaration_of_Human_Rights
supranational law,https://en.wikipedia.org/wiki/Supranational_law
Interpol notices,https://en.wikipedia.org/wiki/Interpol_notice
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
its own travel documents,https://en.wikipedia.org/wiki/Interpol_Travel_Document
Palestine,https://en.wikipedia.org/wiki/Palestine
Solomon Islands,https://en.wikipedia.org/wiki/Solomon_Islands
HSBC,https://en.wikipedia.org/wiki/HSBC
Swiss Leaks,https://en.wikipedia.org/wiki/Swiss_Leaks
external auditors,https://en.wikipedia.org/wiki/External_auditors
Court of Audit,https://en.wikipedia.org/wiki/Court_of_Audit_(France)
Office of the Auditor General of Norway,https://en.wikipedia.org/wiki/Office_of_the_Auditor_General_of_Norway
Buenos Aires,https://en.wikipedia.org/wiki/Buenos_Aires
Brussels,https://en.wikipedia.org/wiki/Brussels
European Union,https://en.wikipedia.org/wiki/European_Union
Yaoundé,https://en.wikipedia.org/wiki/Yaound%C3%A9
Abidjan,https://en.wikipedia.org/wiki/Abidjan
San Salvador,https://en.wikipedia.org/wiki/San_Salvador
Addis Ababa,https://en.wikipedia.org/wiki/Addis_Ababa
African Union,https://en.wikipedia.org/wiki/African_Union
Nairobi,https://en.wikipedia.org/wiki/Nairobi
New York City,https://en.wikipedia.org/wiki/New_York_City
United Nations,https://en.wikipedia.org/wiki/United_Nations
Harare,https://en.wikipedia.org/wiki/Harare
research and development,https://en.wikipedia.org/wiki/Research_and_development
Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler
Paul Dickopf,https://en.wikipedia.org/wiki/Paul_Dickopf
National Socialist German Students' League,https://en.wikipedia.org/wiki/National_Socialist_German_Students%27_League
Sturmabteilung,https://en.wikipedia.org/wiki/Sturmabteilung
Schutzstaffel,https://en.wikipedia.org/wiki/Schutzstaffel
World War II,https://en.wikipedia.org/wiki/World_War_II
François Genoud,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Genoud
Jackie Selebi,https://en.wikipedia.org/wiki/Jackie_Selebi
South African High Court,https://en.wikipedia.org/wiki/High_Court_of_South_Africa
Investigations Police of Chile,https://en.wikipedia.org/wiki/Investigations_Police_of_Chile
Khoo Boon Hui,https://en.wikipedia.org/wiki/Khoo_Boon_Hui
French Judicial Police,https://en.wikipedia.org/wiki/French_Judicial_Police
Mireille Ballestrazzi,https://en.wikipedia.org/wiki/Mireille_Ballestrazzi
Meng Hongwei,https://en.wikipedia.org/wiki/Meng_Hongwei
People’s Republic of China,https://en.wikipedia.org/wiki/People%E2%80%99s_Republic_of_China
Kim Jong Yang,https://en.wikipedia.org/wiki/Kim_Jong_Yang
Kim Jong Yang,https://en.wikipedia.org/wiki/Kim_Jong_Yang
Alexander Prokopchuk,https://en.wikipedia.org/wiki/Alexander_Prokopchuk
Alexander Prokopchuk,https://en.wikipedia.org/wiki/Alexander_Prokopchuk
Red Notices,https://en.wikipedia.org/wiki/Interpol_notice
Ukrainian Helsinki Human Rights Union,https://en.wikipedia.org/wiki/Ukrainian_Helsinki_Human_Rights_Union
Ahmed Naser Al-Raisi,https://en.wikipedia.org/wiki/Ahmed_Naser_Al-Raisi
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Human Rights Watch,https://en.wikipedia.org/wiki/Human_Rights_Watch
Emmanuel Macron,https://en.wikipedia.org/wiki/Emmanuel_Macron
Ahmed Nasser Al-Raisi,https://en.wikipedia.org/wiki/Ahmed_Nasser_Al-Raisi
Hubert Julien-Laferrière,https://en.wikipedia.org/wiki/Hubert_Julien-Laferri%C3%A8re
Ahmed Mansoor,https://en.wikipedia.org/wiki/Ahmed_Mansoor
Matthew Hedges,https://en.wikipedia.org/wiki/Matthew_Hedges
German,https://en.wikipedia.org/wiki/Germany
Sweden,https://en.wikipedia.org/wiki/Sweden
Norway,https://en.wikipedia.org/wiki/Norway
Meng Hongwei,https://en.wikipedia.org/wiki/Meng_Hongwei
OSCE Parliamentary Assembly,https://en.wikipedia.org/wiki/OSCE_Parliamentary_Assembly
prosecution,https://en.wikipedia.org/wiki/Prosecutor
Yerevan,https://en.wikipedia.org/wiki/Yerevan
Freedom House,https://en.wikipedia.org/wiki/Freedom_House
United Nations High Commissioner for Refugees,https://en.wikipedia.org/wiki/UN_High_Commissioner_for_Refugees
Uyghurs,https://en.wikipedia.org/wiki/Uyghurs
NBA,https://en.wikipedia.org/wiki/National_Basketball_Association
Enes Kanter Freedom,https://en.wikipedia.org/wiki/Enes_Kanter_Freedom
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
Detained in Dubai,https://en.wikipedia.org/wiki/Detained_in_Dubai
Open Dialog Foundation,https://en.wikipedia.org/wiki/Open_Dialog_Foundation
Fair Trials International,https://en.wikipedia.org/wiki/Fair_Trials_International
Centre for Peace Studies,https://en.wikipedia.org/wiki/Centre_for_Peace_Studies
International Consortium of Investigative Journalists,https://en.wikipedia.org/wiki/International_Consortium_of_Investigative_Journalists
Open Dialog Foundation,https://en.wikipedia.org/wiki/Open_Dialogue_Foundation
European Union,https://en.wikipedia.org/wiki/European_Union
Andrey Borodin,https://en.wikipedia.org/wiki/Andrey_Borodin
Mukhtar Ablyazov,https://en.wikipedia.org/wiki/Mukhtar_Ablyazov
Mikhail Khodorkovsky,https://en.wikipedia.org/wiki/Mikhail_Khodorkovsky
Ablyazov,https://en.wikipedia.org/wiki/Mukhtar_Ablyazov
Manuel Rosales,https://en.wikipedia.org/wiki/Manuel_Rosales
Hugo Chavez,https://en.wikipedia.org/wiki/Hugo_Chavez
Peru,https://en.wikipedia.org/wiki/Peru
Guanajuato City,https://en.wikipedia.org/wiki/Guanajuato_City
Policia Federal Ministerial,https://en.wikipedia.org/wiki/Policia_Federal_Ministerial
Mexican Federal Police,https://en.wikipedia.org/wiki/Mexican_Federal_Police
kidnapping,https://en.wikipedia.org/wiki/Kidnapping
William Browder,https://en.wikipedia.org/wiki/Bill_Browder
Ales Michalevic,https://en.wikipedia.org/wiki/Ales_Michalevic
Dmytro Yarosh,https://en.wikipedia.org/wiki/Dmytro_Yarosh
2014 Russian military intervention in Ukraine,https://en.wikipedia.org/wiki/2014_Russian_military_intervention_in_Ukraine
President of Ukraine,https://en.wikipedia.org/wiki/President_of_Ukraine
Viktor Yanukovych,https://en.wikipedia.org/wiki/Viktor_Yanukovych
Ukrainian government,https://en.wikipedia.org/wiki/Government_of_Ukraine
Euromaidan,https://en.wikipedia.org/wiki/Euromaidan
Security Service of Ukraine,https://en.wikipedia.org/wiki/Security_Service_of_Ukraine
Ihor Kolomoyskyi,https://en.wikipedia.org/wiki/Ihor_Kolomoyskyi
Belgrade,https://en.wikipedia.org/wiki/Belgrade
2020–2021 Belarusian protests,https://en.wikipedia.org/wiki/2020%E2%80%932021_Belarusian_protests
Amnesty International,https://en.wikipedia.org/wiki/Amnesty_International
Stockholm Center for Freedom,https://en.wikipedia.org/wiki/Stockholm_Center_for_Freedom
persecution tools against critics and opponents,https://en.wikipedia.org/wiki/2016%E2%80%93present_purges_in_Turkey
Salih Muslim,https://en.wikipedia.org/wiki/Salih_Muslim
Prague,https://en.wikipedia.org/wiki/Prague
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Ahmed Naser Al-Raisi,https://en.wikipedia.org/wiki/Ahmed_Naser_Al-Raisi
European Court of Human Rights,https://en.wikipedia.org/wiki/European_Court_of_Human_Rights
Royal Jet,https://en.wikipedia.org/wiki/Royal_Jet
Patricia Poleo,https://en.wikipedia.org/wiki/Patricia_Poleo
Benny Wenda,https://en.wikipedia.org/wiki/Benny_Wenda
Givi Targamadze,https://en.wikipedia.org/wiki/Givi_Targamadze
Mikheil Saakashvili,https://en.wikipedia.org/wiki/Mikheil_Saakashvili
