text,url
Nyamata Genocide Memorial Centre,https://en.wikipedia.org/wiki/Nyamata_Genocide_Memorial_Centre
Rwandan genocide,https://en.wikipedia.org/wiki/Rwandan_genocide
History of Rwanda,https://en.wikipedia.org/wiki/History_of_Rwanda
"Origins of Hutu, Tutsi and Twa","https://en.wikipedia.org/wiki/Origins_of_Hutu,_Tutsi_and_Twa"
Kingdom of Rwanda,https://en.wikipedia.org/wiki/Kingdom_of_Rwanda
Rwandan Revolution,https://en.wikipedia.org/wiki/Rwandan_Revolution
Rwandan Civil War,https://en.wikipedia.org/wiki/Rwandan_Civil_War
Hutu Power,https://en.wikipedia.org/wiki/Hutu_Power
Assassination ofHabyarimana and Ntaryamira,https://en.wikipedia.org/wiki/Assassination_of_Juv%C3%A9nal_Habyarimana_and_Cyprien_Ntaryamira
Initial events,https://en.wikipedia.org/wiki/Initial_events_of_the_Rwandan_genocide
Chronology,https://en.wikipedia.org/wiki/Timeline_of_the_Rwandan_genocide
Gikondo massacre,https://en.wikipedia.org/wiki/Gikondo_massacre
Musha Church massacre,https://en.wikipedia.org/wiki/Musha_Church_massacre
Nyarubuye massacre,https://en.wikipedia.org/wiki/Nyarubuye_massacre
People indicted,https://en.wikipedia.org/wiki/List_of_people_indicted_in_the_International_Criminal_Tribunal_for_Rwanda
Genocidaires,https://en.wikipedia.org/wiki/Genocidaires
Akazu,https://en.wikipedia.org/wiki/Akazu
Impuzamugambi militia,https://en.wikipedia.org/wiki/Impuzamugambi
Interahamwe militia,https://en.wikipedia.org/wiki/Interahamwe
Kangura,https://en.wikipedia.org/wiki/Kangura
RTLM radio,https://en.wikipedia.org/wiki/Radio_T%C3%A9l%C3%A9vision_Libre_des_Mille_Collines
Rwandan Patriotic Front,https://en.wikipedia.org/wiki/Rwandan_Patriotic_Front
International community,https://en.wikipedia.org/wiki/Role_of_the_international_community_in_the_Rwandan_genocide
United Nations Mission,https://en.wikipedia.org/wiki/United_Nations_Assistance_Mission_for_Rwanda
UN Security CouncilResolution 935,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_935
"Opération ""Turquoise""",https://en.wikipedia.org/wiki/Op%C3%A9ration_Turquoise
Great Lakes refugee crisis,https://en.wikipedia.org/wiki/Great_Lakes_refugee_crisis
Gacaca court,https://en.wikipedia.org/wiki/Gacaca_court
First Congo War,https://en.wikipedia.org/wiki/First_Congo_War
Massacres of Hutus,https://en.wikipedia.org/wiki/Massacres_of_Hutus_during_the_First_Congo_War
Second Congo War,https://en.wikipedia.org/wiki/Second_Congo_War
Bibliography,https://en.wikipedia.org/wiki/Bibliography_of_the_Rwandan_genocide
Filmography,https://en.wikipedia.org/wiki/List_of_films_about_the_Rwandan_Genocide
French,https://en.wikipedia.org/wiki/French_language
Kinyarwanda,https://en.wikipedia.org/wiki/Kinyarwanda_language
internationalad-hoccourt,https://en.wikipedia.org/wiki/International_court
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
Resolution 955,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_955
Rwandan genocide,https://en.wikipedia.org/wiki/Rwandan_genocide
international law,https://en.wikipedia.org/wiki/International_law
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Arusha,https://en.wikipedia.org/wiki/Arusha
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Resolution 977,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_977
African Court on Human and Peoples' Rights,https://en.wikipedia.org/wiki/African_Court_on_Human_and_Peoples%27_Rights
Resolution 1165,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1165
genocide,https://en.wikipedia.org/wiki/Genocide
crimes against humanity,https://en.wikipedia.org/wiki/Crimes_against_humanity
Common Article Three,https://en.wikipedia.org/wiki/Geneva_Conventions#Common_Article_3_relating_to_non-international_armed_conflict
Additional Protocol II,https://en.wikipedia.org/wiki/Protocol_II
Geneva Conventions,https://en.wikipedia.org/wiki/Geneva_Conventions
internal conflicts,https://en.wikipedia.org/wiki/Civil_war
Jean-Paul Akayesu,https://en.wikipedia.org/wiki/Jean_Akayesu
Jean Kambanda,https://en.wikipedia.org/wiki/Jean_Kambanda
Security Council Resolution 1503,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1503
International Residual Mechanism for Criminal Tribunals,https://en.wikipedia.org/wiki/International_Residual_Mechanism_for_Criminal_Tribunals
Rwandan Patriotic Front,https://en.wikipedia.org/wiki/Rwandan_Patriotic_Front
Paul Kagame,https://en.wikipedia.org/wiki/Paul_Kagame
victor's justice,https://en.wikipedia.org/wiki/Victor%27s_justice
Rwandan genocide,https://en.wikipedia.org/wiki/Rwandan_genocide
Genocide Memorial Center,https://en.wikipedia.org/wiki/Kigali_Genocide_Memorial
Rwandan Patriotic Front,https://en.wikipedia.org/wiki/Rwandan_Patriotic_Front
United Nations Assistance Mission for Rwanda,https://en.wikipedia.org/wiki/United_Nations_Assistance_Mission_for_Rwanda
UN Security Council,https://en.wikipedia.org/wiki/UN_Security_Council
"Kigali, Rwanda",https://en.wikipedia.org/wiki/Kigali
ad litem,https://en.wikipedia.org/wiki/Ad_litem
order of precedence,https://en.wikipedia.org/wiki/Order_of_precedence
William Sekule,https://en.wikipedia.org/wiki/William_Sekule
Solomy Balungi Bossa,https://en.wikipedia.org/wiki/Solomy_Balungi_Bossa
Vagn Joensen,https://en.wikipedia.org/wiki/Vagn_Joensen
Florence Rita Arrey,https://en.wikipedia.org/wiki/Florence_Rita_Arrey
Bakhtiyar R.Tuzmukhamedov,https://en.wikipedia.org/wiki/Bakhtiyar_R.Tuzmukhamedov
Robert Fremr,https://en.wikipedia.org/wiki/Robert_Fremr
Theodor Meron,https://en.wikipedia.org/wiki/Theodor_Meron
Patrick Robinson,https://en.wikipedia.org/wiki/Patrick_Lipton_Robinson
Fausto Pocar,https://en.wikipedia.org/wiki/Fausto_Pocar
Mehmet Güney,https://en.wikipedia.org/wiki/Mehmet_G%C3%BCney
Khalida Rashid Khan,https://en.wikipedia.org/wiki/Khalida_Rashid_Khan
Arusha,https://en.wikipedia.org/wiki/Arusha
Richard Goldstone,https://en.wikipedia.org/wiki/Richard_Goldstone
Resolution 936,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_936
Louise Arbour,https://en.wikipedia.org/wiki/Louise_Arbour
Resolution 1047,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1047
Carla Del Ponte,https://en.wikipedia.org/wiki/Carla_Del_Ponte
Resolution 1259,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1259
Hassan Bubacar Jallow,https://en.wikipedia.org/wiki/Hassan_Bubacar_Jallow
Resolution 1505,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1505
UN Secretary-General,https://en.wikipedia.org/wiki/United_Nations_Secretary-General
Bongani Christopher Majola,https://en.wikipedia.org/wiki/Bongani_Christopher_Majola
South Africa,https://en.wikipedia.org/wiki/South_Africa
Jean-Paul Akayesu,https://en.wikipedia.org/wiki/Jean-Paul_Akayesu
precedent,https://en.wikipedia.org/wiki/Precedent
genocidal rape,https://en.wikipedia.org/wiki/Genocidal_rape
Navanethem Pillay,https://en.wikipedia.org/wiki/Navanethem_Pillay
hate media,https://en.wikipedia.org/wiki/Hate_Media
Ferdinand Nahimana,https://en.wikipedia.org/wiki/Ferdinand_Nahimana
Jean-Bosco Barayagwiza,https://en.wikipedia.org/wiki/Jean-Bosco_Barayagwiza
Radio Télévision Libre des Mille Collines,https://en.wikipedia.org/wiki/Radio_T%C3%A9l%C3%A9vision_Libre_des_Mille_Collines
Hassan Ngeze,https://en.wikipedia.org/wiki/Hassan_Ngeze
incitement to genocide,https://en.wikipedia.org/wiki/Incitement_to_genocide
Jean-Louis Bruguière,https://en.wikipedia.org/wiki/Jean-Louis_Brugui%C3%A8re
Paul Kagame,https://en.wikipedia.org/wiki/Paul_Kagame
gacaca courts,https://en.wikipedia.org/wiki/Gacaca_court
Kabgayi,https://en.wikipedia.org/wiki/Kabgayi
RPF,https://en.wikipedia.org/wiki/Assassination_of_Juv%C3%A9nal_Habyarimana_and_Cyprien_Ntaryamira
Interahamwe,https://en.wikipedia.org/wiki/Interahamwe
Félicien Kabuga,https://en.wikipedia.org/wiki/F%C3%A9licien_Kabuga
trial,https://en.wikipedia.org/wiki/Interahamwe
André Rwamakuba,https://en.wikipedia.org/wiki/Andr%C3%A9_Rwamakuba
Augustin Ndindiliyimana,https://en.wikipedia.org/wiki/Augustin_Ndindiliyimana
Anees Ahmed,https://en.wikipedia.org/wiki/Anees_Ahmed
Command responsibility,https://en.wikipedia.org/wiki/Command_responsibility
Genocide Convention,https://en.wikipedia.org/wiki/Genocide_Convention
Rwandan genocide,https://en.wikipedia.org/wiki/Rwandan_genocide
International Criminal Court,https://en.wikipedia.org/wiki/International_Criminal_Court
International Criminal Tribunal for Yugoslavia,https://en.wikipedia.org/wiki/International_Criminal_Tribunal_for_Yugoslavia
Joint criminal enterprise,https://en.wikipedia.org/wiki/Joint_criminal_enterprise
Rule of Law in Armed Conflicts Project,https://en.wikipedia.org/wiki/Rule_of_Law_in_Armed_Conflicts_Project
The Church and the Rwandan genocide,https://en.wikipedia.org/wiki/The_Church_and_the_Rwandan_genocide
Global Justice or Global Revenge?,https://en.wikipedia.org/wiki/Global_Justice_or_Global_Revenge%3F
Hans Köchler,https://en.wikipedia.org/wiki/Hans_K%C3%B6chler
Yvonne Ntacyobatabara Basebya,https://en.wikipedia.org/wiki/Yvonne_Ntacyobatabara_Basebya
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
SSRN,https://en.wikipedia.org/wiki/SSRN_(identifier)
PBS,https://en.wikipedia.org/wiki/Public_Broadcasting_Service
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
Michael P. Scharf,https://en.wikipedia.org/wiki/Michael_Scharf
