text,url
International humanitarian law,https://en.wikipedia.org/wiki/International_humanitarian_law
Nuremberg trials,https://en.wikipedia.org/wiki/Nuremberg_trials
International Military Tribunal for the Far East,https://en.wikipedia.org/wiki/International_Military_Tribunal_for_the_Far_East
International Criminal Tribunal for Rwanda,https://en.wikipedia.org/wiki/International_Criminal_Tribunal_for_Rwanda
International Court of Justice,https://en.wikipedia.org/wiki/International_Court_of_Justice
International Criminal Court,https://en.wikipedia.org/wiki/International_Criminal_Court
War crimes,https://en.wikipedia.org/wiki/War_crime
Hague Conventions,https://en.wikipedia.org/wiki/Hague_Conventions_of_1899_and_1907
Geneva Conventions,https://en.wikipedia.org/wiki/Geneva_Conventions
Third Geneva Convention,https://en.wikipedia.org/wiki/Third_Geneva_Convention
Fourth Geneva Convention,https://en.wikipedia.org/wiki/Fourth_Geneva_Convention
Protocol I,https://en.wikipedia.org/wiki/Protocol_I
Protocol II,https://en.wikipedia.org/wiki/Protocol_II
Protocol III,https://en.wikipedia.org/wiki/Protocol_III
Rome Statute,https://en.wikipedia.org/wiki/Rome_Statute
Law of war,https://en.wikipedia.org/wiki/Law_of_war
jus ad bellum,https://en.wikipedia.org/wiki/Jus_ad_bellum
International human rights law,https://en.wikipedia.org/wiki/International_human_rights_law
International criminal law,https://en.wikipedia.org/wiki/International_criminal_law
United Nations,https://en.wikipedia.org/wiki/United_Nations
war crimes that had been committed,https://en.wikipedia.org/wiki/War_crimes_in_the_Yugoslav_Wars
Yugoslav Wars,https://en.wikipedia.org/wiki/Yugoslav_Wars
ad hoc,https://en.wikipedia.org/wiki/Ad_hoc
The Hague,https://en.wikipedia.org/wiki/The_Hague
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Resolution 827,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_827
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
jurisdiction,https://en.wikipedia.org/wiki/Jurisdiction
Geneva Conventions,https://en.wikipedia.org/wiki/Geneva_Conventions
laws or customs of war,https://en.wikipedia.org/wiki/Laws_or_customs_of_war
genocide,https://en.wikipedia.org/wiki/Genocide
crimes against humanity,https://en.wikipedia.org/wiki/Crimes_against_humanity
