text,url
international financial institution,https://en.wikipedia.org/wiki/International_financial_institutions
specialised agency,https://en.wikipedia.org/wiki/Specialised_agency
United Nations,https://en.wikipedia.org/wiki/United_Nations
poverty,https://en.wikipedia.org/wiki/Poverty
hunger,https://en.wikipedia.org/wiki/Hunger
developing countries,https://en.wikipedia.org/wiki/Developing_countries
rural economies,https://en.wikipedia.org/wiki/Rural_economics
food security,https://en.wikipedia.org/wiki/Food_security
land,https://en.wikipedia.org/wiki/Land_management
water management,https://en.wikipedia.org/wiki/Water_management
technologies,https://en.wikipedia.org/wiki/Technology
climate change,https://en.wikipedia.org/wiki/Climate_change
market accessibility,https://en.wikipedia.org/wiki/Market_access
Organization of the Petroleum Exporting Countries,https://en.wikipedia.org/wiki/OPEC
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/OECD
co-financing,https://en.wikipedia.org/wiki/Financing
famine,https://en.wikipedia.org/wiki/Famine
malnutrition,https://en.wikipedia.org/wiki/Malnutrition
Sahel region,https://en.wikipedia.org/wiki/Sahel
Africa,https://en.wikipedia.org/wiki/Africa
international financial institution,https://en.wikipedia.org/wiki/International_financial_institutions
World Food Conference,https://en.wikipedia.org/wiki/World_Food_Conference
poverty,https://en.wikipedia.org/wiki/Poverty
Rome,https://en.wikipedia.org/wiki/Rome
United Nations Development Group,https://en.wikipedia.org/wiki/United_Nations_Development_Group
poverty,https://en.wikipedia.org/wiki/Poverty
hunger,https://en.wikipedia.org/wiki/Hunger
climate adaptation,https://en.wikipedia.org/wiki/Climate_change_adaptation
food insecurity,https://en.wikipedia.org/wiki/Food_security
United Nations Specialized Agencies,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
international aid agencies,https://en.wikipedia.org/wiki/Aid_agency
Washington Consensus,https://en.wikipedia.org/wiki/Washington_Consensus
financialization,https://en.wikipedia.org/wiki/Financialization
Technocratic,https://en.wikipedia.org/wiki/Technocracy
Rutsel Martha,https://en.wikipedia.org/wiki/Rutsel_Martha
Palestinian authority,https://en.wikipedia.org/wiki/Palestinian_Authority
Holy See,https://en.wikipedia.org/wiki/Holy_See
Sovereign Order of Malta,https://en.wikipedia.org/wiki/Sovereign_Military_Order_of_Malta
UN agencies,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
intergovernmental,https://en.wikipedia.org/wiki/International_organization
non-governmental organizations,https://en.wikipedia.org/wiki/Non-governmental_organization
Italy,https://en.wikipedia.org/wiki/Italy
Austria,https://en.wikipedia.org/wiki/Austria
France,https://en.wikipedia.org/wiki/France
Belgium,https://en.wikipedia.org/wiki/Belgium
Japan,https://en.wikipedia.org/wiki/Japan
Denmark,https://en.wikipedia.org/wiki/Denmark
Canada,https://en.wikipedia.org/wiki/Canada
Finland,https://en.wikipedia.org/wiki/Finland
United States,https://en.wikipedia.org/wiki/United_States
Spain,https://en.wikipedia.org/wiki/Spain
Norway,https://en.wikipedia.org/wiki/Norway
Sweden,https://en.wikipedia.org/wiki/Sweden
Germany,https://en.wikipedia.org/wiki/Germany
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Netherlands,https://en.wikipedia.org/wiki/Netherlands
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Algeria,https://en.wikipedia.org/wiki/Algeria
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Qatar,https://en.wikipedia.org/wiki/Qatar
Kuwait,https://en.wikipedia.org/wiki/Kuwait
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Egypt,https://en.wikipedia.org/wiki/Egypt
Angola,https://en.wikipedia.org/wiki/Angola
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Tanzania,https://en.wikipedia.org/wiki/Tanzania
China,https://en.wikipedia.org/wiki/China
Pakistan,https://en.wikipedia.org/wiki/Pakistan
India,https://en.wikipedia.org/wiki/India
South Korea,https://en.wikipedia.org/wiki/South_Korea
Brazil,https://en.wikipedia.org/wiki/Brazil
Argentina,https://en.wikipedia.org/wiki/Argentina
Mexico,https://en.wikipedia.org/wiki/Mexico
Peru,https://en.wikipedia.org/wiki/Peru
Alvaro Lario,https://en.wikipedia.org/wiki/Alvaro_Lario
Spain,https://en.wikipedia.org/wiki/Spain
Gilbert Houngbo,https://en.wikipedia.org/wiki/Gilbert_Houngbo
UN-Water,https://en.wikipedia.org/wiki/UN-Water
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Algeria,https://en.wikipedia.org/wiki/Algeria
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Sweden,https://en.wikipedia.org/wiki/Sweden
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Gilbert Houngbo,https://en.wikipedia.org/wiki/Gilbert_Houngbo
Togo,https://en.wikipedia.org/wiki/Togo
Alvaro Lario,https://en.wikipedia.org/wiki/Alvaro_Lario
Spain,https://en.wikipedia.org/wiki/Spain
State member of the United Nations,https://en.wikipedia.org/wiki/Member_states_of_the_United_Nations
specialized agencies,https://en.wikipedia.org/wiki/List_of_specialized_agencies_of_the_United_Nations
International Atomic Energy Agency,https://en.wikipedia.org/wiki/International_Atomic_Energy_Agency
economic diversity,https://en.wikipedia.org/wiki/Economic_diversity
high-income countries,https://en.wikipedia.org/wiki/High-income_countries
Official Development Assistance (ODA),https://en.wikipedia.org/wiki/Official_development_assistance_(ODA)
Organisation for Economic Co-operation and Development (OECD),https://en.wikipedia.org/wiki/OECD
Organization of the Petroleum Exporting Countries (OPEC),https://en.wikipedia.org/wiki/OPEC
oil-rich countries,https://en.wikipedia.org/wiki/Oil-rich_country
development aid,https://en.wikipedia.org/wiki/Development_aid
developing nations,https://en.wikipedia.org/wiki/Developing_nations
regional,https://en.wikipedia.org/wiki/Region
Africa,https://en.wikipedia.org/wiki/Africa
Europe,https://en.wikipedia.org/wiki/Europe
Asia,https://en.wikipedia.org/wiki/Asia
Pacific,https://en.wikipedia.org/wiki/List_of_islands_in_the_Pacific_Ocean
Latin America,https://en.wikipedia.org/wiki/Latin_America
Caribbean,https://en.wikipedia.org/wiki/Caribbean
Austria,https://en.wikipedia.org/wiki/Austria
Belgium,https://en.wikipedia.org/wiki/Belgium
Canada,https://en.wikipedia.org/wiki/Canada
Cyprus,https://en.wikipedia.org/wiki/Cyprus
Denmark,https://en.wikipedia.org/wiki/Denmark
Estonia,https://en.wikipedia.org/wiki/Estonia
Finland,https://en.wikipedia.org/wiki/Finland
France,https://en.wikipedia.org/wiki/France
Germany,https://en.wikipedia.org/wiki/Germany
Greece,https://en.wikipedia.org/wiki/Greece
Hungary,https://en.wikipedia.org/wiki/Hungary
Iceland,https://en.wikipedia.org/wiki/Iceland
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Israel,https://en.wikipedia.org/wiki/Israel
Italy,https://en.wikipedia.org/wiki/Italy
Japan,https://en.wikipedia.org/wiki/Japan
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Netherlands,https://en.wikipedia.org/wiki/Netherlands
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Norway,https://en.wikipedia.org/wiki/Norway
Poland,https://en.wikipedia.org/wiki/Poland
Portugal,https://en.wikipedia.org/wiki/Portugal
Russia,https://en.wikipedia.org/wiki/Russia
Spain,https://en.wikipedia.org/wiki/Spain
Sweden,https://en.wikipedia.org/wiki/Sweden
Switzerland,https://en.wikipedia.org/wiki/Switzerland
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
United States,https://en.wikipedia.org/wiki/United_States
Algeria,https://en.wikipedia.org/wiki/Algeria
Gabon,https://en.wikipedia.org/wiki/Gabon
Indonesia,https://en.wikipedia.org/wiki/Indonesia
Iran,https://en.wikipedia.org/wiki/Iran
Iraq,https://en.wikipedia.org/wiki/Iraq
Kuwait,https://en.wikipedia.org/wiki/Kuwait
Libya,https://en.wikipedia.org/wiki/Libya
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Qatar,https://en.wikipedia.org/wiki/Qatar
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Angola,https://en.wikipedia.org/wiki/Angola
Benin,https://en.wikipedia.org/wiki/Benin
Botswana,https://en.wikipedia.org/wiki/Botswana
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
Burundi,https://en.wikipedia.org/wiki/Burundi
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic
Chad,https://en.wikipedia.org/wiki/Chad
Comoros,https://en.wikipedia.org/wiki/Comoros
Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Djibouti,https://en.wikipedia.org/wiki/Djibouti
Egypt,https://en.wikipedia.org/wiki/Egypt
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Eritrea,https://en.wikipedia.org/wiki/Eritrea
Eswatini,https://en.wikipedia.org/wiki/Eswatini
Ethiopia,https://en.wikipedia.org/wiki/Ethiopia
Gambia,https://en.wikipedia.org/wiki/The_Gambia
Guinea,https://en.wikipedia.org/wiki/Guinea
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Kenya,https://en.wikipedia.org/wiki/Kenya
Lesotho,https://en.wikipedia.org/wiki/Lesotho
Liberia,https://en.wikipedia.org/wiki/Liberia
Madagascar,https://en.wikipedia.org/wiki/Madagascar
Malawi,https://en.wikipedia.org/wiki/Malawi
Mali,https://en.wikipedia.org/wiki/Mali
Mauritania,https://en.wikipedia.org/wiki/Mauritania
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Morocco,https://en.wikipedia.org/wiki/Morocco
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Namibia,https://en.wikipedia.org/wiki/Namibia
Niger,https://en.wikipedia.org/wiki/Niger
Rwanda,https://en.wikipedia.org/wiki/Rwanda
São Tomé and Príncipe,https://en.wikipedia.org/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
Senegal,https://en.wikipedia.org/wiki/Senegal
Seychelles,https://en.wikipedia.org/wiki/Seychelles
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
