text,url
nonprofit organization,https://en.wikipedia.org/wiki/Nonprofit_organization
malnutrition,https://en.wikipedia.org/wiki/Malnutrition
Ibadan,https://en.wikipedia.org/wiki/Ibadan
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Africa,https://en.wikipedia.org/wiki/Africa
Consultative Group on International Agricultural Research,https://en.wikipedia.org/wiki/Consultative_Group_on_International_Agricultural_Research
Ibadan,https://en.wikipedia.org/wiki/Ibadan
Ford,https://en.wikipedia.org/wiki/Ford_Foundation
Rockefeller,https://en.wikipedia.org/wiki/Rockefeller_Foundation
legume,https://en.wikipedia.org/wiki/Legume
soybean,https://en.wikipedia.org/wiki/Soybean
cowpea,https://en.wikipedia.org/wiki/Cowpea
yam,https://en.wikipedia.org/wiki/Yam_(vegetable)
cassava,https://en.wikipedia.org/wiki/Cassava
World Bank,https://en.wikipedia.org/wiki/World_Bank
Jigawa state,https://en.wikipedia.org/wiki/Jigawa_State
Benin,https://en.wikipedia.org/wiki/Benin
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Bukavu,https://en.wikipedia.org/wiki/Bukavu
DR Congo,https://en.wikipedia.org/wiki/DR_Congo
Accra,https://en.wikipedia.org/wiki/Accra
Ghana,https://en.wikipedia.org/wiki/Ghana
Tamale,"https://en.wikipedia.org/wiki/Tamale,_Ghana"
Kenya,https://en.wikipedia.org/wiki/Kenya
Malawi,https://en.wikipedia.org/wiki/Malawi
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Abuja,https://en.wikipedia.org/wiki/Abuja
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Ibadan,https://en.wikipedia.org/wiki/Ibadan
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Kano,https://en.wikipedia.org/wiki/Kano_(city)
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Rivers,https://en.wikipedia.org/wiki/Onne
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Arusha,https://en.wikipedia.org/wiki/Arusha
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Dar es Salaam,https://en.wikipedia.org/wiki/Dar_es_Salaam
Uganda,https://en.wikipedia.org/wiki/Uganda
Zambia,https://en.wikipedia.org/wiki/Zambia
African Agricultural Union,https://en.wikipedia.org/wiki/African_Agricultural_Union
International Food Policy Research Institute,https://en.wikipedia.org/wiki/International_Food_Policy_Research_Institute
ProMusa,https://en.wikipedia.org/wiki/ProMusa
