text,url
research institute,https://en.wikipedia.org/wiki/Research_institute
CGIAR,https://en.wikipedia.org/wiki/CGIAR
Nairobi,https://en.wikipedia.org/wiki/Nairobi
Addis Ababa,https://en.wikipedia.org/wiki/Addis_Ababa
non-profit,https://en.wikipedia.org/wiki/Non-profit
non-governmental organisation,https://en.wikipedia.org/wiki/Non-governmental_organisation
livestock,https://en.wikipedia.org/wiki/Livestock
natural environment,https://en.wikipedia.org/wiki/Natural_environment
gender,https://en.wikipedia.org/wiki/Gender
prosperity,https://en.wikipedia.org/wiki/Prosperity
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
