text,url
international financial institution,https://en.wikipedia.org/wiki/International_financial_institution
specialized agency,https://en.wikipedia.org/wiki/Specialized_agency_of_the_United_Nations
United Nations,https://en.wikipedia.org/wiki/United_Nations
"Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C."
international trade,https://en.wikipedia.org/wiki/International_trade
reduce poverty,https://en.wikipedia.org/wiki/Poverty_reduction
lender of last resort,https://en.wikipedia.org/wiki/Lender_of_last_resort
balance of payments,https://en.wikipedia.org/wiki/Balance_of_payments
Bretton Woods Conference,https://en.wikipedia.org/wiki/Bretton_Woods_Conference
Harry Dexter White,https://en.wikipedia.org/wiki/Harry_Dexter_White
John Maynard Keynes,https://en.wikipedia.org/wiki/John_Maynard_Keynes
international monetary system,https://en.wikipedia.org/wiki/International_monetary_system
Bretton Woods system,https://en.wikipedia.org/wiki/Bretton_Woods_system
fixed exchange rate,https://en.wikipedia.org/wiki/Fixed_exchange_rate
globalization,https://en.wikipedia.org/wiki/Globalization
structural adjustment,https://en.wikipedia.org/wiki/Structural_adjustment
austerity,https://en.wikipedia.org/wiki/Austerity
Kristalina Georgieva,https://en.wikipedia.org/wiki/Kristalina_Georgieva
economic stability,https://en.wikipedia.org/wiki/Economic_stability
developing countries,https://en.wikipedia.org/wiki/Developing_country
Poverty Reduction and Growth Facility,https://en.wikipedia.org/wiki/Poverty_Reduction_and_Growth_Facility
fixed exchange rate,https://en.wikipedia.org/wiki/Fixed_exchange_rate_system
exchange rates,https://en.wikipedia.org/wiki/Exchange_rate
balance of payments,https://en.wikipedia.org/wiki/Balance_of_payments
financial crisis,https://en.wikipedia.org/wiki/Financial_crisis
Great Depression,https://en.wikipedia.org/wiki/Great_Depression
World War II,https://en.wikipedia.org/wiki/World_War_II
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
floating exchange rates,https://en.wikipedia.org/wiki/Floating_exchange_rate
economic fluctuations,https://en.wikipedia.org/wiki/Business_cycle
Mexico,https://en.wikipedia.org/wiki/Mexico
Brazil,https://en.wikipedia.org/wiki/Brazil
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
1998 Russian financial crisis,https://en.wikipedia.org/wiki/1998_Russian_financial_crisis
conditionality,https://en.wikipedia.org/wiki/Conditionality
