text,url
Arusha,https://en.wikipedia.org/wiki/Arusha
Kinyarwanda,https://en.wikipedia.org/wiki/Kinyarwanda
international court,https://en.wikipedia.org/wiki/International_court
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
International Criminal Tribunal for the former Yugoslavia,https://en.wikipedia.org/wiki/International_Criminal_Tribunal_for_the_former_Yugoslavia
International Criminal Tribunal for Rwanda,https://en.wikipedia.org/wiki/International_Criminal_Tribunal_for_Rwanda
Arusha,https://en.wikipedia.org/wiki/Arusha
The Hague,https://en.wikipedia.org/wiki/The_Hague
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
International Criminal Tribunal for the former Yugoslavia,https://en.wikipedia.org/wiki/International_Criminal_Tribunal_for_the_former_Yugoslavia
Yugoslav Wars,https://en.wikipedia.org/wiki/Yugoslav_Wars
International Criminal Tribunal for Rwanda,https://en.wikipedia.org/wiki/International_Criminal_Tribunal_for_Rwanda
Rwandan genocide,https://en.wikipedia.org/wiki/Rwandan_genocide
Resolution 1966,https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_1966
Arusha,https://en.wikipedia.org/wiki/Arusha
Tanzania,https://en.wikipedia.org/wiki/Tanzania
The Hague,https://en.wikipedia.org/wiki/The_Hague
Netherlands,https://en.wikipedia.org/wiki/Netherlands
fugitives,https://en.wikipedia.org/wiki/Fugitives
Ratko Mladić,https://en.wikipedia.org/wiki/Ratko_Mladi%C4%87
Goran Hadžić,https://en.wikipedia.org/wiki/Goran_Had%C5%BEi%C4%87
Charles Sikubwabo,https://en.wikipedia.org/wiki/Charles_Sikubwabo
Génocidaire,https://en.wikipedia.org/wiki/G%C3%A9nocidaires
Theodor Meron,https://en.wikipedia.org/wiki/Theodor_Meron
United States,https://en.wikipedia.org/wiki/United_States
Malta,https://en.wikipedia.org/wiki/Malta
Uruguay,https://en.wikipedia.org/wiki/Uruguay
Hassan Jallow,https://en.wikipedia.org/wiki/Hassan_Bubacar_Jallow
"Gambia, The",https://en.wikipedia.org/wiki/The_Gambia
Serge Brammertz,https://en.wikipedia.org/wiki/Serge_Brammertz
Belgium,https://en.wikipedia.org/wiki/Belgium
John Hocking,https://en.wikipedia.org/wiki/John_Hocking
