text,url
Elbchaussee,https://en.wikipedia.org/wiki/Elbchaussee
Elbe,https://en.wikipedia.org/wiki/Elbe
intergovernmental organization,https://en.wikipedia.org/wiki/Intergovernmental_organization
Third United Nations Conference on the Law of the Sea,https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea#UNCLOS_III
United Nations Convention on the Law of the Sea,https://en.wikipedia.org/wiki/United_Nations_Convention_on_the_Law_of_the_Sea
"Montego Bay, Jamaica","https://en.wikipedia.org/wiki/Montego_Bay,_Jamaica"
dispute resolution mechanisms,https://en.wikipedia.org/wiki/Dispute_resolution
Hamburg,https://en.wikipedia.org/wiki/Hamburg
International Seabed Authority,https://en.wikipedia.org/wiki/International_Seabed_Authority
seabed mining,https://en.wikipedia.org/wiki/Deep_sea_mining
European Union,https://en.wikipedia.org/wiki/European_Union
United States,https://en.wikipedia.org/wiki/United_States
Iran,https://en.wikipedia.org/wiki/Iran
Chile,https://en.wikipedia.org/wiki/Chile
Ghana,https://en.wikipedia.org/wiki/Ghana
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Maldives,https://en.wikipedia.org/wiki/Maldives
Germany,https://en.wikipedia.org/wiki/Germany
Singapore,https://en.wikipedia.org/wiki/Singapore
Cabo Verde,https://en.wikipedia.org/wiki/Cabo_Verde
José Luís Jesus,https://en.wikipedia.org/wiki/Jos%C3%A9_Lu%C3%ADs_Jesus
Algeria,https://en.wikipedia.org/wiki/Algeria
Malta,https://en.wikipedia.org/wiki/Malta
David Attard,https://en.wikipedia.org/wiki/David_Attard
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Iceland,https://en.wikipedia.org/wiki/Iceland
Paraguay,https://en.wikipedia.org/wiki/Paraguay
India,https://en.wikipedia.org/wiki/India
Neeru Chadha,https://en.wikipedia.org/wiki/Neeru_Chadha
Thailand,https://en.wikipedia.org/wiki/Thailand
Russia,https://en.wikipedia.org/wiki/Russia
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Chile,https://en.wikipedia.org/wiki/Chile
María Teresa Infante Caffi,https://en.wikipedia.org/wiki/Mar%C3%ADa_Teresa_Infante_Caffi
China,https://en.wikipedia.org/wiki/China
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Italy,https://en.wikipedia.org/wiki/Italy
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Maurice Kamga,https://en.wikipedia.org/wiki/Maurice_Kamga
Argentina,https://en.wikipedia.org/wiki/Argentina
Japan,https://en.wikipedia.org/wiki/Japan
South Africa,https://en.wikipedia.org/wiki/South_Africa
South Korea,https://en.wikipedia.org/wiki/South_Korea
Sierra Leone,https://en.wikipedia.org/wiki/Sierra_Leone
Poland,https://en.wikipedia.org/wiki/Poland
Lebanon,https://en.wikipedia.org/wiki/Lebanon
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Brazil,https://en.wikipedia.org/wiki/Brazil
Argentina,https://en.wikipedia.org/wiki/Argentina
India,https://en.wikipedia.org/wiki/India
P. Chandrasekhara Rao,https://en.wikipedia.org/wiki/P._Chandrasekhara_Rao
France,https://en.wikipedia.org/wiki/France
Jean-Pierre Cot,https://en.wikipedia.org/wiki/Jean-Pierre_Cot
Iceland,https://en.wikipedia.org/wiki/Iceland
Guðmundur Eiríksson,https://en.wikipedia.org/wiki/Gu%C3%B0mundur_Eir%C3%ADksson
Cameroon,https://en.wikipedia.org/wiki/Cameroon
Paul Engo,https://en.wikipedia.org/wiki/Paul_Engo
China,https://en.wikipedia.org/wiki/China
Mexico,https://en.wikipedia.org/wiki/Mexico
Russia,https://en.wikipedia.org/wiki/Russia
South Africa,https://en.wikipedia.org/wiki/South_Africa
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Argentina,https://en.wikipedia.org/wiki/Argentina
Elsa Kelly,https://en.wikipedia.org/wiki/Elsa_Kelly
Russia,https://en.wikipedia.org/wiki/Russia
Belize,https://en.wikipedia.org/wiki/Belize
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Anthony Lucky,https://en.wikipedia.org/wiki/Anthony_Lucky
Brazil,https://en.wikipedia.org/wiki/Brazil
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Ghana,https://en.wikipedia.org/wiki/Ghana
Thomas Mensah,https://en.wikipedia.org/wiki/Thomas_Mensah_(lawyer)
Senegal,https://en.wikipedia.org/wiki/Senegal
Grenada,https://en.wikipedia.org/wiki/Grenada
Dolliver Nelson,https://en.wikipedia.org/wiki/Dolliver_Nelson
South Korea,https://en.wikipedia.org/wiki/South_Korea
Paik Jin-hyun,https://en.wikipedia.org/wiki/Paik_Jin-hyun
South Korea,https://en.wikipedia.org/wiki/South_Korea
Poland,https://en.wikipedia.org/wiki/Poland
Stanisław Pawlak,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Pawlak
Italy,https://en.wikipedia.org/wiki/Italy
Austria,https://en.wikipedia.org/wiki/Austria
Helmut Türk,https://en.wikipedia.org/wiki/Helmut_T%C3%BCrk
Croatia,https://en.wikipedia.org/wiki/Croatia
Tanzania,https://en.wikipedia.org/wiki/Tanzania
Joseph Warioba,https://en.wikipedia.org/wiki/Joseph_Warioba
Germany,https://en.wikipedia.org/wiki/Germany
Rüdiger Wolfrum,https://en.wikipedia.org/wiki/R%C3%BCdiger_Wolfrum
China,https://en.wikipedia.org/wiki/China
Japan,https://en.wikipedia.org/wiki/Japan
Japan,https://en.wikipedia.org/wiki/Japan
Shunji Yanai,https://en.wikipedia.org/wiki/Shunji_Yanai
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
China,https://en.wikipedia.org/wiki/China
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Guinea,https://en.wikipedia.org/wiki/Guinea
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Guinea,https://en.wikipedia.org/wiki/Guinea
Southern Bluefin Tuna Cases,https://en.wikipedia.org/wiki/Southern_bluefin_tuna
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Japan,https://en.wikipedia.org/wiki/Japan
Australia,https://en.wikipedia.org/wiki/Australia
Panama,https://en.wikipedia.org/wiki/Panama
France,https://en.wikipedia.org/wiki/France
Seychelles,https://en.wikipedia.org/wiki/Seychelles
France,https://en.wikipedia.org/wiki/France
Chile,https://en.wikipedia.org/wiki/Chile
European Union,https://en.wikipedia.org/wiki/European_Union
Belize,https://en.wikipedia.org/wiki/Belize
France,https://en.wikipedia.org/wiki/France
Panama,https://en.wikipedia.org/wiki/Panama
Yemen,https://en.wikipedia.org/wiki/Yemen
The MOX Plant Case,https://en.wikipedia.org/wiki/The_MOX_Plant_Case
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Russia,https://en.wikipedia.org/wiki/Russia
Australia,https://en.wikipedia.org/wiki/Australia
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Singapore,https://en.wikipedia.org/wiki/Singapore
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
Japan,https://en.wikipedia.org/wiki/Japan
Russia,https://en.wikipedia.org/wiki/Russia
Japan,https://en.wikipedia.org/wiki/Japan
Russia,https://en.wikipedia.org/wiki/Russia
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Myanmar,https://en.wikipedia.org/wiki/Myanmar
International Seabed Authority,https://en.wikipedia.org/wiki/International_Seabed_Authority
Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines
Spain,https://en.wikipedia.org/wiki/Spain
Panama,https://en.wikipedia.org/wiki/Panama
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau
ARA Libertad,https://en.wikipedia.org/wiki/ARA_Libertad_(Q-2)
Argentina,https://en.wikipedia.org/wiki/Argentina
Ghana,https://en.wikipedia.org/wiki/Ghana
Arctic Sunrise,https://en.wikipedia.org/wiki/MV_Arctic_Sunrise
Netherlands,https://en.wikipedia.org/wiki/Kingdom_of_the_Netherlands
Russia,https://en.wikipedia.org/wiki/Russia
Ghana,https://en.wikipedia.org/wiki/Ghana
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
"The ""Enrica Lexie"" Incident",https://en.wikipedia.org/wiki/Enrica_Lexie_case
Italy,https://en.wikipedia.org/wiki/Italy
India,https://en.wikipedia.org/wiki/India
Panama,https://en.wikipedia.org/wiki/Panama
Italy,https://en.wikipedia.org/wiki/Italy
Case concerning the Detention of Three Ukrainian Naval Vessels,https://en.wikipedia.org/wiki/Kerch_Strait_incident
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Russia,https://en.wikipedia.org/wiki/Russia
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Mauritius,https://en.wikipedia.org/wiki/Mauritius
Maldives,https://en.wikipedia.org/wiki/Maldives
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Nigeria,https://en.wikipedia.org/wiki/Nigeria
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Marshall Islands,https://en.wikipedia.org/wiki/Marshall_Islands
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Mexico,https://en.wikipedia.org/wiki/Mexico
European Community,https://en.wikipedia.org/wiki/European_Economic_Community
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
